case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
D006,uniform,0.7,0.06,0.05,0.0,0.0,0.0,0,0.0,0.000266382,0.00506126,0.015539,0.0,0.00133191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D006,uniform,0.7,0.06,0.05,0.0,0.1,2.631578947368421,1,2.11905e-08,0.000266085,0.00506086,0.0155383,6.25202e-07,0.00132901,1.04456e-06,5.94263e-09,1.26599e-12,6.92734e-13,3.72716e-16,7.81217e-09,2.26172e-08
D006,uniform,0.7,0.06,0.05,0.0,0.400001,10.526342105263158,2,3.22817e-07,0.000265194,0.00505963,0.0155362,2.29845e-06,0.00132088,4.11638e-06,8.90307e-08,7.67341e-11,4.17846e-11,1.23445e-13,6.65032e-08,2.28034e-08
D006,uniform,0.7,0.06,0.05,0.0,0.700002,18.42110526315789,3,9.30491e-07,0.000264302,0.00505839,0.0155341,3.67665e-06,0.00131296,7.1054e-06,2.53037e-07,3.92767e-10,2.1262e-10,1.18506e-12,1.2296e-07,2.27844e-08
D006,uniform,0.7,0.06,0.05,0.0,1.0,26.31578947368421,4,1.78823e-06,0.000263408,0.00505714,0.015532,4.81097e-06,0.00130507,1.00247e-05,4.83228e-07,1.09294e-09,5.88712e-10,4.87231e-12,1.68065e-07,2.27579e-08
D006,uniform,0.7,0.06,0.05,0.0,1.3,34.21052631578947,5,2.84994e-06,0.000262514,0.00505588,0.0155299,5.74541e-06,0.00129721,1.28829e-05,7.69488e-07,2.29881e-09,1.23203e-09,1.36108e-11,2.03466e-07,2.27303e-08
D006,uniform,0.7,0.06,0.05,0.0,1.6,42.10526315789474,6,4.07788e-06,0.000261619,0.00505461,0.0155278,6.51647e-06,0.00128936,1.56867e-05,1.10407e-06,4.11392e-09,2.19476e-09,3.04857e-11,2.3117e-07,2.26995e-08
D006,uniform,0.7,0.06,0.05,0.0,2.00001,52.63184210526316,7,5.92122e-06,0.000260427,0.00505291,0.0155249,7.34001e-06,0.00127893,1.93484e-05,1.61585e-06,7.63617e-09,4.05016e-09,7.19838e-11,2.58963e-07,2.26449e-08
D006,uniform,0.7,0.06,0.05,0.0,2.50001,65.78973684210527,8,8.47711e-06,0.000258935,0.00505077,0.0155213,8.11676e-06,0.00126594,2.38154e-05,2.34493e-06,1.40716e-08,7.4121e-09,1.68548e-10,2.82984e-07,2.2577e-08
D006,uniform,0.7,0.06,0.05,0.0,3.00001,78.94763157894737,9,1.12342e-05,0.000257445,0.00504861,0.0155177,8.68636e-06,0.001253,2.81735e-05,3.15755e-06,2.30658e-08,1.20679e-08,3.35804e-10,2.98826e-07,2.25205e-08
