case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
D009,uniform,0.7,0.08,0.05,0.0,0.0,0.0,0,0.0,0.000244162,0.00463908,0.0155376,0.0,0.00177573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D009,uniform,0.7,0.08,0.05,0.0,0.1,2.631578947368421,1,1.96166e-08,0.000243934,0.00463872,0.015537,5.78734e-07,0.00177273,1.06734e-06,5.59775e-09,9.52119e-13,6.52492e-13,2.62885e-16,7.88345e-09,2.50802e-08
D009,uniform,0.7,0.08,0.05,0.0,0.400001,10.526342105263158,2,2.98756e-07,0.000243248,0.00463762,0.0155351,2.1262e-06,0.00176428,4.21115e-06,8.35958e-08,5.75278e-11,3.92491e-11,8.68489e-14,6.88607e-08,2.53378e-08
D009,uniform,0.7,0.08,0.05,0.0,0.700002,18.42110526315789,3,8.61031e-07,0.00024256,0.0046365,0.0155331,3.39904e-06,0.001756,7.27853e-06,2.37472e-07,2.94149e-10,1.99695e-10,8.30422e-13,1.30828e-07,2.53281e-08
D009,uniform,0.7,0.08,0.05,0.0,1.0,26.31578947368421,4,1.65475e-06,0.000241873,0.00463538,0.0155312,4.44711e-06,0.00174776,1.02811e-05,4.53675e-07,8.18366e-10,5.53115e-10,3.41372e-12,1.8358e-07,2.53126e-08
D009,uniform,0.7,0.08,0.05,0.0,1.3,34.21052631578947,5,2.6375e-06,0.000241184,0.00463425,0.0155292,5.31021e-06,0.00173953,1.32274e-05,7.22564e-07,1.72009e-09,1.15809e-09,9.54064e-12,2.27806e-07,2.52985e-08
D009,uniform,0.7,0.08,0.05,0.0,1.6,42.10526315789474,6,3.77435e-06,0.000240496,0.00463311,0.0155272,6.02107e-06,0.00173132,1.61237e-05,1.03689e-06,3.07758e-09,2.06399e-09,2.13407e-11,2.6482e-07,2.52807e-08
D009,uniform,0.7,0.08,0.05,0.0,2.00001,52.63184210526316,7,5.48133e-06,0.000239578,0.00463158,0.0155246,6.77967e-06,0.00172039,1.99161e-05,1.5174e-06,5.70954e-09,3.8108e-09,5.03567e-11,3.04958e-07,2.52417e-08
D009,uniform,0.7,0.08,0.05,0.0,2.50001,65.78973684210527,8,7.84885e-06,0.000238431,0.00462966,0.0155213,7.49342e-06,0.00170677,2.45567e-05,2.20267e-06,1.0515e-08,6.97857e-09,1.17831e-10,3.4339e-07,2.51945e-08
D009,uniform,0.7,0.08,0.05,0.0,3.00001,78.94763157894737,9,1.04039e-05,0.000237285,0.00462773,0.0155179,8.01617e-06,0.0016932,2.90984e-05,2.9673e-06,1.7225e-08,1.13707e-08,2.34375e-10,3.71906e-07,2.51569e-08
D009,uniform,0.7,0.08,0.05,0.0,4.00001,105.26342105263156,10,1.5869e-05,0.000234995,0.00462384,0.0155112,8.68614e-06,0.00166619,3.79137e-05,4.69939e-06,3.70819e-08,2.42316e-08,6.86474e-10,4.08738e-07,2.50258e-08
D009,uniform,0.7,0.08,0.05,0.0,5.00001,131.5792105263158,11,2.15879e-05,0.000232711,0.00461991,0.0155044,9.06751e-06,0.00163938,4.64242e-05,6.63911e-06,6.66808e-08,4.31515e-08,1.56363e-09,4.28729e-07,2.4941e-08
