case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
B007,uniform,0.65,0.0,0.0,0.35,0.0,0.0,0,0.00781289,0.0,0.0,0.0145097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B007,uniform,0.65,0.0,0.0,0.35,0.1,2.631578947368421,1,0.00781027,3.81492e-11,1.30936e-24,0.0145094,2.5731e-07,2.37269e-30,7.30882e-34,1.35055e-37,0.0,0.0,0.0,5.31211e-09,2.81015e-08
B007,uniform,0.65,0.0,0.0,0.35,0.400001,10.526342105263158,2,0.00780252,6.14507e-10,1.2069199999999999e-21,0.0145085,9.39318e-07,3.78966e-26,1.45099e-29,1.07841e-32,7.71326e-37,1.65206e-36,0.0,4.93344e-08,2.86531e-08
B007,uniform,0.65,0.0,0.0,0.35,0.700001,18.42107894736842,3,0.00779488,1.87852e-09,1.7720699999999998e-20,0.0145077,1.49615e-06,1.7086100000000002e-24,7.8633e-28,1.0213000000000001e-30,1.27872e-34,2.73376e-34,0.0,1.0014e-07,2.86529e-08
B007,uniform,0.65,0.0,0.0,0.35,1.0,26.31578947368421,4,0.00778736,3.82507e-09,9.50368e-20,0.0145068,1.95113e-06,1.84851e-23,1.00743e-26,1.8702000000000002e-29,3.34473e-33,7.13805e-33,1.31376e-36,1.50119e-07,2.86517e-08
B007,uniform,0.65,0.0,0.0,0.35,1.3,34.21052631578947,5,0.00777991,6.45082e-09,3.20488e-19,0.0145059,2.32299e-06,1.03793e-22,6.591140000000001e-26,1.5903200000000002e-28,3.69819e-32,7.88323e-32,1.9349699999999998e-35,1.98678e-07,2.86516e-08
B007,uniform,0.65,0.0,0.0,0.35,1.6,42.10526315789474,6,0.00777253,9.75326e-09,8.28463e-19,0.0145051,2.6268e-06,4.00264e-22,2.91718e-25,8.66382e-28,2.4809399999999997e-31,5.2818e-31,1.62341e-34,2.45806e-07,2.86508e-08
B007,uniform,0.65,0.0,0.0,0.35,2.0,52.631578947368425,7,0.00776278,1.51923e-08,2.2665e-18,0.0145039,2.94757e-06,1.6821399999999999e-21,1.4443700000000001e-24,5.36656e-27,1.92178e-30,4.08551e-30,1.59365e-33,3.06485e-07,2.86449e-08
B007,uniform,0.65,0.0,0.0,0.35,2.5,65.78947368421053,8,0.0077507,2.36441e-08,6.1124e-18,0.0145025,3.24499e-06,6.963009999999999e-21,7.145950000000001e-24,3.32425e-26,1.49065e-29,3.16247e-29,1.56322e-32,3.79e-07,2.86391e-08
B007,uniform,0.65,0.0,0.0,0.35,3.00001,78.94763157894737,9,0.0077387,3.39066e-08,1.3607e-17,0.0145011,3.45801e-06,2.20034e-20,2.63597e-23,1.47423e-25,7.94393e-29,1.6829100000000002e-28,1.00857e-31,4.47982e-07,2.86376e-08
