case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
M43-25,0,0.000000,2,1,0.004222,1.113900,11.389985
M43-25,0,0.000000,2,2,0.003977,1.049291,4.929104
M43-25,0,0.000000,3,1,0.004233,1.116915,11.691541
M43-25,0,0.000000,3,2,0.003999,1.054958,5.495806
M43-25,0,0.000000,3,3,0.004023,1.061509,6.150891
M43-25,0,0.000000,4,2,0.004254,1.122387,12.238720
M43-25,0,0.000000,4,3,0.004296,1.133442,13.344159
M43-25,0,0.000000,5,1,0.004369,1.152619,15.261924
M43-25,0,0.000000,5,2,0.004109,1.084087,8.408730
M43-25,0,0.000000,5,3,0.004139,1.091902,9.190188
M43-25,0,0.000000,5,4,0.004493,1.185442,18.544207
M43-25,0,0.000000,5,5,0.003963,1.045648,4.564758
M43-25,0,0.000000,6,1,0.003969,1.047030,4.703004
M43-25,0,0.000000,6,2,0.003752,0.989964,-1.003594
M43-25,0,0.000000,6,3,0.003781,0.997454,-0.254586
M43-25,0,0.000000,6,4,0.004072,1.074299,7.429929
M43-25,0,0.000000,6,5,0.004250,1.121200,12.119997
M43-25,0,0.000000,7,2,0.004077,1.075626,7.562634
M43-25,0,0.000000,7,3,0.004099,1.081404,8.140417
M43-25,0,0.000000,7,5,0.004221,1.113726,11.372573
M43-25,0,0.000000,7,6,0.004119,1.086623,8.662269
M43-25,0,0.000000,7,7,0.003856,1.017312,1.731246
M43-25,0,0.000000,8,1,0.004174,1.101220,10.122029
M43-25,0,0.000000,8,2,0.003961,1.044964,4.496426
M43-25,0,0.000000,8,3,0.003974,1.048544,4.854441
M43-25,0,0.000000,8,4,0.004171,1.100439,10.043936
M43-25,0,0.000000,8,5,0.003965,1.046165,4.616468
M43-25,0,0.000000,8,6,0.003820,1.007933,0.793338
M43-25,0,0.000000,8,7,0.003811,1.005414,0.541382
M43-25,0,0.000000,8,8,0.002875,0.758505,-24.149453
M43-25,0,0.000000,9,1,0.002956,0.779899,-22.010072
M43-25,0,0.000000,9,2,0.002964,0.781909,-21.809088
M43-25,0,0.000000,9,3,0.002961,0.781179,-21.882063
M43-25,0,0.000000,9,4,0.002983,0.787063,-21.293727
M43-25,0,0.000000,9,5,0.002959,0.780678,-21.932164
M43-25,0,0.000000,9,6,0.002917,0.769524,-23.047576
M43-25,0,0.000000,9,7,0.002950,0.778210,-22.179028
