Thermal / Resonance / Fast fractions (%) per detector and case
================================================================================

DET0
------------------------------------------------------------
case             thermal     resonance        fast
M70-15             4.68%        41.31%      54.01%
M70-20             4.67%        41.29%      54.04%
M70-25             4.66%        41.26%      54.08%
M70-30             4.66%        41.26%      54.08%
M70-5              4.71%        41.39%      53.89%
M87-10             4.73%        41.41%      53.86%
M87-15             4.72%        41.40%      53.89%
M87-20             4.72%        41.38%      53.91%
M87-25             4.71%        41.36%      53.92%
M87-30             4.71%        41.36%      53.93%
M87-5              4.74%        41.43%      53.83%
mox1               4.75%        41.47%      53.77%
mox43              6.47%        41.35%      52.18%

DET8
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.72%        41.41%      53.87%
M43-15             4.71%        41.38%      53.90%
M43-20             4.71%        41.37%      53.92%
M43-25             4.70%        41.37%      53.93%
M43-30             4.70%        41.35%      53.95%
M43-5              4.73%        41.42%      53.84%
M70-10             4.70%        41.35%      53.96%
M70-15             4.68%        41.31%      54.01%
M70-20             4.67%        41.29%      54.04%
M70-25             4.67%        41.27%      54.06%
M70-30             4.66%        41.25%      54.09%
M70-5              4.71%        41.39%      53.89%
M87-10             4.73%        41.41%      53.86%
M87-15             4.72%        41.38%      53.89%
M87-20             4.72%        41.38%      53.90%
M87-25             4.72%        41.36%      53.92%
M87-30             4.72%        41.36%      53.92%
M87-5              4.74%        41.43%      53.83%
mox1               4.76%        41.47%      53.77%
mox43              6.49%        41.34%      52.17%

DET9
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.73%        41.40%      53.87%
M43-15             4.72%        41.38%      53.90%
M43-20             4.71%        41.37%      53.92%
M43-25             4.71%        41.36%      53.93%
M43-30             4.70%        41.35%      53.94%
M43-5              4.74%        41.43%      53.83%
M70-10             4.70%        41.34%      53.96%
M70-15             4.69%        41.31%      54.01%
M70-20             4.68%        41.28%      54.04%
M70-25             4.67%        41.27%      54.06%
M70-30             4.67%        41.25%      54.08%
M70-5              4.72%        41.39%      53.89%
M87-10             4.74%        41.40%      53.87%
M87-15             4.73%        41.39%      53.88%
M87-20             4.73%        41.37%      53.90%
M87-25             4.72%        41.37%      53.91%
M87-30             4.73%        41.36%      53.92%
M87-5              4.74%        41.43%      53.83%
mox1               4.76%        41.47%      53.77%
mox43              6.50%        41.33%      52.17%

DET10
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.74%        41.40%      53.86%
M43-15             4.73%        41.37%      53.90%
M43-20             4.73%        41.36%      53.91%
M43-25             4.72%        41.35%      53.93%
M43-30             4.72%        41.34%      53.94%
M43-5              4.75%        41.42%      53.83%
M70-10             4.71%        41.34%      53.96%
M70-15             4.69%        41.30%      54.01%
M70-20             4.69%        41.28%      54.03%
M70-25             4.68%        41.25%      54.07%
M70-30             4.68%        41.24%      54.08%
M70-5              4.73%        41.38%      53.89%
M87-10             4.75%        41.39%      53.86%
M87-15             4.74%        41.38%      53.89%
M87-20             4.74%        41.37%      53.89%
M87-25             4.73%        41.35%      53.91%
M87-30             4.73%        41.35%      53.92%
M87-5              4.75%        41.42%      53.83%
mox1               4.78%        41.46%      53.77%
mox43              6.53%        41.31%      52.15%

DET11
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.75%        41.39%      53.86%
M43-15             4.74%        41.37%      53.89%
M43-20             4.74%        41.36%      53.91%
M43-25             4.73%        41.34%      53.93%
M43-30             4.73%        41.33%      53.94%
M43-5              4.76%        41.41%      53.82%
M70-10             4.72%        41.32%      53.95%
M70-15             4.71%        41.30%      54.00%
M70-20             4.70%        41.27%      54.04%
M70-25             4.69%        41.24%      54.06%
M70-30             4.69%        41.23%      54.08%
M70-5              4.74%        41.37%      53.88%
M87-10             4.76%        41.39%      53.85%
M87-15             4.76%        41.37%      53.88%
M87-20             4.75%        41.35%      53.90%
M87-25             4.75%        41.35%      53.90%
M87-30             4.74%        41.34%      53.91%
M87-5              4.77%        41.41%      53.82%
mox1               4.79%        41.46%      53.75%
mox43              6.57%        41.30%      52.13%

