candidate,BOL_KEFF,EOL_KEFF,BOL_CR,EOL_CR,EOL_burnup_MWd_kgHM
A004,0.992343,0.830551,0.924399,1.02606,50.0002
A009,1.04254,0.85293,0.834912,1.01453,50.0002
