case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
M87-25,0,0.000000,2,1,0.003998,1.056735,5.673531
M87-25,0,0.000000,2,2,0.003768,0.995814,-0.418587
M87-25,0,0.000000,3,1,0.004028,1.064593,6.459295
M87-25,0,0.000000,3,2,0.003795,1.003111,0.311146
M87-25,0,0.000000,3,3,0.003833,1.013173,1.317336
M87-25,0,0.000000,4,2,0.004068,1.075049,7.504866
M87-25,0,0.000000,4,3,0.004110,1.086229,8.622856
M87-25,0,0.000000,5,1,0.004205,1.111453,11.145336
M87-25,0,0.000000,5,2,0.003963,1.047316,4.731565
M87-25,0,0.000000,5,3,0.004003,1.058049,5.804888
M87-25,0,0.000000,5,4,0.004329,1.144242,14.424243
M87-25,0,0.000000,5,5,0.003948,1.043343,4.334322
M87-25,0,0.000000,6,1,0.003940,1.041406,4.140590
M87-25,0,0.000000,6,2,0.003722,0.983728,-1.627231
M87-25,0,0.000000,6,3,0.003750,0.991218,-0.878205
M87-25,0,0.000000,6,4,0.004076,1.077332,7.733222
M87-25,0,0.000000,6,5,0.004250,1.123281,12.328079
M87-25,0,0.000000,7,2,0.004060,1.072995,7.299505
M87-25,0,0.000000,7,3,0.004089,1.080628,8.062804
M87-25,0,0.000000,7,5,0.004295,1.135166,13.516637
M87-25,0,0.000000,7,6,0.004156,1.098471,9.847094
M87-25,0,0.000000,7,7,0.003900,1.030765,3.076518
M87-25,0,0.000000,8,1,0.004200,1.110174,11.017415
M87-25,0,0.000000,8,2,0.003990,1.054679,5.467905
M87-25,0,0.000000,8,3,0.004006,1.058831,5.883121
M87-25,0,0.000000,8,4,0.004232,1.118439,11.843881
M87-25,0,0.000000,8,5,0.004024,1.063433,6.343267
M87-25,0,0.000000,8,6,0.003902,1.031196,3.119599
M87-25,0,0.000000,8,7,0.003906,1.032438,3.243820
M87-25,0,0.000000,8,8,0.003004,0.794064,-20.593619
M87-25,0,0.000000,9,1,0.003085,0.815264,-18.473589
M87-25,0,0.000000,9,2,0.003071,0.811728,-18.827196
M87-25,0,0.000000,9,3,0.003088,0.816066,-18.393400
M87-25,0,0.000000,9,4,0.003090,0.816718,-18.328224
M87-25,0,0.000000,9,5,0.003079,0.813887,-18.611263
M87-25,0,0.000000,9,6,0.003064,0.809836,-19.016356
M87-25,0,0.000000,9,7,0.003091,0.816977,-18.302296
M87-25,0,0.000000,9,8,0.003166,0.836696,-16.330432
M87-25,0,0.000000,9,9,0.003275,0.865476,-13.452442
M87-25,1,0.100000,2,1,0.004022,1.062856,6.285619
M87-25,1,0.100000,2,2,0.003791,1.001899,0.189882
M87-25,1,0.100000,3,1,0.004029,1.064722,6.472180
M87-25,1,0.100000,3,2,0.003814,1.007739,0.773877
M87-25,1,0.100000,3,3,0.003837,1.013957,1.395659
M87-25,1,0.100000,4,2,0.004099,1.083235,8.323521
M87-25,1,0.100000,4,3,0.004135,1.092761,9.276145
M87-25,1,0.100000,5,1,0.004209,1.112099,11.209932
M87-25,1,0.100000,5,2,0.003963,1.047154,4.715441
M87-25,1,0.100000,5,3,0.004009,1.059487,5.948699
M87-25,1,0.100000,5,4,0.004368,1.154239,15.423939
M87-25,1,0.100000,5,5,0.003953,1.044467,4.446698
M87-25,1,0.100000,6,1,0.003949,1.043410,4.340998
M87-25,1,0.100000,6,2,0.003737,0.987481,-1.251870
M87-25,1,0.100000,6,3,0.003762,0.994183,-0.581730
M87-25,1,0.100000,6,4,0.004076,1.076959,7.695925
M87-25,1,0.100000,6,5,0.004252,1.123713,12.371314
M87-25,1,0.100000,7,2,0.004086,1.079702,7.970218
M87-25,1,0.100000,7,3,0.004098,1.082884,8.288375
M87-25,1,0.100000,7,5,0.004276,1.130058,13.005780
M87-25,1,0.100000,7,6,0.004123,1.089405,8.940546
M87-25,1,0.100000,7,7,0.003871,1.022886,2.288562
M87-25,1,0.100000,8,1,0.004193,1.108006,10.800607
M87-25,1,0.100000,8,2,0.003986,1.053274,5.327446
M87-25,1,0.100000,8,3,0.003997,1.056136,5.613629
M87-25,1,0.100000,8,4,0.004229,1.117516,11.751646
M87-25,1,0.100000,8,5,0.004000,1.057074,5.707438
M87-25,1,0.100000,8,6,0.003878,1.024757,2.475652
M87-25,1,0.100000,8,7,0.003888,1.027354,2.735410
M87-25,1,0.100000,8,8,0.002999,0.792565,-20.743455
M87-25,1,0.100000,9,1,0.003088,0.815927,-18.407293
M87-25,1,0.100000,9,2,0.003093,0.817429,-18.257119
M87-25,1,0.100000,9,3,0.003078,0.813346,-18.665387
M87-25,1,0.100000,9,4,0.003096,0.818144,-18.185587
M87-25,1,0.100000,9,5,0.003067,0.810422,-18.957754
M87-25,1,0.100000,9,6,0.003047,0.805170,-19.482952
M87-25,1,0.100000,9,7,0.003072,0.811836,-18.816380
M87-25,1,0.100000,9,8,0.003163,0.835835,-16.416454
M87-25,1,0.100000,9,9,0.003254,0.859908,-14.009156
M87-25,2,0.400000,2,1,0.003997,1.056572,5.657229
M87-25,2,0.400000,2,2,0.003797,1.003683,0.368340
M87-25,2,0.400000,3,1,0.004030,1.065203,6.520295
M87-25,2,0.400000,3,2,0.003802,1.004891,0.489143
M87-25,2,0.400000,3,3,0.003836,1.013993,1.399261
M87-25,2,0.400000,4,2,0.004111,1.086802,8.680206
M87-25,2,0.400000,4,3,0.004128,1.091203,9.120330
M87-25,2,0.400000,5,1,0.004187,1.106881,10.688123
M87-25,2,0.400000,5,2,0.003969,1.049292,4.929240
M87-25,2,0.400000,5,3,0.004009,1.059702,5.970206
M87-25,2,0.400000,5,4,0.004349,1.149535,14.953492
M87-25,2,0.400000,5,5,0.003950,1.044032,4.403206
M87-25,2,0.400000,6,1,0.003952,1.044571,4.457131
M87-25,2,0.400000,6,2,0.003729,0.985690,-1.431013
M87-25,2,0.400000,6,3,0.003760,0.993977,-0.602311
M87-25,2,0.400000,6,4,0.004051,1.070817,7.081750
M87-25,2,0.400000,6,5,0.004250,1.123431,12.343147
M87-25,2,0.400000,7,2,0.004086,1.080067,8.006671
M87-25,2,0.400000,7,3,0.004089,1.080958,8.095753
M87-25,2,0.400000,7,5,0.004253,1.124304,12.430379
