case,step,burnup_MWd_kgHM_global,TH232_CAPT_value,TH232_CAPT_rel_err,TH232_CAPT_fraction,TH232_CAPT_fraction_rel_err,U235_FISS_value,U235_FISS_rel_err,U235_FISS_fraction,U235_FISS_fraction_rel_err,U238_FISS_value,U238_FISS_rel_err,U238_FISS_fraction,U238_FISS_fraction_rel_err,PU239_FISS_value,PU239_FISS_rel_err,PU239_FISS_fraction,PU239_FISS_fraction_rel_err,PU240_FISS_value,PU240_FISS_rel_err,PU240_FISS_fraction,PU240_FISS_fraction_rel_err,PU241_FISS_value,PU241_FISS_rel_err,PU241_FISS_fraction,PU241_FISS_fraction_rel_err,U235_CAPT_value,U235_CAPT_rel_err,U235_CAPT_fraction,U235_CAPT_fraction_rel_err,U238_CAPT_value,U238_CAPT_rel_err,U238_CAPT_fraction,U238_CAPT_fraction_rel_err,PU239_CAPT_value,PU239_CAPT_rel_err,PU239_CAPT_fraction,PU239_CAPT_fraction_rel_err,PU240_CAPT_value,PU240_CAPT_rel_err,PU240_CAPT_fraction,PU240_CAPT_fraction_rel_err,PU241_CAPT_value,PU241_CAPT_rel_err,PU241_CAPT_fraction,PU241_CAPT_fraction_rel_err,XE135_CAPT_value,XE135_CAPT_rel_err,XE135_CAPT_fraction,XE135_CAPT_fraction_rel_err,XE135M_CAPT_value,XE135M_CAPT_rel_err,XE135M_CAPT_fraction,XE135M_CAPT_fraction_rel_err
M43-5,2,0.4,25746800000000.0,0.00187,0.0113837,0.00185,34898500000000.0,0.00164,0.023763,0.00163,107811000000000.0,0.00092,0.0734098,0.00089,1060490000000000.0,0.00025,0.722105,0.00016,9561850000000.0,0.00293,0.0065108,0.00292,250579000000000.0,0.00057,0.170623,0.00054,11359500000000.0,0.00279,0.00502243,0.00274,732330000000000.0,0.00046,0.323793,0.00033,583739000000000.0,0.00036,0.258097,0.00034,494997000000000.0,0.00043,0.218859,0.00037,85352000000000.0,0.00107,0.0377382,0.00111,42788600000000.0,0.00149,0.0188221,0.00149,,,,
M43-5,3,0.7,25846300000000.0,0.00187,0.0113694,0.00186,34779800000000.0,0.00176,0.0236776,0.00173,108151000000000.0,0.00099,0.0736274,0.00092,1058980000000000.0,0.00024,0.720943,0.00015,9600240000000.0,0.00312,0.00653568,0.0031,251936000000000.0,0.00054,0.171516,0.00051,11327700000000.0,0.00288,0.00498285,0.00286,734914000000000.0,0.00039,0.323276,0.00027,582219000000000.0,0.00035,0.25611,0.00035,496296000000000.0,0.00047,0.218313,0.0004,85836600000000.0,0.00105,0.0377582,0.00103,42866400000000.0,0.00155,0.0187697,0.00154,,,,
M43-5,4,1.0,26087500000000.0,0.00194,0.0114226,0.0019,34677500000000.0,0.00158,0.0236232,0.00158,108375000000000.0,0.00094,0.0738274,0.00088,1056550000000000.0,0.00024,0.719749,0.00015,9623840000000.0,0.00329,0.00655594,0.00326,253125000000000.0,0.00056,0.172435,0.00052,11307800000000.0,0.00285,0.00495133,0.00286,736482000000000.0,0.00039,0.322478,0.00029,582026000000000.0,0.00036,0.254849,0.00033,497689000000000.0,0.00047,0.217919,0.00039,86203300000000.0,0.00106,0.0377454,0.00106,42791000000000.0,0.00162,0.0186708,0.00161,,,,
M43-5,5,1.3,25959500000000.0,0.00185,0.0113267,0.00182,34665200000000.0,0.00171,0.0235987,0.0017,108932000000000.0,0.00099,0.074156,0.00093,1055020000000000.0,0.00024,0.718216,0.00015,9663810000000.0,0.00324,0.0065788,0.00324,254877000000000.0,0.00058,0.17351,0.00054,11293700000000.0,0.0027,0.00492778,0.00271,738202000000000.0,0.00042,0.322095,0.0003,580766000000000.0,0.00038,0.253403,0.00036,498453000000000.0,0.00044,0.217487,0.00037,86773800000000.0,0.00105,0.0378614,0.001,42874200000000.0,0.00161,0.0186452,0.0016,,,,
M43-5,6,1.6,26064400000000.0,0.00184,0.0113349,0.00182,34542900000000.0,0.00168,0.0235217,0.00165,108758000000000.0,0.00093,0.0740578,0.00091,1052940000000000.0,0.00025,0.716993,0.00016,9680440000000.0,0.00352,0.0065918,0.00351,256689000000000.0,0.00062,0.174791,0.00057,11236900000000.0,0.00278,0.00488665,0.00275,739560000000000.0,0.00038,0.321621,0.00029,579839000000000.0,0.0004,0.252162,0.00037,499487000000000.0,0.00045,0.217217,0.00037,87278400000000.0,0.00103,0.0379557,0.001,42927100000000.0,0.00151,0.0185939,0.0015,,,,
M43-5,7,2.0,26076300000000.0,0.00183,0.011295,0.00182,34307600000000.0,0.00161,0.023364,0.00158,109164000000000.0,0.00092,0.0743428,0.00088,1050610000000000.0,0.00027,0.715488,0.00015,9665450000000.0,0.00331,0.0065823,0.00329,258378000000000.0,0.00058,0.175961,0.00055,11230600000000.0,0.00295,0.0048646,0.00296,740779000000000.0,0.0004,0.320868,0.0003,578513000000000.0,0.00036,0.250584,0.00035,501114000000000.0,0.00044,0.217057,0.00038,88251600000000.0,0.00097,0.0382263,0.00096,43099200000000.0,0.00145,0.018572,0.00145,,,,
M43-5,8,2.5,26136200000000.0,0.00191,0.0112623,0.00188,34236600000000.0,0.00165,0.0233092,0.00166,109502000000000.0,0.00089,0.0745513,0.00085,1047410000000000.0,0.00025,0.713102,0.00016,9763730000000.0,0.00288,0.00664737,0.00287,261282000000000.0,0.00057,0.177887,0.00053,11134800000000.0,0.00302,0.00479818,0.00303,743519000000000.0,0.00041,0.32039,0.00029,576961000000000.0,0.00036,0.248621,0.00036,502788000000000.0,0.00044,0.216658,0.00039,88818400000000.0,0.00112,0.0382731,0.00111,43119700000000.0,0.00159,0.0184993,0.00158,,,,
M43-5,9,3.0,26228900000000.0,0.00189,0.0112528,0.00189,34200300000000.0,0.00161,0.0232958,0.00156,109648000000000.0,0.00093,0.0746878,0.00087,1044100000000000.0,0.00024,0.711202,0.00016,9846740000000.0,0.00318,0.00670718,0.00315,263407000000000.0,0.00059,0.179424,0.00054,11146300000000.0,0.00303,0.00478196,0.00301,745191000000000.0,0.00038,0.319703,0.00028,575377000000000.0,0.00039,0.246851,0.00039,504402000000000.0,0.00047,0.216399,0.00039,89700500000000.0,0.00099,0.038484,0.00102,43476800000000.0,0.00156,0.0184894,0.00156,,,,
M43-5,10,4.0,26288600000000.0,0.00187,0.0111796,0.00185,33969000000000.0,0.00165,0.0231395,0.00164,110199000000000.0,0.00099,0.0750662,0.00092,1037990000000000.0,0.00027,0.707071,0.00017,9905560000000.0,0.00292,0.00674758,0.0029,268330000000000.0,0.00057,0.182785,0.00054,10988800000000.0,0.00299,0.00467328,0.00302,748872000000000.0,0.00039,0.31847,0.00029,572822000000000.0,0.00035,0.243603,0.00034,507396000000000.0,0.00048,0.215779,0.00043,91537400000000.0,0.00103,0.0389281,0.00104,43734100000000.0,0.00141,0.0184547,0.0014,,,,
M43-5,11,5.0,26518600000000.0,0.00196,0.01119,0.00191,33793500000000.0,0.00171,0.0230085,0.00167,110611000000000.0,0.00096,0.0753109,0.00093,1032430000000000.0,0.00023,0.702944,0.00017,9942190000000.0,0.00314,0.00676918,0.00311,273585000000000.0,0.00058,0.186274,0.00052,10953200000000.0,0.00305,0.00462198,0.00304,752245000000000.0,0.00039,0.317427,0.00028,569107000000000.0,0.00035,0.240149,0.00035,509970000000000.0,0.00042,0.215194,0.00035,93131800000000.0,0.00098,0.0392995,0.00099,43968900000000.0,0.00149,0.0184201,0.00149,,,,
M43-5,12,6.0,26633000000000.0,0.00185,0.0111574,0.00183,33606100000000.0,0.00176,0.0228794,0.00172,111081000000000.0,0.00096,0.0756252,0.00092,1026540000000000.0,0.00025,0.698884,0.00017,10001800000000.0,0.0031,0.00680934,0.00308,278480000000000.0,0.00059,0.189594,0.00057,10828900000000.0,0.003,0.00453659,0.00299,755437000000000.0,0.0004,0.316477,0.00031,565911000000000.0,0.00034,0.23708,0.00034,512355000000000.0,0.00045,0.214642,0.00038,94998700000000.0,0.00105,0.0397981,0.00103,44161100000000.0,0.00144,0.0183568,0.00145,,,,
M43-5,13,7.0,26756300000000.0,0.00177,0.0111219,0.00175,33266800000000.0,0.00171,0.0226526,0.00171,111599000000000.0,0.00092,0.075991,0.00086,1020430000000000.0,0.00027,0.694842,0.00017,10088200000000.0,0.0031,0.00686936,0.00308,283371000000000.0,0.00059,0.192956,0.00054,10772100000000.0,0.00284,0.00447774,0.00284,759297000000000.0,0.00038,0.31562,0.00029,562981000000000.0,0.00037,0.234017,0.00033,514840000000000.0,0.00042,0.214006,0.00038,96794400000000.0,0.0009,0.0402351,0.00089,44482600000000.0,0.00142,0.0183519,0.00141,,,,
M43-5,14,8.0,26774500000000.0,0.00178,0.0110462,0.00176,33100400000000.0,0.00158,0.0225402,0.00157,111729000000000.0,0.00102,0.0760828,0.00094,1014890000000000.0,0.00026,0.691101,0.00016,10147800000000.0,0.00313,0.00691021,0.0031,288098000000000.0,0.00051,0.196185,0.0005,10684100000000.0,0.00305,0.00440788,0.00305,762471000000000.0,0.0004,0.314567,0.00031,560255000000000.0,0.00039,0.231141,0.00037,517436000000000.0,0.00041,0.213476,0.00039,98381600000000.0,0.00103,0.0405888,0.00104,45006300000000.0,0.00137,0.0183012,0.00136,,,,
M43-5,15,10.0,27065500000000.0,0.00192,0.0110058,0.00189,32619600000000.0,0.00172,0.022222,0.00169,112505000000000.0,0.00092,0.0766431,0.00085,1002360000000000.0,0.00025,0.682856,0.00017,10264600000000.0,0.00281,0.00699272,0.00279,298136000000000.0,0.00055,0.203105,0.00049,10523000000000.0,0.00311,0.00427908,0.00311,769518000000000.0,0.00043,0.312913,0.00031,554144000000000.0,0.00039,0.225336,0.00039,522355000000000.0,0.00043,0.212409,0.00039,101837000000000.0,0.00092,0.0414108,0.00092,45537600000000.0,0.00142,0.0182556,0.00144,,,,
M43-5,16,12.0,27175200000000.0,0.00192,0.0108942,0.00191,32165000000000.0,0.00166,0.0219225,0.00163,113419000000000.0,0.00094,0.0773022,0.00089,990959000000000.0,0.00028,0.675407,0.0002,10328300000000.0,0.0032,0.0070394,0.0032,306881000000000.0,0.00056,0.209161,0.00053,10281000000000.0,0.003,0.00412153,0.00299,776059000000000.0,0.00039,0.311112,0.0003,548584000000000.0,0.00039,0.219921,0.00038,527074000000000.0,0.00049,0.211297,0.0004,105220000000000.0,0.00097,0.0421816,0.00097,46173100000000.0,0.00142,0.0182604,0.00143,,,,
M43-5,17,14.0,27437900000000.0,0.00197,0.0108509,0.00194,31674700000000.0,0.0018,0.0215788,0.00181,114225000000000.0,0.00099,0.077816,0.00094,980361000000000.0,0.0003,0.667877,0.00019,10467900000000.0,0.00341,0.00713135,0.0034,316392000000000.0,0.00054,0.215544,0.00049,10134200000000.0,0.0032,0.00400791,0.00324,782462000000000.0,0.00041,0.309442,0.00029,542060000000000.0,0.00037,0.214372,0.00035,532161000000000.0,0.00042,0.210456,0.00036,108550000000000.0,0.00103,0.0429289,0.00104,46655900000000.0,0.00148,0.0181984,0.00148,,,,
M43-5,18,16.0,27718200000000.0,0.00187,0.0108115,0.00184,31148800000000.0,0.00177,0.0212207,0.00177,115102000000000.0,0.00098,0.0784145,0.00092,969002000000000.0,0.00028,0.660148,0.00019,10582300000000.0,0.00301,0.00720925,0.00297,325827000000000.0,0.00052,0.221975,0.00049,9959460000000.0,0.00309,0.00388474,0.00309,789677000000000.0,0.00039,0.308015,0.00029,536631000000000.0,0.00042,0.209316,0.00041,536381000000000.0,0.00046,0.209217,0.00039,111634000000000.0,0.00098,0.0435431,0.00095,47408700000000.0,0.0014,0.0182559,0.00139,,,,
M43-5,19,18.0,27756900000000.0,0.00211,0.0106884,0.00209,30609000000000.0,0.00182,0.0208537,0.00179,115642000000000.0,0.00099,0.0787862,0.00094,958709000000000.0,0.00027,0.653168,0.0002,10610000000000.0,0.00317,0.00722847,0.00314,334711000000000.0,0.00052,0.228038,0.00046,9795810000000.0,0.00327,0.00377209,0.00325,795745000000000.0,0.00042,0.30642,0.00033,530691000000000.0,0.0004,0.204356,0.0004,540555000000000.0,0.00046,0.208154,0.00039,114882000000000.0,0.00093,0.0442384,0.00093,48043600000000.0,0.00138,0.0182641,0.00135,,,,
M43-5,20,20.0,28034800000000.0,0.00194,0.0106577,0.00193,30172300000000.0,0.00162,0.0205654,0.00162,116360000000000.0,0.00104,0.0793097,0.00096,947911000000000.0,0.00025,0.646093,0.00019,10680300000000.0,0.00298,0.00727971,0.00298,343131000000000.0,0.00054,0.233876,0.00046,9578350000000.0,0.00305,0.00364131,0.00305,802434000000000.0,0.0004,0.305052,0.00028,525510000000000.0,0.0004,0.199778,0.00039,544342000000000.0,0.00042,0.206937,0.00036,117855000000000.0,0.00094,0.044804,0.00096,49037300000000.0,0.00138,0.0181773,0.00138,,,,
M43-5,21,24.0,28428000000000.0,0.00202,0.0105378,0.00202,29297400000000.0,0.0021,0.0199688,0.00208,118047000000000.0,0.001,0.080459,0.0009,927194000000000.0,0.00028,0.631969,0.00019,10718800000000.0,0.00299,0.00730577,0.00296,360168000000000.0,0.00048,0.245488,0.00043,9210040000000.0,0.0035,0.003414,0.0035,815461000000000.0,0.00041,0.302275,0.0003,514298000000000.0,0.00045,0.190642,0.00043,551615000000000.0,0.00045,0.204473,0.00037,124119000000000.0,0.00093,0.0460088,0.00093,50208300000000.0,0.00144,0.0181525,0.00143,,,,
M43-5,22,28.0,28901100000000.0,0.00217,0.0104489,0.00215,28236100000000.0,0.00179,0.019242,0.00177,119388000000000.0,0.00089,0.0813593,0.00084,908529000000000.0,0.00029,0.619137,0.0002,10822200000000.0,0.0032,0.00737502,0.00319,375808000000000.0,0.00053,0.256102,0.00048,8811290000000.0,0.00359,0.00318564,0.00358,829415000000000.0,0.00039,0.299868,0.0003,504078000000000.0,0.00043,0.182246,0.0004,558838000000000.0,0.00045,0.202043,0.00038,129663000000000.0,0.00087,0.0468786,0.00086,51890700000000.0,0.00151,0.0181094,0.00149,,,,
M43-5,23,34.0,29413700000000.0,0.00183,0.0102652,0.00183,26804200000000.0,0.00186,0.0182769,0.00188,121575000000000.0,0.00093,0.0828972,0.0009,880857000000000.0,0.00031,0.600621,0.00023,10860400000000.0,0.00313,0.00740525,0.00313,397240000000000.0,0.0005,0.270861,0.00043,8248770000000.0,0.00379,0.00287873,0.00377,849145000000000.0,0.00039,0.296343,0.00029,489579000000000.0,0.00044,0.17086,0.00044,567678000000000.0,0.00041,0.198115,0.00036,137435000000000.0,0.00084,0.0479638,0.00085,54276000000000.0,0.00145,0.0180982,0.00145,,,,
M43-5,24,42.0,30257300000000.0,0.00221,0.0100891,0.00218,24836500000000.0,0.00214,0.0169252,0.00215,124583000000000.0,0.00092,0.0848976,0.00087,849848000000000.0,0.00033,0.579133,0.00022,10777000000000.0,0.0031,0.00734399,0.00308,421749000000000.0,0.00047,0.287403,0.00043,7468290000000.0,0.0038,0.00249032,0.00382,876604000000000.0,0.00042,0.292299,0.00033,472202000000000.0,0.00043,0.157455,0.00045,576695000000000.0,0.00045,0.192296,0.0004,146608000000000.0,0.00085,0.048886,0.00084,56865300000000.0,0.0014,0.0181721,0.00139,,,,
M43-5,25,50.0,30935800000000.0,0.00199,0.00988589,0.00197,22593600000000.0,0.00207,0.0154082,0.00204,126838000000000.0,0.00099,0.0864995,0.00091,822693000000000.0,0.00031,0.561058,0.00025,10588300000000.0,0.00334,0.00722089,0.00331,441226000000000.0,0.00054,0.300904,0.00043,6815220000000.0,0.00412,0.00217793,0.00414,902162000000000.0,0.0004,0.288297,0.00031,457628000000000.0,0.00047,0.146241,0.00045,581922000000000.0,0.00048,0.18596,0.00042,153783000000000.0,0.00077,0.0491437,0.00079,,,,,,,,
M70-10,0,0.0,77816300000000.0,0.0011,0.0350397,0.00109,34967600000000.0,0.00154,0.0238196,0.00156,102573000000000.0,0.001,0.0698706,0.00095,1065870000000000.0,0.00025,0.726055,0.00015,9435560000000.0,0.00325,0.00642726,0.00322,249174000000000.0,0.00062,0.169732,0.00055,11220400000000.0,0.00285,0.0050525,0.00287,702832000000000.0,0.00043,0.316476,0.00033,585165000000000.0,0.00035,0.263493,0.00035,488281000000000.0,0.00047,0.219866,0.0004,84775800000000.0,0.00099,0.0381735,0.00097,42273600000000.0,0.00135,0.0184779,0.00135,0.0,0.0,0.0,0.0
M70-10,1,0.1,78913100000000.0,0.00104,0.0344932,0.00103,34937100000000.0,0.0017,0.0237895,0.00168,104448000000000.0,0.00095,0.071121,0.0009,1064270000000000.0,0.00024,0.72469,0.00015,9535690000000.0,0.00294,0.006493,0.00291,249161000000000.0,0.00062,0.169659,0.00056,11353100000000.0,0.00281,0.00496246,0.00279,713873000000000.0,0.00039,0.312034,0.00028,585168000000000.0,0.00036,0.255779,0.00035,494413000000000.0,0.00047,0.216108,0.00039,84770900000000.0,0.00105,0.0370534,0.00101,42651900000000.0,0.00137,0.0185161,0.00138,,,,
M70-10,2,0.4,79460400000000.0,0.00109,0.0344952,0.00108,34896300000000.0,0.00179,0.0237563,0.00176,104840000000000.0,0.00098,0.071372,0.00093,1061870000000000.0,0.00023,0.722893,0.00015,9679910000000.0,0.0032,0.00658975,0.00317,251156000000000.0,0.00054,0.17098,0.00051,11313900000000.0,0.00284,0.00491162,0.00285,716805000000000.0,0.0004,0.311176,0.0003,584421000000000.0,0.00037,0.253708,0.00036,496125000000000.0,0.00044,0.215376,0.00036,85367800000000.0,0.00099,0.0370599,0.001,42817500000000.0,0.0014,0.0185032,0.0014,,,,
M70-10,3,0.7,79534200000000.0,0.00119,0.0343696,0.00114,34764700000000.0,0.00177,0.0236692,0.00176,105025000000000.0,0.00098,0.0715054,0.00094,1059810000000000.0,0.00024,0.721561,0.00017,9702100000000.0,0.00285,0.00660565,0.00286,252713000000000.0,0.00062,0.172057,0.00057,11288400000000.0,0.00294,0.00487811,0.00291,718569000000000.0,0.0004,0.310521,0.00031,583615000000000.0,0.00037,0.252203,0.00035,497269000000000.0,0.00044,0.214889,0.00036,85714400000000.0,0.00109,0.0370405,0.00108,42872400000000.0,0.00136,0.0184425,0.00136,,,,
M70-10,4,1.0,79662600000000.0,0.00115,0.0342685,0.00113,34733900000000.0,0.00161,0.0236494,0.00159,105309000000000.0,0.00093,0.0717022,0.00089,1057950000000000.0,0.00023,0.720335,0.00014,9740690000000.0,0.00312,0.00663217,0.00311,253941000000000.0,0.00058,0.172902,0.00053,11292800000000.0,0.00271,0.00485791,0.00274,720414000000000.0,0.00037,0.309901,0.00029,582741000000000.0,0.00038,0.250679,0.00036,498722000000000.0,0.00044,0.214535,0.00037,86562200000000.0,0.00106,0.0372366,0.00105,42879100000000.0,0.00144,0.018377,0.00145,,,,
M70-10,5,1.3,79843500000000.0,0.00105,0.0342187,0.00103,34717200000000.0,0.0017,0.0236304,0.00167,105389000000000.0,0.00104,0.0717335,0.001,1056180000000000.0,0.00026,0.718898,0.00016,9757360000000.0,0.00303,0.00664136,0.00302,255779000000000.0,0.00058,0.174098,0.00055,11327100000000.0,0.00254,0.00485451,0.00255,722132000000000.0,0.00043,0.309485,0.00033,581565000000000.0,0.00034,0.249243,0.00031,499557000000000.0,0.00044,0.214097,0.00039,86844600000000.0,0.00111,0.0372194,0.00111,42890600000000.0,0.00144,0.0183197,0.00143,,,,
M70-10,6,1.6,79964600000000.0,0.00102,0.0341547,0.00098,34602300000000.0,0.00164,0.023559,0.0016,105600000000000.0,0.00089,0.0718981,0.00085,1054040000000000.0,0.00028,0.717645,0.00018,9767250000000.0,0.00315,0.00665006,0.00314,257001000000000.0,0.00062,0.174981,0.00059,11235800000000.0,0.00309,0.00479905,0.00307,723710000000000.0,0.00038,0.309113,0.00029,580425000000000.0,0.00036,0.247914,0.00034,500756000000000.0,0.00046,0.213884,0.00038,87362200000000.0,0.00107,0.0373147,0.00108,42931800000000.0,0.00134,0.0182697,0.00132,,,,
M70-10,7,2.0,80172500000000.0,0.00112,0.0341176,0.0011,34484600000000.0,0.00176,0.0234843,0.00174,105901000000000.0,0.00098,0.0721187,0.00091,1051060000000000.0,0.00026,0.715779,0.00016,9795460000000.0,0.00317,0.00667074,0.00315,258962000000000.0,0.00056,0.176355,0.00053,11190100000000.0,0.00289,0.00476195,0.00288,724990000000000.0,0.00037,0.308521,0.00029,578805000000000.0,0.00038,0.246313,0.00036,502044000000000.0,0.00048,0.213646,0.0004,88164100000000.0,0.001,0.0375184,0.00097,42896900000000.0,0.00152,0.0181566,0.00152,,,,
M70-10,8,2.5,80507400000000.0,0.00106,0.0340754,0.00103,34327300000000.0,0.00168,0.0233741,0.00165,106246000000000.0,0.00103,0.0723449,0.00098,1047880000000000.0,0.00027,0.713529,0.00017,9806050000000.0,0.00312,0.00667728,0.00313,261409000000000.0,0.00059,0.177999,0.00054,11194400000000.0,0.00282,0.00473809,0.00279,727687000000000.0,0.00039,0.308,0.00029,577521000000000.0,0.00037,0.244442,0.00035,503690000000000.0,0.00046,0.213191,0.00039,88954300000000.0,0.00091,0.0376509,0.0009,43246000000000.0,0.0015,0.0182346,0.0015,,,,
M70-10,9,3.0,80747500000000.0,0.00109,0.0340469,0.00107,34238200000000.0,0.00154,0.0233072,0.00155,106538000000000.0,0.001,0.0725236,0.00097,1044850000000000.0,0.00024,0.711266,0.00017,9877910000000.0,0.00269,0.0067242,0.00267,263811000000000.0,0.0006,0.179585,0.00057,11136800000000.0,0.00306,0.00469575,0.00304,728736000000000.0,0.0004,0.307268,0.00031,575684000000000.0,0.00038,0.242736,0.00037,504644000000000.0,0.00046,0.212781,0.00038,89814600000000.0,0.00101,0.0378701,0.001,43364000000000.0,0.00149,0.0181231,0.00149,,,,
M70-10,10,4.0,81183300000000.0,0.00114,0.0339287,0.0011,33984900000000.0,0.00166,0.0231436,0.00165,106871000000000.0,0.00097,0.0727786,0.00093,1037410000000000.0,0.00029,0.706469,0.00017,10001300000000.0,0.00322,0.00681073,0.00319,268862000000000.0,0.00056,0.183095,0.00054,11046700000000.0,0.00277,0.00461681,0.0028,733066000000000.0,0.0004,0.306368,0.0003,572135000000000.0,0.00041,0.239111,0.00037,507953000000000.0,0.00047,0.212287,0.00042,91564200000000.0,0.00095,0.0382673,0.00093,43654400000000.0,0.00147,0.0181132,0.00147,,,,
M70-10,11,5.0,81656300000000.0,0.00112,0.0338808,0.0011,33824300000000.0,0.00154,0.0230298,0.00154,107366000000000.0,0.00098,0.0731011,0.00092,1030840000000000.0,0.00022,0.701861,0.00015,10016500000000.0,0.00305,0.00681989,0.00305,273782000000000.0,0.00056,0.186408,0.00051,10944600000000.0,0.00286,0.00454119,0.00287,735944000000000.0,0.0004,0.305357,0.00029,568758000000000.0,0.00039,0.23599,0.00036,509631000000000.0,0.00044,0.211456,0.00037,93397400000000.0,0.00106,0.0387526,0.00105,43940800000000.0,0.00141,0.0180952,0.00142,,,,
M70-10,12,6.0,81965400000000.0,0.00105,0.0337537,0.00101,33680100000000.0,0.00165,0.0229297,0.00165,107677000000000.0,0.00099,0.0733069,0.00095,1024230000000000.0,0.00025,0.697306,0.00016,10101300000000.0,0.0033,0.0068771,0.00331,278655000000000.0,0.00056,0.18971,0.00051,10869200000000.0,0.00314,0.00447602,0.00315,739046000000000.0,0.00038,0.304343,0.00028,565261000000000.0,0.00035,0.232779,0.00035,512638000000000.0,0.00046,0.211107,0.00038,94901900000000.0,0.001,0.0390812,0.00099,44095900000000.0,0.00137,0.0180366,0.00138,,,,
M70-10,13,7.0,82222000000000.0,0.00114,0.033631,0.00111,33250200000000.0,0.00172,0.0226412,0.0017,107990000000000.0,0.001,0.0735339,0.00095,1017800000000000.0,0.00026,0.693053,0.00017,10175300000000.0,0.00314,0.00692875,0.00315,283073000000000.0,0.00052,0.192754,0.00049,10779400000000.0,0.00301,0.00440907,0.00301,741612000000000.0,0.0004,0.303339,0.00032,561997000000000.0,0.00035,0.229873,0.00035,514933000000000.0,0.00047,0.210622,0.0004,96644800000000.0,0.00099,0.0395306,0.00099,44282100000000.0,0.00143,0.0179886,0.00141,,,,
M70-10,14,8.0,82509700000000.0,0.0011,0.0335178,0.00109,33000500000000.0,0.00173,0.022472,0.00175,108378000000000.0,0.00092,0.0737997,0.00087,1010810000000000.0,0.00023,0.688312,0.00017,10269300000000.0,0.00317,0.00699293,0.00317,288277000000000.0,0.00058,0.196302,0.00054,10625800000000.0,0.00287,0.00431653,0.00286,745005000000000.0,0.00042,0.302641,0.00032,558549000000000.0,0.0004,0.2269,0.00039,516697000000000.0,0.00046,0.209897,0.00041,98178300000000.0,0.00094,0.0398832,0.00095,44787600000000.0,0.00141,0.0179482,0.0014,,,,
M70-10,15,10.0,83237600000000.0,0.00101,0.0333567,0.001,32557700000000.0,0.00172,0.0221714,0.00171,109045000000000.0,0.00101,0.0742579,0.00094,998092000000000.0,0.00028,0.67969,0.00018,10333000000000.0,0.00295,0.00703648,0.0029,297378000000000.0,0.00054,0.202511,0.0005,10446400000000.0,0.00319,0.00418626,0.00318,750977000000000.0,0.00042,0.300945,0.00031,551741000000000.0,0.0004,0.221106,0.0004,521204000000000.0,0.00047,0.208867,0.0004,101600000000000.0,0.00092,0.0407153,0.0009,45364400000000.0,0.00149,0.017936,0.00147,,,,
M70-10,16,12.0,83871400000000.0,0.00107,0.0331606,0.00103,32060000000000.0,0.00174,0.0218321,0.00171,109906000000000.0,0.00108,0.0748431,0.00103,985191000000000.0,0.00024,0.670895,0.00018,10488300000000.0,0.00312,0.00714234,0.00312,306591000000000.0,0.00052,0.208782,0.00048,10295400000000.0,0.00299,0.00407052,0.00297,757133000000000.0,0.00036,0.299352,0.00027,545329000000000.0,0.0004,0.21561,0.00038,525545000000000.0,0.00041,0.207787,0.00032,104887000000000.0,0.00105,0.0414699,0.00103,45905300000000.0,0.00152,0.0179244,0.00151,,,,
M70-10,17,14.0,84601200000000.0,0.00108,0.0330338,0.00106,31635600000000.0,0.00175,0.0215371,0.00172,110590000000000.0,0.00108,0.0752888,0.00105,972933000000000.0,0.00028,0.662365,0.0002,10494300000000.0,0.00284,0.00714439,0.00283,315684000000000.0,0.0006,0.214914,0.00052,10103000000000.0,0.00311,0.00394488,0.00311,762896000000000.0,0.0004,0.297883,0.0003,538717000000000.0,0.00042,0.21035,0.00038,529171000000000.0,0.00043,0.206622,0.00037,107977000000000.0,0.001,0.042161,0.00097,46378700000000.0,0.00137,0.0178872,0.00136,,,,
M70-10,18,16.0,85264200000000.0,0.00108,0.0328842,0.00103,31102600000000.0,0.00185,0.0211813,0.00184,111185000000000.0,0.00104,0.0757185,0.001,960724000000000.0,0.00029,0.654269,0.00021,10645700000000.0,0.00338,0.00724982,0.00337,324212000000000.0,0.0006,0.220793,0.00055,9940030000000.0,0.00311,0.00383365,0.0031,768774000000000.0,0.00041,0.296497,0.00032,531826000000000.0,0.00043,0.205113,0.0004,532839000000000.0,0.00045,0.205503,0.0004,110972000000000.0,0.00091,0.0427993,0.00088,47012100000000.0,0.00136,0.0178968,0.00138,,,,
M70-10,19,18.0,86124500000000.0,0.00115,0.0327856,0.00109,30706200000000.0,0.00178,0.020913,0.00176,111901000000000.0,0.00094,0.0762121,0.00089,948568000000000.0,0.00026,0.646041,0.00019,10722100000000.0,0.00285,0.00730243,0.00282,332710000000000.0,0.00052,0.226598,0.00046,9715550000000.0,0.00331,0.0036985,0.00329,775252000000000.0,0.00039,0.295122,0.00028,525379000000000.0,0.00041,0.200002,0.0004,537011000000000.0,0.00043,0.20443,0.00037,114330000000000.0,0.00101,0.0435233,0.001,47642500000000.0,0.00146,0.0179158,0.00143,,,,
