case,step,burnup_MWd_kgHM_global,TH232_CAPT_value,TH232_CAPT_rel_err,TH232_CAPT_fraction,TH232_CAPT_fraction_rel_err,U235_FISS_value,U235_FISS_rel_err,U235_FISS_fraction,U235_FISS_fraction_rel_err,U238_FISS_value,U238_FISS_rel_err,U238_FISS_fraction,U238_FISS_fraction_rel_err,PU239_FISS_value,PU239_FISS_rel_err,PU239_FISS_fraction,PU239_FISS_fraction_rel_err,PU240_FISS_value,PU240_FISS_rel_err,PU240_FISS_fraction,PU240_FISS_fraction_rel_err,PU241_FISS_value,PU241_FISS_rel_err,PU241_FISS_fraction,PU241_FISS_fraction_rel_err,U235_CAPT_value,U235_CAPT_rel_err,U235_CAPT_fraction,U235_CAPT_fraction_rel_err,U238_CAPT_value,U238_CAPT_rel_err,U238_CAPT_fraction,U238_CAPT_fraction_rel_err,PU239_CAPT_value,PU239_CAPT_rel_err,PU239_CAPT_fraction,PU239_CAPT_fraction_rel_err,PU240_CAPT_value,PU240_CAPT_rel_err,PU240_CAPT_fraction,PU240_CAPT_fraction_rel_err,PU241_CAPT_value,PU241_CAPT_rel_err,PU241_CAPT_fraction,PU241_CAPT_fraction_rel_err,XE135_CAPT_value,XE135_CAPT_rel_err,XE135_CAPT_fraction,XE135_CAPT_fraction_rel_err,XE135M_CAPT_value,XE135M_CAPT_rel_err,XE135M_CAPT_fraction,XE135M_CAPT_fraction_rel_err
M43-10,10,4.0,43534500000000.0,0.00154,0.0184315,0.00151,34087700000000.0,0.00178,0.0232158,0.00174,108892000000000.0,0.00096,0.0741629,0.00094,1037920000000000.0,0.00026,0.70689,0.00018,9831280000000.0,0.00306,0.0066957,0.00304,268637000000000.0,0.00066,0.18296,0.00061,11047200000000.0,0.00294,0.00467716,0.00293,742314000000000.0,0.0004,0.31428,0.0003,572291000000000.0,0.00036,0.242297,0.00035,507476000000000.0,0.00045,0.214854,0.00037,91484400000000.0,0.00101,0.0387328,0.00101,43689700000000.0,0.00154,0.0183415,0.00155,,,,
M43-10,11,5.0,43797400000000.0,0.00148,0.0183867,0.00147,33788400000000.0,0.00154,0.0230073,0.00151,109594000000000.0,0.00101,0.0746247,0.00094,1031790000000000.0,0.00024,0.702578,0.00015,9950660000000.0,0.00314,0.00677569,0.00314,273517000000000.0,0.00057,0.186246,0.00055,10925700000000.0,0.00304,0.0045868,0.00305,746135000000000.0,0.0004,0.313235,0.00029,569392000000000.0,0.00037,0.239038,0.00035,510348000000000.0,0.00046,0.214249,0.00038,93414200000000.0,0.001,0.0392164,0.00099,43829000000000.0,0.00149,0.0182689,0.0015,,,,
M43-10,12,6.0,43912900000000.0,0.00154,0.0183038,0.00152,33548700000000.0,0.0018,0.0228474,0.00181,109814000000000.0,0.00093,0.0747851,0.00086,1025640000000000.0,0.00025,0.698484,0.00017,10047800000000.0,0.0031,0.00684256,0.00306,278369000000000.0,0.00063,0.189574,0.00058,10868500000000.0,0.00319,0.00453016,0.00317,749587000000000.0,0.00035,0.312443,0.00028,565972000000000.0,0.00037,0.235909,0.00034,512230000000000.0,0.00043,0.213508,0.00036,94892400000000.0,0.00095,0.0395531,0.00093,44237700000000.0,0.00146,0.0182981,0.00147,,,,
M43-10,13,7.0,44333300000000.0,0.00152,0.0183375,0.00148,33393300000000.0,0.00184,0.0227379,0.0018,110378000000000.0,0.00088,0.0751584,0.00083,1019180000000000.0,0.00026,0.693984,0.00018,10088800000000.0,0.00288,0.00686957,0.00283,283526000000000.0,0.00062,0.193059,0.00056,10752600000000.0,0.00313,0.00444758,0.00313,752731000000000.0,0.00042,0.311352,0.00032,562725000000000.0,0.00039,0.232761,0.00036,515150000000000.0,0.0005,0.213081,0.00043,96779300000000.0,0.00093,0.0400311,0.00094,44495100000000.0,0.00149,0.0182713,0.00151,,,,
M43-10,14,8.0,44442700000000.0,0.00143,0.0182495,0.00141,33020800000000.0,0.00156,0.0224887,0.00153,110665000000000.0,0.00099,0.0753684,0.00097,1013130000000000.0,0.00026,0.689989,0.00018,10166300000000.0,0.00323,0.00692371,0.00321,288234000000000.0,0.00061,0.196301,0.00055,10651100000000.0,0.00308,0.0043737,0.00309,755875000000000.0,0.00039,0.310386,0.0003,559661000000000.0,0.00039,0.229815,0.00038,517651000000000.0,0.00045,0.212563,0.00039,98347500000000.0,0.00092,0.0403847,0.00091,45014400000000.0,0.00144,0.0182188,0.00142,,,,
M43-10,15,10.0,44779700000000.0,0.00145,0.0181238,0.00142,32683000000000.0,0.00186,0.02226,0.00184,111534000000000.0,0.00097,0.0759649,0.00095,1000990000000000.0,0.00028,0.681768,0.00019,10280000000000.0,0.00313,0.00700143,0.00308,297603000000000.0,0.0006,0.202695,0.00056,10509900000000.0,0.00304,0.00425373,0.00304,762595000000000.0,0.00039,0.308648,0.00028,553239000000000.0,0.00036,0.223916,0.00037,522709000000000.0,0.00046,0.211558,0.00036,101787000000000.0,0.00099,0.0411968,0.00097,45574100000000.0,0.00153,0.0182052,0.00155,,,,
M43-10,16,12.0,45223400000000.0,0.00146,0.0180651,0.00147,32127400000000.0,0.00189,0.0218824,0.00186,112074000000000.0,0.00087,0.0763358,0.00084,989239000000000.0,0.00028,0.673787,0.00017,10420800000000.0,0.00318,0.00709767,0.00314,307217000000000.0,0.00053,0.209251,0.0005,10341100000000.0,0.00302,0.00413087,0.00302,768518000000000.0,0.0004,0.306992,0.00031,547395000000000.0,0.00042,0.218663,0.00037,526322000000000.0,0.00043,0.210245,0.00036,104904000000000.0,0.00094,0.0419052,0.00093,46285700000000.0,0.00155,0.0182369,0.00155,,,,
M43-10,17,14.0,45513400000000.0,0.00147,0.0179325,0.00145,31642000000000.0,0.00172,0.0215525,0.0017,112914000000000.0,0.00108,0.0769085,0.00099,977869000000000.0,0.00029,0.666063,0.00019,10498100000000.0,0.00316,0.00715051,0.00313,316093000000000.0,0.0006,0.215302,0.00054,10070500000000.0,0.0033,0.00396773,0.00326,774998000000000.0,0.00042,0.305352,0.00031,541072000000000.0,0.00039,0.213186,0.00038,531438000000000.0,0.00046,0.209389,0.0004,108302000000000.0,0.00106,0.0426717,0.00104,46759500000000.0,0.00146,0.0181861,0.00147,,,,
M43-10,18,16.0,45864500000000.0,0.00154,0.0178378,0.00151,31152900000000.0,0.00176,0.0212155,0.00175,113826000000000.0,0.00097,0.0775164,0.00089,966481000000000.0,0.00027,0.658188,0.00021,10611100000000.0,0.00291,0.00722624,0.00289,325388000000000.0,0.00058,0.221593,0.00051,9931500000000.0,0.00321,0.0038626,0.00319,781765000000000.0,0.00039,0.304048,0.00027,534726000000000.0,0.00041,0.20797,0.00041,535153000000000.0,0.00042,0.208135,0.00035,111363000000000.0,0.00097,0.0433121,0.00097,47243100000000.0,0.00143,0.0181302,0.00143,,,,
M43-10,19,18.0,46242800000000.0,0.00151,0.0177463,0.00151,30622900000000.0,0.00175,0.0208592,0.00174,114363000000000.0,0.00096,0.0778995,0.00092,955602000000000.0,0.0003,0.65092,0.00018,10640900000000.0,0.00311,0.0072483,0.00312,333814000000000.0,0.00048,0.227383,0.00045,9740020000000.0,0.00317,0.00373785,0.00316,788469000000000.0,0.00042,0.302584,0.00033,529237000000000.0,0.00043,0.203102,0.00043,539277000000000.0,0.00045,0.206954,0.0004,114652000000000.0,0.0009,0.0439993,0.00091,47919000000000.0,0.0015,0.0181631,0.00149,,,,
M43-10,20,20.0,46526400000000.0,0.0013,0.0176353,0.0013,30209900000000.0,0.00178,0.0205799,0.00174,115171000000000.0,0.00097,0.0784579,0.0009,944224000000000.0,0.00029,0.643241,0.00019,10667000000000.0,0.0031,0.00726667,0.00307,342679000000000.0,0.00048,0.233446,0.00046,9592370000000.0,0.00317,0.00363585,0.00317,794340000000000.0,0.0004,0.301083,0.00029,523212000000000.0,0.00041,0.198317,0.00039,543297000000000.0,0.00047,0.205929,0.0004,117641000000000.0,0.00085,0.0445906,0.00085,49042700000000.0,0.00135,0.018133,0.00136,,,,
