case,step,burnup_MWd_kgHM_global,ANA_KEFF,CONVERSION_RATIO,reactivity_pcm
M43-25,16,12.0,1.06004,0.685578,5663.937209916616
M43-25,17,14.0,1.05124,0.692426,4874.243750237811
M43-25,18,16.0,1.04265,0.699918,4090.538531626152
M43-25,19,18.0,1.03408,0.707087,3295.6831192944555
M43-25,20,20.0,1.02606,0.713671,2539.8124865992218
M43-25,21,24.0,1.01077,0.727089,1065.5243032539497
M43-25,22,28.0,0.995184,0.741201,-483.93060981688234
M43-25,23,34.0,0.973583,0.760454,-2713.3793420797224
M43-25,24,42.0,0.946599,0.785527,-5641.353941848664
M43-25,25,50.0,0.921351,0.808856,-8536.269022337847
M43-30,0,0.0,1.1476,0.627866,12861.624259323804
M43-30,1,0.1,1.12728,0.637176,11290.89489745228
M43-30,2,0.4,1.12288,0.639822,10943.288686235403
M43-30,3,0.7,1.11942,0.641809,10668.024512694079
M43-30,4,1.0,1.1167,0.643646,10450.434315393573
M43-30,5,1.3,1.114,0.645304,10233.39317773789
M43-30,6,1.6,1.11161,0.647137,10040.39186405304
M43-30,7,2.0,1.10845,0.648811,9783.93251838152
M43-30,8,2.5,1.10532,0.651239,9528.462345746035
M43-30,9,3.0,1.10246,0.653128,9293.761224897049
M43-30,10,4.0,1.09629,0.657587,8783.259903857554
M43-30,11,5.0,1.09182,0.661199,8409.811141030574
M43-30,12,6.0,1.08659,0.665344,7968.96713571816
M43-30,13,7.0,1.08156,0.669369,7540.959355005739
M43-30,14,8.0,1.07714,0.672712,7161.557457712088
M43-30,15,10.0,1.06799,0.679395,6366.16447719548
M43-30,16,12.0,1.0583,0.687455,5508.8349239346135
M43-30,17,14.0,1.04986,0.694417,4749.204655858877
M43-30,18,16.0,1.04144,0.701104,3979.1058534337003
M43-30,19,18.0,1.03285,0.70859,3180.5199206080306
M43-30,20,20.0,1.02508,0.715713,2446.6383111562013
M43-30,21,24.0,1.00954,0.728916,944.9848445826914
M43-30,22,28.0,0.99418,0.742574,-585.4070691424137
M43-30,23,34.0,0.972572,0.762301,-2820.151104494064
M43-30,24,42.0,0.945954,0.787058,-5713.385640316553
M43-30,25,50.0,0.920786,0.810856,-8602.867550114794
M43-5,0,0.0,1.15986,0.612764,13782.697911816935
M43-5,1,0.1,1.13822,0.622572,12143.52234190227
M43-5,2,0.4,1.13441,0.624638,11848.449854990693
M43-5,3,0.7,1.13097,0.627038,11580.32485388649
M43-5,4,1.0,1.12741,0.628972,11301.12381476127
M43-5,5,1.3,1.12549,0.630214,11149.810304845008
M43-5,6,1.6,1.12312,0.631696,10962.319253508076
M43-5,7,2.0,1.12043,0.633477,10748.551895254503
M43-5,8,2.5,1.11703,0.636078,10476.889609052574
M43-5,9,3.0,1.11361,0.638286,10201.955801402644
M43-5,10,4.0,1.10768,0.642226,9721.21912465694
M43-5,11,5.0,1.10278,0.646006,9320.081974645902
M43-5,12,6.0,1.09801,0.649525,8926.148213586392
M43-5,13,7.0,1.09277,0.653512,8489.435105282906
M43-5,14,8.0,1.0877,0.656972,8062.88498666911
