case,step,burnup_MWd_kgHM_global,ANA_KEFF,CONVERSION_RATIO,reactivity_pcm
mox1,0,0.0,1.16625,0.603491,14255.091103965702
mox1,1,0.1,1.14515,0.612623,12675.195389250308
mox1,2,0.4,1.14083,0.614976,12344.521094291
mox1,3,0.7,1.13715,0.617315,12060.853889108745
mox1,4,1.0,1.13394,0.618903,11811.912446866674
mox1,5,1.3,1.13193,0.620372,11655.314374563806
mox1,6,1.6,1.12931,0.62209,11450.354641329664
mox1,7,2.0,1.12615,0.623977,11201.882520090572
mox1,8,2.5,1.12306,0.626217,10957.562374227553
mox1,9,3.0,1.11984,0.628159,10701.528789827114
mox1,10,4.0,1.11436,0.631866,10262.392763559354
mox1,11,5.0,1.1085,0.636305,9788.001804239966
mox1,12,6.0,1.10336,0.639735,9367.749419953587
mox1,13,7.0,1.09776,0.643923,8905.407375018225
mox1,14,8.0,1.09301,0.647704,8509.528732582505
mox1,15,10.0,1.08321,0.655117,7681.797620036743
mox1,16,12.0,1.07355,0.662462,6851.101485724932
mox1,17,14.0,1.06405,0.669934,6019.453973027578
mox1,18,16.0,1.05476,0.67748,5191.702377792097
mox1,19,18.0,1.04566,0.684732,4366.620125088464
mox1,20,20.0,1.03704,0.691758,3571.7040808454794
mox1,21,24.0,1.02005,0.706022,1965.5899220626345
mox1,22,28.0,1.00347,0.720519,345.8000737441163
mox1,23,34.0,0.980221,0.740958,-2017.8102693168164
mox1,24,42.0,0.95034,0.76825,-5225.498242734184
mox1,25,50.0,0.923167,0.793311,-8322.762837059821
mox43,0,0.0,1.13505,0.631466,11898.154266331872
mox43,1,0.1,1.1082,0.644511,9763.580581122547
mox43,2,0.4,1.10253,0.648319,9299.52019446183
mox43,3,0.7,1.09839,0.650988,8957.656205901363
mox43,4,1.0,1.09483,0.653636,8661.618698793418
mox43,5,1.3,1.0921,0.656121,8433.293654427256
mox43,6,1.6,1.08943,0.657806,8208.87987296108
mox43,7,2.0,1.08605,0.660561,7923.207955434828
mox43,8,2.5,1.08274,0.663486,7641.723774867469
mox43,9,3.0,1.0795,0.666498,7364.520611394156
mox43,10,4.0,1.07244,0.67282,6754.690239080979
mox43,11,5.0,1.0659,0.6784,6182.568721268418
mox43,12,6.0,1.05936,0.684387,5603.383174747025
mox43,13,7.0,1.05331,0.690131,5061.188064292561
mox43,14,8.0,1.04684,0.695887,4474.418249207137
mox43,15,10.0,1.03444,0.70786,3329.3376126213243
mox43,16,12.0,1.02284,0.717802,2232.998318407568
mox43,17,14.0,1.01156,0.729062,1142.7893550555593
mox43,18,16.0,1.00079,0.739559,78.9376392649875
mox43,19,18.0,0.990381,0.749641,-971.2423804576265
mox43,20,20.0,0.979433,0.760177,-2099.888404821974
mox43,21,24.0,0.959888,0.779443,-4178.820862433955
mox43,22,28.0,0.940865,0.798177,-6285.173749687793
mox43,23,34.0,0.913871,0.824546,-9424.634330228228
mox43,24,42.0,0.882441,0.855142,-13322.023795358553
mox43,25,50.0,0.854176,0.881076,-17071.891507136697
mox70,0,0.0,1.16961,0.59968,14501.415001581727
mox70,1,0.1,1.14859,0.609157,12936.731122506726
mox70,2,0.4,1.14419,0.611602,12601.92800146829
mox70,3,0.7,1.14097,0.613751,12355.276650569254
mox70,4,1.0,1.13843,0.615281,12159.728749242382
mox70,5,1.3,1.13542,0.617214,11926.86406792201
mox70,6,1.6,1.13294,0.618579,11734.072413366997
mox70,7,2.0,1.13035,0.620279,11531.826425443443
mox70,8,2.5,1.1265,0.622779,11229.471815357307
mox70,9,3.0,1.12383,0.624338,11018.570424352445
mox70,10,4.0,1.11799,0.62848,10553.761661553326
mox70,11,5.0,1.11307,0.632209,10158.390757095241
mox70,12,6.0,1.10711,0.635902,9674.73873418179
mox70,13,7.0,1.10197,0.639875,9253.427951759113
mox70,14,8.0,1.0969,0.643488,8833.986689762056
mox70,15,10.0,1.08753,0.650264,8048.513604222421
mox70,16,12.0,1.07733,0.657905,7177.93062478534
mox70,17,14.0,1.06811,0.665104,6376.6840493956515
mox70,18,16.0,1.05927,0.672304,5595.362844222902
mox70,19,18.0,1.05054,0.679027,4810.85917718507
mox70,20,20.0,1.04202,0.68621,4032.552158307897
mox70,21,24.0,1.02467,0.700435,2407.604399465191
mox70,22,28.0,1.00877,0.714132,869.375576196749
mox70,23,34.0,0.985359,0.734784,-1485.8543941852681
mox70,24,42.0,0.955855,0.761023,-4618.378310517807
mox70,25,50.0,0.928488,0.786451,-7701.984301358771
mox87,0,0.0,1.18557,0.5852,15652.386615720709
mox87,1,0.1,1.16837,0.59252,14410.674700651327
mox87,2,0.4,1.1646,0.594414,14133.608105787402
mox87,3,0.7,1.16153,0.5963,13906.657598167929
mox87,4,1.0,1.15891,0.59752,13712.02250390454
mox87,5,1.3,1.15683,0.598852,13556.87525392668
mox87,6,1.6,1.15399,0.600367,13344.136430991608
mox87,7,2.0,1.15148,0.601512,13155.24368638622
mox87,8,2.5,1.14864,0.602936,12940.520963922561
mox87,9,3.0,1.14571,0.604697,12717.877997049865
mox87,10,4.0,1.13966,0.608341,12254.532053419432
mox87,11,5.0,1.13493,0.611709,11888.838959230965
mox87,12,6.0,1.12906,0.615091,11430.747701627899
mox87,13,7.0,1.12519,0.617526,11126.120921799868
mox87,14,8.0,1.12009,0.621117,10721.459882688001
mox87,15,10.0,1.11117,0.627121,10004.769747203398
mox87,16,12.0,1.10249,0.633156,9296.229444257997
mox87,17,14.0,1.09365,0.639009,8563.068623416999
mox87,18,16.0,1.08504,0.645284,7837.499078374992
mox87,19,18.0,1.07671,0.651079,7124.481058037917
mox87,20,20.0,1.06899,0.657303,6453.755413988915
mox87,21,24.0,1.05335,0.668577,5064.793278587365
mox87,22,28.0,1.03791,0.681246,3652.5324931834266
mox87,23,34.0,1.01603,0.698807,1577.7093196067033
mox87,24,42.0,0.988135,0.722466,-1200.7468615118394
mox87,25,50.0,0.962219,0.744962,-3926.4450192731547
