case,material,step,isotope,mdens_g_per_cm3
M43-25,mox87,8,Np237,9.01101e-05
M43-25,mox87,9,Np237,0.000111223
M43-25,mox87,10,Np237,0.000153472
M43-25,mox87,11,Np237,0.000195629
M43-25,mox87,12,Np237,0.000237737
M43-25,mox87,13,Np237,0.00027969
M43-25,mox87,14,Np237,0.000321447
M43-25,mox87,15,Np237,0.000404723
M43-25,mox87,16,Np237,0.000487006
M43-25,mox87,17,Np237,0.000568501
M43-25,mox87,18,Np237,0.000649067
M43-25,mox87,19,Np237,0.000728571
M43-25,mox87,20,Np237,0.000807072
M43-25,mox87,21,Np237,0.000961502
M43-25,mox87,22,Np237,0.00111141
M43-25,mox87,23,Np237,0.00132534
M43-25,mox87,24,Np237,0.00159085
M43-25,mox87,25,Np237,0.00183082
M43-25,mox87,0,Np239,0.0
M43-25,mox87,1,Np239,0.000320516
M43-25,mox87,2,Np239,0.000579465
M43-25,mox87,3,Np239,0.000607402
M43-25,mox87,4,Np239,0.000611498
M43-25,mox87,5,Np239,0.000613204
M43-25,mox87,6,Np239,0.000614801
M43-25,mox87,7,Np239,0.000616191
M43-25,mox87,8,Np239,0.000617781
M43-25,mox87,9,Np239,0.000619187
M43-25,mox87,10,Np239,0.000621671
M43-25,mox87,11,Np239,0.000624343
M43-25,mox87,12,Np239,0.000626687
M43-25,mox87,13,Np239,0.00062989
M43-25,mox87,14,Np239,0.000632747
M43-25,mox87,15,Np239,0.000636271
M43-25,mox87,16,Np239,0.000641365
M43-25,mox87,17,Np239,0.000646692
M43-25,mox87,18,Np239,0.000651819
M43-25,mox87,19,Np239,0.000657001
M43-25,mox87,20,Np239,0.000662159
M43-25,mox87,21,Np239,0.000668588
M43-25,mox87,22,Np239,0.000679649
M43-25,mox87,23,Np239,0.000691937
M43-25,mox87,24,Np239,0.00070988
M43-25,mox87,25,Np239,0.00073034
M43-25,mox87,0,Pu238,0.0146393
M43-25,mox87,1,Pu238,0.0146273
M43-25,mox87,2,Pu238,0.0145923
M43-25,mox87,3,Pu238,0.014559
M43-25,mox87,4,Pu238,0.0145274
M43-25,mox87,5,Pu238,0.0144974
M43-25,mox87,6,Pu238,0.0144692
M43-25,mox87,7,Pu238,0.0144338
M43-25,mox87,8,Pu238,0.0143935
M43-25,mox87,9,Pu238,0.0143571
M43-25,mox87,10,Pu238,0.0142955
M43-25,mox87,11,Pu238,0.0142476
M43-25,mox87,12,Pu238,0.0142119
M43-25,mox87,13,Pu238,0.0141874
M43-25,mox87,14,Pu238,0.0141729
M43-25,mox87,15,Pu238,0.0141706
M43-25,mox87,16,Pu238,0.0141983
M43-25,mox87,17,Pu238,0.0142512
M43-25,mox87,18,Pu238,0.0143252
M43-25,mox87,19,Pu238,0.0144163
M43-25,mox87,20,Pu238,0.0145223
M43-25,mox87,21,Pu238,0.0147706
M43-25,mox87,22,Pu238,0.0150542
M43-25,mox87,23,Pu238,0.0155255
M43-25,mox87,24,Pu238,0.0162003
M43-25,mox87,25,Pu238,0.0168783
M43-25,mox87,0,Pu239,0.463423
M43-25,mox87,1,Pu239,0.462394
M43-25,mox87,2,Pu239,0.460038
M43-25,mox87,3,Pu239,0.457922
M43-25,mox87,4,Pu239,0.455836
M43-25,mox87,5,Pu239,0.453761
M43-25,mox87,6,Pu239,0.451695
M43-25,mox87,7,Pu239,0.448952
M43-25,mox87,8,Pu239,0.445546
M43-25,mox87,9,Pu239,0.442158
M43-25,mox87,10,Pu239,0.435445
M43-25,mox87,11,Pu239,0.428808
M43-25,mox87,12,Pu239,0.422258
M43-25,mox87,13,Pu239,0.415781
M43-25,mox87,14,Pu239,0.409382
M43-25,mox87,15,Pu239,0.396814
M43-25,mox87,16,Pu239,0.384546
M43-25,mox87,17,Pu239,0.37259
M43-25,mox87,18,Pu239,0.360937
M43-25,mox87,19,Pu239,0.349594
M43-25,mox87,20,Pu239,0.338553
M43-25,mox87,21,Pu239,0.317375
M43-25,mox87,22,Pu239,0.297402
M43-25,mox87,23,Pu239,0.269665
M43-25,mox87,24,Pu239,0.236791
M43-25,mox87,25,Pu239,0.208391
M43-25,mox87,0,Pu240,0.179995
M43-25,mox87,1,Pu240,0.180051
M43-25,mox87,2,Pu240,0.180212
M43-25,mox87,3,Pu240,0.180367
M43-25,mox87,4,Pu240,0.18052
M43-25,mox87,5,Pu240,0.180668
M43-25,mox87,6,Pu240,0.180812
M43-25,mox87,7,Pu240,0.180997
M43-25,mox87,8,Pu240,0.181221
M43-25,mox87,9,Pu240,0.181435
M43-25,mox87,10,Pu240,0.181829
M43-25,mox87,11,Pu240,0.182187
M43-25,mox87,12,Pu240,0.182507
M43-25,mox87,13,Pu240,0.182792
M43-25,mox87,14,Pu240,0.183041
M43-25,mox87,15,Pu240,0.183433
M43-25,mox87,16,Pu240,0.18369
M43-25,mox87,17,Pu240,0.183801
M43-25,mox87,18,Pu240,0.183775
M43-25,mox87,19,Pu240,0.1836
M43-25,mox87,20,Pu240,0.183299
M43-25,mox87,21,Pu240,0.182287
M43-25,mox87,22,Pu240,0.180754
M43-25,mox87,23,Pu240,0.177573
M43-25,mox87,24,Pu240,0.171752
M43-25,mox87,25,Pu240,0.164389
M43-25,mox87,0,Pu241,0.0884753
M43-25,mox87,1,Pu241,0.0885521
M43-25,mox87,2,Pu241,0.0887878
M43-25,mox87,3,Pu241,0.0890237
M43-25,mox87,4,Pu241,0.0892576
M43-25,mox87,5,Pu241,0.0894899
M43-25,mox87,6,Pu241,0.0897204
M43-25,mox87,7,Pu241,0.0900259
M43-25,mox87,8,Pu241,0.0904008
M43-25,mox87,9,Pu241,0.0907704
M43-25,mox87,10,Pu241,0.0914953
M43-25,mox87,11,Pu241,0.0921909
M43-25,mox87,12,Pu241,0.0928595
M43-25,mox87,13,Pu241,0.0935022
M43-25,mox87,14,Pu241,0.0941168
M43-25,mox87,15,Pu241,0.0952671
M43-25,mox87,16,Pu241,0.0963067
M43-25,mox87,17,Pu241,0.0972405
M43-25,mox87,18,Pu241,0.0980718
M43-25,mox87,19,Pu241,0.0988045
M43-25,mox87,20,Pu241,0.099429
M43-25,mox87,21,Pu241,0.100388
M43-25,mox87,22,Pu241,0.100955
M43-25,mox87,23,Pu241,0.101052
M43-25,mox87,24,Pu241,0.0999305
M43-25,mox87,25,Pu241,0.0974882
M43-25,mox87,0,Pu242,0.0447994
M43-25,mox87,1,Pu242,0.0448137
M43-25,mox87,2,Pu242,0.0448593
M43-25,mox87,3,Pu242,0.0449056
M43-25,mox87,4,Pu242,0.0449524
M43-25,mox87,5,Pu242,0.0449998
M43-25,mox87,6,Pu242,0.0450477
M43-25,mox87,7,Pu242,0.0451125
M43-25,mox87,8,Pu242,0.0451954
M43-25,mox87,9,Pu242,0.0452806
M43-25,mox87,10,Pu242,0.0454568
M43-25,mox87,11,Pu242,0.0456413
M43-25,mox87,12,Pu242,0.0458331
M43-25,mox87,13,Pu242,0.0460333
M43-25,mox87,14,Pu242,0.0462415
M43-25,mox87,15,Pu242,0.0466815
M43-25,mox87,16,Pu242,0.0471492
M43-25,mox87,17,Pu242,0.0476473
M43-25,mox87,18,Pu242,0.0481744
M43-25,mox87,19,Pu242,0.048729
M43-25,mox87,20,Pu242,0.0493153
M43-25,mox87,21,Pu242,0.0505677
M43-25,mox87,22,Pu242,0.051914
M43-25,mox87,23,Pu242,0.0540994
M43-25,mox87,24,Pu242,0.0572657
M43-25,mox87,25,Pu242,0.0606357
M43-25,mox87,0,Am241,0.00863983
M43-25,mox87,1,Am241,0.00864624
M43-25,mox87,2,Am241,0.0086651
M43-25,mox87,3,Am241,0.00868381
M43-25,mox87,4,Am241,0.00870238
M43-25,mox87,5,Am241,0.00872087
M43-25,mox87,6,Am241,0.00873929
M43-25,mox87,7,Am241,0.00876374
M43-25,mox87,8,Am241,0.00879426
M43-25,mox87,9,Am241,0.00882468
M43-25,mox87,10,Am241,0.00888511
M43-25,mox87,11,Am241,0.00894479
M43-25,mox87,12,Am241,0.00900414
M43-25,mox87,13,Am241,0.00906229
M43-25,mox87,14,Am241,0.00911955
M43-25,mox87,15,Am241,0.00923131
M43-25,mox87,16,Am241,0.00933788
M43-25,mox87,17,Am241,0.00943871
M43-25,mox87,18,Am241,0.00953254
M43-25,mox87,19,Am241,0.0096194
M43-25,mox87,20,Am241,0.0096984
M43-25,mox87,21,Am241,0.00983078
M43-25,mox87,22,Am241,0.00992607
M43-25,mox87,23,Am241,0.00999385
M43-25,mox87,24,Am241,0.00993113
M43-25,mox87,25,Am241,0.00969484
M43-25,mox87,0,Am243,0.0
M43-25,mox87,1,Am243,4.35834e-05
M43-25,mox87,2,Am243,0.000191958
M43-25,mox87,3,Am243,0.00033973
M43-25,mox87,4,Am243,0.000486799
M43-25,mox87,5,Am243,0.000633205
M43-25,mox87,6,Am243,0.000778807
M43-25,mox87,7,Am243,0.000971859
M43-25,mox87,8,Am243,0.00121082
M43-25,mox87,9,Am243,0.00144694
M43-25,mox87,10,Am243,0.00191207
M43-25,mox87,11,Am243,0.00236779
M43-25,mox87,12,Am243,0.00281469
M43-25,mox87,13,Am243,0.00325264
M43-25,mox87,14,Am243,0.00368217
M43-25,mox87,15,Am243,0.00451558
M43-25,mox87,16,Am243,0.0053216
M43-25,mox87,17,Am243,0.00609863
M43-25,mox87,18,Am243,0.00684906
M43-25,mox87,19,Am243,0.00757518
M43-25,mox87,20,Am243,0.00827316
M43-25,mox87,21,Am243,0.00960044
M43-25,mox87,22,Am243,0.0108563
M43-25,mox87,23,Am243,0.0126141
M43-25,mox87,24,Am243,0.0147555
M43-25,mox87,25,Am243,0.0167007
M43-25,mox87,0,Xe135,0.0
M43-25,mox87,1,Xe135,6.01091e-06
M43-25,mox87,2,Xe135,6.07725e-06
M43-25,mox87,3,Xe135,6.07726e-06
M43-25,mox87,4,Xe135,6.07712e-06
M43-25,mox87,5,Xe135,6.07275e-06
M43-25,mox87,6,Xe135,6.07004e-06
M43-25,mox87,7,Xe135,6.05877e-06
M43-25,mox87,8,Xe135,6.0467e-06
M43-25,mox87,9,Xe135,6.03545e-06
M43-25,mox87,10,Xe135,6.0017e-06
M43-25,mox87,11,Xe135,5.97677e-06
M43-25,mox87,12,Xe135,5.94698e-06
M43-25,mox87,13,Xe135,5.92254e-06
M43-25,mox87,14,Xe135,5.89548e-06
M43-25,mox87,15,Xe135,5.82447e-06
M43-25,mox87,16,Xe135,5.77018e-06
M43-25,mox87,17,Xe135,5.71354e-06
M43-25,mox87,18,Xe135,5.65476e-06
M43-25,mox87,19,Xe135,5.59454e-06
M43-25,mox87,20,Xe135,5.53442e-06
M43-25,mox87,21,Xe135,5.38815e-06
M43-25,mox87,22,Xe135,5.26728e-06
M43-25,mox87,23,Xe135,5.0587e-06
M43-25,mox87,24,Xe135,4.79237e-06
M43-25,mox87,25,Xe135,4.54789e-06
M43-25,mox87,0,Sm149,0.0
M43-25,mox87,1,Sm149,2.40054e-06
M43-25,mox87,2,Sm149,2.05631e-05
M43-25,mox87,3,Sm149,3.81489e-05
M43-25,mox87,4,Sm149,5.22753e-05
M43-25,mox87,5,Sm149,6.34167e-05
M43-25,mox87,6,Sm149,7.221e-05
M43-25,mox87,7,Sm149,8.10692e-05
M43-25,mox87,8,Sm149,8.8868e-05
M43-25,mox87,9,Sm149,9.41147e-05
M43-25,mox87,10,Sm149,0.000100038
M43-25,mox87,11,Sm149,0.000102747
M43-25,mox87,12,Sm149,0.000104004
M43-25,mox87,13,Sm149,0.000104578
M43-25,mox87,14,Sm149,0.000104813
M43-25,mox87,15,Sm149,0.000104869
M43-25,mox87,16,Sm149,0.000104605
M43-25,mox87,17,Sm149,0.000104084
M43-25,mox87,18,Sm149,0.000103381
M43-25,mox87,19,Sm149,0.000102404
M43-25,mox87,20,Sm149,0.000101407
M43-25,mox87,21,Sm149,9.94464e-05
M43-25,mox87,22,Sm149,9.69639e-05
M43-25,mox87,23,Sm149,9.30977e-05
M43-25,mox87,24,Sm149,8.78061e-05
M43-25,mox87,25,Sm149,8.22098e-05
M43-25,mox87,0,Cs137,0.0
M43-25,mox87,1,Cs137,3.91784e-05
M43-25,mox87,2,Cs137,0.000156856
M43-25,mox87,3,Cs137,0.000274539
M43-25,mox87,4,Cs137,0.000392211
M43-25,mox87,5,Cs137,0.000509836
M43-25,mox87,6,Cs137,0.00062738
M43-25,mox87,7,Cs137,0.000784044
M43-25,mox87,8,Cs137,0.000979617
M43-25,mox87,9,Cs137,0.00117503
M43-25,mox87,10,Cs137,0.00156527
M43-25,mox87,11,Cs137,0.00195485
M43-25,mox87,12,Cs137,0.00234333
M43-25,mox87,13,Cs137,0.0027313
M43-25,mox87,14,Cs137,0.00311855
M43-25,mox87,15,Cs137,0.00389067
M43-25,mox87,16,Cs137,0.00465982
M43-25,mox87,17,Cs137,0.00542601
M43-25,mox87,18,Cs137,0.006189
M43-25,mox87,19,Cs137,0.00694901
M43-25,mox87,20,Cs137,0.00770585
M43-25,mox87,21,Cs137,0.00920965
M43-25,mox87,22,Cs137,0.0107018
M43-25,mox87,23,Cs137,0.0129169
M43-25,mox87,24,Cs137,0.0158253
M43-25,mox87,25,Cs137,0.0186814
M43-25,mox87,0,Sr90,0.0
M43-25,mox87,1,Sr90,8.4367e-06
M43-25,mox87,2,Sr90,3.37803e-05
M43-25,mox87,3,Sr90,5.91196e-05
M43-25,mox87,4,Sr90,8.44509e-05
M43-25,mox87,5,Sr90,0.000109767
M43-25,mox87,6,Sr90,0.000135059
M43-25,mox87,7,Sr90,0.000168757
M43-25,mox87,8,Sr90,0.00021081
M43-25,mox87,9,Sr90,0.00025281
M43-25,mox87,10,Sr90,0.000336628
M43-25,mox87,11,Sr90,0.000420227
M43-25,mox87,12,Sr90,0.000503509
M43-25,mox87,13,Sr90,0.000586606
M43-25,mox87,14,Sr90,0.000669467
M43-25,mox87,15,Sr90,0.000834448
M43-25,mox87,16,Sr90,0.00099848
M43-25,mox87,17,Sr90,0.00116157
M43-25,mox87,18,Sr90,0.00132366
M43-25,mox87,19,Sr90,0.00148482
M43-25,mox87,20,Sr90,0.00164498
M43-25,mox87,21,Sr90,0.00196229
M43-25,mox87,22,Sr90,0.00227593
M43-25,mox87,23,Sr90,0.00273921
M43-25,mox87,24,Sr90,0.00334339
M43-25,mox87,25,Sr90,0.0039322
M43-25,mox87,0,I129,0.0
M43-25,mox87,1,I129,6.17081e-06
M43-25,mox87,2,I129,2.74305e-05
M43-25,mox87,3,I129,4.86917e-05
M43-25,mox87,4,I129,6.99521e-05
M43-25,mox87,5,I129,9.12051e-05
M43-25,mox87,6,I129,0.000112443
M43-25,mox87,7,I129,0.000140748
M43-25,mox87,8,I129,0.00017608
M43-25,mox87,9,I129,0.000211377
M43-25,mox87,10,I129,0.000281849
M43-25,mox87,11,I129,0.000352165
M43-25,mox87,12,I129,0.000422244
M43-25,mox87,13,I129,0.000492194
M43-25,mox87,14,I129,0.000561969
M43-25,mox87,15,I129,0.000700973
M43-25,mox87,16,I129,0.000839263
M43-25,mox87,17,I129,0.000976828
M43-25,mox87,18,I129,0.00111363
M43-25,mox87,19,I129,0.00124969
M43-25,mox87,20,I129,0.00138499
M43-25,mox87,21,I129,0.00165321
M43-25,mox87,22,I129,0.00191847
M43-25,mox87,23,I129,0.00231061
M43-25,mox87,24,I129,0.00282228
M43-25,mox87,25,I129,0.00332108
M43-25,mox87,0,Nd143,0.0
M43-25,mox87,1,Nd143,5.7423e-07
M43-25,mox87,2,Nd143,1.76512e-05
M43-25,mox87,3,Nd143,5.62345e-05
M43-25,mox87,4,Nd143,0.000109615
M43-25,mox87,5,Nd143,0.000172892
M43-25,mox87,6,Nd143,0.000242763
M43-25,mox87,7,Nd143,0.000342469
M43-25,mox87,8,Nd143,0.000473212
M43-25,mox87,9,Nd143,0.000607434
M43-25,mox87,10,Nd143,0.000879877
M43-25,mox87,11,Nd143,0.00115312
M43-25,mox87,12,Nd143,0.0014254
M43-25,mox87,13,Nd143,0.0016963
M43-25,mox87,14,Nd143,0.00196579
M43-25,mox87,15,Nd143,0.00250078
M43-25,mox87,16,Nd143,0.00302896
M43-25,mox87,17,Nd143,0.00355076
M43-25,mox87,18,Nd143,0.00406598
M43-25,mox87,19,Nd143,0.00457449
M43-25,mox87,20,Nd143,0.00507609
M43-25,mox87,21,Nd143,0.00605971
M43-25,mox87,22,Nd143,0.00701246
M43-25,mox87,23,Nd143,0.00838615
M43-25,mox87,24,Nd143,0.0101021
M43-25,mox87,25,Nd143,0.0116747
M43-25,mox87,0,Nd145,0.0
M43-25,mox87,1,Nd145,1.69069e-05
M43-25,mox87,2,Nd145,7.5806e-05
M43-25,mox87,3,Nd145,0.000134663
M43-25,mox87,4,Nd145,0.00019347
M43-25,mox87,5,Nd145,0.000252211
M43-25,mox87,6,Nd145,0.000310864
M43-25,mox87,7,Nd145,0.000388969
M43-25,mox87,8,Nd145,0.000486363
M43-25,mox87,9,Nd145,0.000583543
M43-25,mox87,10,Nd145,0.000777233
M43-25,mox87,11,Nd145,0.000970065
M43-25,mox87,12,Nd145,0.00116184
M43-25,mox87,13,Nd145,0.00135283
M43-25,mox87,14,Nd145,0.00154294
M43-25,mox87,15,Nd145,0.00192043
M43-25,mox87,16,Nd145,0.00229428
M43-25,mox87,17,Nd145,0.00266456
M43-25,mox87,18,Nd145,0.00303113
M43-25,mox87,19,Nd145,0.00339408
M43-25,mox87,20,Nd145,0.00375331
M43-25,mox87,21,Nd145,0.00446022
M43-25,mox87,22,Nd145,0.0051525
M43-25,mox87,23,Nd145,0.00616215
M43-25,mox87,24,Nd145,0.00745331
M43-25,mox87,25,Nd145,0.00867997
M43-25,mox87,0,lost,0.0
M43-25,mox87,1,lost,0.0
M43-25,mox87,2,lost,0.0
M43-25,mox87,3,lost,0.0
M43-25,mox87,4,lost,0.0
M43-25,mox87,5,lost,0.0
M43-25,mox87,6,lost,0.0
M43-25,mox87,7,lost,0.0
M43-25,mox87,8,lost,0.0
M43-25,mox87,9,lost,0.0
M43-25,mox87,10,lost,0.0
M43-25,mox87,11,lost,0.0
M43-25,mox87,12,lost,0.0
M43-25,mox87,13,lost,0.0
M43-25,mox87,14,lost,0.0
M43-25,mox87,15,lost,0.0
M43-25,mox87,16,lost,0.0
M43-25,mox87,17,lost,0.0
M43-25,mox87,18,lost,0.0
M43-25,mox87,19,lost,0.0
M43-25,mox87,20,lost,0.0
M43-25,mox87,21,lost,0.0
M43-25,mox87,22,lost,0.0
M43-25,mox87,23,lost,0.0
M43-25,mox87,24,lost,0.0
M43-25,mox87,25,lost,0.0
M43-25,mox87,0,total,10.43
M43-25,mox87,1,total,10.43
M43-25,mox87,2,total,10.43
M43-25,mox87,3,total,10.43
M43-25,mox87,4,total,10.43
M43-25,mox87,5,total,10.43
M43-25,mox87,6,total,10.4299
M43-25,mox87,7,total,10.4299
M43-25,mox87,8,total,10.4299
M43-25,mox87,9,total,10.4299
M43-25,mox87,10,total,10.4299
M43-25,mox87,11,total,10.4298
M43-25,mox87,12,total,10.4298
M43-25,mox87,13,total,10.4298
M43-25,mox87,14,total,10.4297
M43-25,mox87,15,total,10.4297
M43-25,mox87,16,total,10.4296
M43-25,mox87,17,total,10.4296
M43-25,mox87,18,total,10.4295
M43-25,mox87,19,total,10.4294
M43-25,mox87,20,total,10.4294
M43-25,mox87,21,total,10.4293
M43-25,mox87,22,total,10.4292
M43-25,mox87,23,total,10.4291
M43-25,mox87,24,total,10.4289
M43-25,mox87,25,total,10.4288
M43-30,M43-30,0,Th232,2.80004
M43-30,M43-30,1,Th232,2.79982
M43-30,M43-30,2,Th232,2.79915
M43-30,M43-30,3,Th232,2.79848
M43-30,M43-30,4,Th232,2.79781
M43-30,M43-30,5,Th232,2.79713
M43-30,M43-30,6,Th232,2.79646
M43-30,M43-30,7,Th232,2.79556
M43-30,M43-30,8,Th232,2.79443
M43-30,M43-30,9,Th232,2.79329
M43-30,M43-30,10,Th232,2.79102
M43-30,M43-30,11,Th232,2.78873
M43-30,M43-30,12,Th232,2.78643
M43-30,M43-30,13,Th232,2.78412
M43-30,M43-30,14,Th232,2.7818
M43-30,M43-30,15,Th232,2.77713
M43-30,M43-30,16,Th232,2.77242
M43-30,M43-30,17,Th232,2.76766
M43-30,M43-30,18,Th232,2.76287
M43-30,M43-30,19,Th232,2.75803
M43-30,M43-30,20,Th232,2.75316
M43-30,M43-30,21,Th232,2.74329
M43-30,M43-30,22,Th232,2.73325
M43-30,M43-30,23,Th232,2.7179
M43-30,M43-30,24,Th232,2.69687
M43-30,M43-30,25,Th232,2.67522
M43-30,M43-30,0,Th233,0.0
M43-30,M43-30,1,Th233,1.80644e-06
M43-30,M43-30,2,Th233,1.82263e-06
M43-30,M43-30,3,Th233,1.82737e-06
M43-30,M43-30,4,Th233,1.83192e-06
M43-30,M43-30,5,Th233,1.83662e-06
M43-30,M43-30,6,Th233,1.83911e-06
M43-30,M43-30,7,Th233,1.84435e-06
M43-30,M43-30,8,Th233,1.84964e-06
M43-30,M43-30,9,Th233,1.85432e-06
M43-30,M43-30,10,Th233,1.8609e-06
M43-30,M43-30,11,Th233,1.87056e-06
M43-30,M43-30,12,Th233,1.87836e-06
M43-30,M43-30,13,Th233,1.88837e-06
M43-30,M43-30,14,Th233,1.89534e-06
M43-30,M43-30,15,Th233,1.90957e-06
M43-30,M43-30,16,Th233,1.92402e-06
M43-30,M43-30,17,Th233,1.9441e-06
M43-30,M43-30,18,Th233,1.95951e-06
M43-30,M43-30,19,Th233,1.97659e-06
M43-30,M43-30,20,Th233,1.99183e-06
M43-30,M43-30,21,Th233,2.01486e-06
M43-30,M43-30,22,Th233,2.0495e-06
M43-30,M43-30,23,Th233,2.08795e-06
M43-30,M43-30,24,Th233,2.14409e-06
M43-30,M43-30,25,Th233,2.20667e-06
M43-30,M43-30,0,Pa233,0.0
M43-30,M43-30,1,Pa233,0.000206217
M43-30,M43-30,2,Pa233,0.000756558
M43-30,M43-30,3,Pa233,0.00120628
M43-30,M43-30,4,Pa233,0.00157398
M43-30,M43-30,5,Pa233,0.00187495
M43-30,M43-30,6,Pa233,0.00212084
M43-30,M43-30,7,Pa233,0.00238142
M43-30,M43-30,8,Pa233,0.0026239
M43-30,M43-30,9,Pa233,0.00279844
M43-30,M43-30,10,Pa233,0.00301638
M43-30,M43-30,11,Pa233,0.00313458
M43-30,M43-30,12,Pa233,0.00320088
M43-30,M43-30,13,Pa233,0.00324295
M43-30,M43-30,14,Pa233,0.00327015
M43-30,M43-30,15,Pa233,0.00330988
M43-30,M43-30,16,Pa233,0.00333869
M43-30,M43-30,17,Pa233,0.00337186
M43-30,M43-30,18,Pa233,0.00340024
M43-30,M43-30,19,Pa233,0.00342952
M43-30,M43-30,20,Pa233,0.00345658
M43-30,M43-30,21,Pa233,0.00350363
M43-30,M43-30,22,Pa233,0.00356263
M43-30,M43-30,23,Pa233,0.00363221
M43-30,M43-30,24,Pa233,0.00372988
M43-30,M43-30,25,Pa233,0.0038373
M43-30,M43-30,0,Pa234,0.0
M43-30,M43-30,1,Pa234,1.99962e-08
M43-30,M43-30,2,Pa234,8.44411e-08
M43-30,M43-30,3,Pa234,1.37131e-07
M43-30,M43-30,4,Pa234,1.80206e-07
M43-30,M43-30,5,Pa234,2.15322e-07
M43-30,M43-30,6,Pa234,2.44536e-07
M43-30,M43-30,7,Pa234,2.74916e-07
M43-30,M43-30,8,Pa234,3.03526e-07
M43-30,M43-30,9,Pa234,3.24616e-07
M43-30,M43-30,10,Pa234,3.49917e-07
M43-30,M43-30,11,Pa234,3.64183e-07
M43-30,M43-30,12,Pa234,3.72485e-07
M43-30,M43-30,13,Pa234,3.7748e-07
M43-30,M43-30,14,Pa234,3.81001e-07
M43-30,M43-30,15,Pa234,3.86131e-07
M43-30,M43-30,16,Pa234,3.89965e-07
M43-30,M43-30,17,Pa234,3.9544e-07
M43-30,M43-30,18,Pa234,3.99312e-07
M43-30,M43-30,19,Pa234,4.03569e-07
M43-30,M43-30,20,Pa234,4.07978e-07
M43-30,M43-30,21,Pa234,4.15203e-07
M43-30,M43-30,22,Pa234,4.25032e-07
M43-30,M43-30,23,Pa234,4.38295e-07
M43-30,M43-30,24,Pa234,4.56199e-07
M43-30,M43-30,25,Pa234,4.77672e-07
M43-30,M43-30,0,U233,0.0
M43-30,M43-30,1,U233,6.91437e-06
M43-30,M43-30,2,U233,0.000105118
M43-30,M43-30,3,U233,0.000302318
M43-30,M43-30,4,U233,0.00057962
M43-30,M43-30,5,U233,0.00092164
M43-30,M43-30,6,U233,0.00131577
M43-30,M43-30,7,U233,0.00190494
M43-30,M43-30,8,U233,0.00271766
M43-30,M43-30,9,U233,0.0035895
M43-30,M43-30,10,U233,0.00543749
M43-30,M43-30,11,U233,0.00734902
M43-30,M43-30,12,U233,0.00927411
M43-30,M43-30,13,U233,0.011188
M43-30,M43-30,14,U233,0.0130779
M43-30,M43-30,15,U233,0.0167681
M43-30,M43-30,16,U233,0.0203206
M43-30,M43-30,17,U233,0.0237359
M43-30,M43-30,18,U233,0.0270163
M43-30,M43-30,19,U233,0.0301626
M43-30,M43-30,20,U233,0.0331783
M43-30,M43-30,21,U233,0.0388385
M43-30,M43-30,22,U233,0.0440093
M43-30,M43-30,23,U233,0.0509238
M43-30,M43-30,24,U233,0.0586845
M43-30,M43-30,25,U233,0.0649052
M43-30,M43-30,0,U234,0.0
M43-30,M43-30,1,U234,5.43579e-07
M43-30,M43-30,2,U234,3.98438e-06
M43-30,M43-30,3,U234,9.84619e-06
M43-30,M43-30,4,U234,1.77833e-05
M43-30,M43-30,5,U234,2.75079e-05
M43-30,M43-30,6,U234,3.88083e-05
M43-30,M43-30,7,U234,5.59741e-05
M43-30,M43-30,8,U234,8.03434e-05
M43-30,M43-30,9,U234,0.000107502
M43-30,M43-30,10,U234,0.000168594
M43-30,M43-30,11,U234,0.000237375
M43-30,M43-30,12,U234,0.000312767
M43-30,M43-30,13,U234,0.000394088
M43-30,M43-30,14,U234,0.000481048
M43-30,M43-30,15,U234,0.000670947
M43-30,M43-30,16,U234,0.000880766
M43-30,M43-30,17,U234,0.00110972
M43-30,M43-30,18,U234,0.00135666
M43-30,M43-30,19,U234,0.00162052
M43-30,M43-30,20,U234,0.00190033
M43-30,M43-30,21,U234,0.00250463
M43-30,M43-30,22,U234,0.00316359
M43-30,M43-30,23,U234,0.00424033
M43-30,M43-30,24,U234,0.00580688
M43-30,M43-30,25,U234,0.00748884
M43-30,M43-30,0,U235,0.0206312
M43-30,M43-30,1,U235,0.0205991
M43-30,M43-30,2,U235,0.0205031
M43-30,M43-30,3,U235,0.0204072
M43-30,M43-30,4,U235,0.0203116
M43-30,M43-30,5,U235,0.0202163
M43-30,M43-30,6,U235,0.0201212
M43-30,M43-30,7,U235,0.019995
M43-30,M43-30,8,U235,0.0198379
M43-30,M43-30,9,U235,0.0196817
M43-30,M43-30,10,U235,0.019372
M43-30,M43-30,11,U235,0.0190656
M43-30,M43-30,12,U235,0.0187631
M43-30,M43-30,13,U235,0.0184643
M43-30,M43-30,14,U235,0.0181696
M43-30,M43-30,15,U235,0.0175921
M43-30,M43-30,16,U235,0.0170308
M43-30,M43-30,17,U235,0.0164857
M43-30,M43-30,18,U235,0.0159575
M43-30,M43-30,19,U235,0.0154456
M43-30,M43-30,20,U235,0.014951
M43-30,M43-30,21,U235,0.0140133
M43-30,M43-30,22,U235,0.013144
M43-30,M43-30,23,U235,0.0119728
M43-30,M43-30,24,U235,0.0106548
M43-30,M43-30,25,U235,0.0096009
M43-30,M43-30,0,U236,0.0
M43-30,M43-30,1,U236,7.68582e-06
M43-30,M43-30,2,U236,3.07397e-05
M43-30,M43-30,3,U236,5.37133e-05
M43-30,M43-30,4,U236,7.65899e-05
