case,material,step,burnup_MWd_kgHM
M87-5,mox70,14,8.43641
M87-5,mox70,15,10.5394
M87-5,mox70,16,12.6397
M87-5,mox70,17,14.738
M87-5,mox70,18,16.8341
M87-5,mox70,19,18.9267
M87-5,mox70,20,21.0166
M87-5,mox70,21,25.1897
M87-5,mox70,22,29.351
M87-5,mox70,23,35.5724
M87-5,mox70,24,43.8273
M87-5,mox70,25,52.0395
mox1,mox43,0,0.0
mox1,mox43,1,0.0806968
mox1,mox43,2,0.322724
mox1,mox43,3,0.564592
mox1,mox43,4,0.806564
mox1,mox43,5,1.04861
mox1,mox43,6,1.2907
mox1,mox43,7,1.6136
mox1,mox43,8,2.01746
mox1,mox43,9,2.42171
mox1,mox43,10,3.23037
mox1,mox43,11,4.03956
mox1,mox43,12,4.8492
mox1,mox43,13,5.65924
mox1,mox43,14,6.46985
mox1,mox43,15,8.09315
mox1,mox43,16,9.71921
mox1,mox43,17,11.3486
mox1,mox43,18,12.9803
mox1,mox43,19,14.6148
mox1,mox43,20,16.252
mox1,mox43,21,19.5374
mox1,mox43,22,22.8353
mox1,mox43,23,27.8105
mox1,mox43,24,34.5017
mox1,mox43,25,41.2633
mox1,mox70,0,0.0
mox1,mox70,1,0.105408
mox1,mox70,2,0.421439
mox1,mox70,3,0.737461
mox1,mox70,4,1.0534
mox1,mox70,5,1.36927
mox1,mox70,6,1.68514
mox1,mox70,7,2.10622
mox1,mox70,8,2.63247
mox1,mox70,9,3.15869
mox1,mox70,10,4.21086
mox1,mox70,11,5.26253
mox1,mox70,12,6.3139
mox1,mox70,13,7.3646
mox1,mox70,14,8.41511
mox1,mox70,15,10.5142
mox1,mox70,16,12.6119
mox1,mox70,17,14.7078
mox1,mox70,18,16.8022
mox1,mox70,19,18.8939
mox1,mox70,20,20.9841
mox1,mox70,21,25.1578
mox1,mox70,22,29.3231
mox1,mox70,23,35.556
mox1,mox70,24,43.8335
mox1,mox70,25,52.077
mox1,mox87,0,0.0
mox1,mox87,1,0.109099
mox1,mox87,2,0.436816
mox1,mox87,3,0.764711
mox1,mox87,4,1.09266
mox1,mox87,5,1.42065
mox1,mox87,6,1.74862
mox1,mox87,7,2.18593
mox1,mox87,8,2.73254
mox1,mox87,9,3.27881
mox1,mox87,10,4.37168
mox1,mox87,11,5.46496
mox1,mox87,12,6.55837
mox1,mox87,13,7.65262
mox1,mox87,14,8.74666
mox1,mox87,15,10.9363
mox1,mox87,16,13.1258
mox1,mox87,17,15.3154
mox1,mox87,18,17.5055
mox1,mox87,19,19.6979
mox1,mox87,20,21.8904
mox1,mox87,21,26.2768
mox1,mox87,22,30.6668
mox1,mox87,23,37.2516
mox1,mox87,24,46.0357
mox1,mox87,25,54.8137
mox43,mox43,0,0.0
mox43,mox43,1,0.1
mox43,mox43,2,0.400002
mox43,mox43,3,0.700003
mox43,mox43,4,1.0
mox43,mox43,5,1.30001
mox43,mox43,6,1.60001
mox43,mox43,7,2.00001
mox43,mox43,8,2.50001
mox43,mox43,9,3.00001
mox43,mox43,10,4.00001
mox43,mox43,11,5.00002
mox43,mox43,12,6.00002
mox43,mox43,13,7.00003
mox43,mox43,14,8.00003
mox43,mox43,15,10.0
mox43,mox43,16,12.0
mox43,mox43,17,14.0001
mox43,mox43,18,16.0001
mox43,mox43,19,18.0001
mox43,mox43,20,20.0001
mox43,mox43,21,24.0001
mox43,mox43,22,28.0001
mox43,mox43,23,34.0001
mox43,mox43,24,42.0002
mox43,mox43,25,50.0002
mox70,mox70,0,0.0
mox70,mox70,1,0.1
mox70,mox70,2,0.400001
mox70,mox70,3,0.700002
mox70,mox70,4,1.0
mox70,mox70,5,1.3
mox70,mox70,6,1.60001
mox70,mox70,7,2.00001
mox70,mox70,8,2.50001
mox70,mox70,9,3.00001
mox70,mox70,10,4.00001
mox70,mox70,11,5.00002
mox70,mox70,12,6.00002
mox70,mox70,13,7.00002
mox70,mox70,14,8.00003
mox70,mox70,15,10.0
mox70,mox70,16,12.0
mox70,mox70,17,14.0
mox70,mox70,18,16.0001
mox70,mox70,19,18.0001
mox70,mox70,20,20.0001
mox70,mox70,21,24.0001
mox70,mox70,22,28.0001
mox70,mox70,23,34.0001
mox70,mox70,24,42.0002
mox70,mox70,25,50.0002
mox87,mox87,0,0.0
mox87,mox87,1,0.1
mox87,mox87,2,0.400001
mox87,mox87,3,0.700002
mox87,mox87,4,1.0
mox87,mox87,5,1.3
mox87,mox87,6,1.6
mox87,mox87,7,2.00001
mox87,mox87,8,2.50001
mox87,mox87,9,3.00001
mox87,mox87,10,4.00001
mox87,mox87,11,5.00002
mox87,mox87,12,6.00002
mox87,mox87,13,7.00002
mox87,mox87,14,8.00003
mox87,mox87,15,10.0
mox87,mox87,16,12.0
mox87,mox87,17,14.0
mox87,mox87,18,16.0001
mox87,mox87,19,18.0001
mox87,mox87,20,20.0001
mox87,mox87,21,24.0001
mox87,mox87,22,28.0001
mox87,mox87,23,34.0001
mox87,mox87,24,42.0001
mox87,mox87,25,50.0002
