case,material,step,isotope,adens_atoms_per_barn_cm
M43-10,M43-10,1,U235,5.27715e-05
M43-10,M43-10,2,U235,5.25242e-05
M43-10,M43-10,3,U235,5.22775e-05
M43-10,M43-10,4,U235,5.20313e-05
M43-10,M43-10,5,U235,5.17859e-05
M43-10,M43-10,6,U235,5.15414e-05
M43-10,M43-10,7,U235,5.12163e-05
M43-10,M43-10,8,U235,5.08117e-05
M43-10,M43-10,9,U235,5.04089e-05
M43-10,M43-10,10,U235,4.96099e-05
M43-10,M43-10,11,U235,4.88192e-05
M43-10,M43-10,12,U235,4.80366e-05
M43-10,M43-10,13,U235,4.72629e-05
M43-10,M43-10,14,U235,4.64977e-05
M43-10,M43-10,15,U235,4.4994e-05
M43-10,M43-10,16,U235,4.3526e-05
M43-10,M43-10,17,U235,4.20937e-05
M43-10,M43-10,18,U235,4.06974e-05
M43-10,M43-10,19,U235,3.93386e-05
M43-10,M43-10,20,U235,3.80162e-05
M43-10,M43-10,21,U235,3.54845e-05
M43-10,M43-10,22,U235,3.31031e-05
M43-10,M43-10,23,U235,2.98122e-05
M43-10,M43-10,24,U235,2.59482e-05
M43-10,M43-10,25,U235,2.26617e-05
M43-10,M43-10,0,U236,0.0
M43-10,M43-10,1,U236,1.96684e-08
M43-10,M43-10,2,U236,7.86725e-08
M43-10,M43-10,3,U236,1.37469e-07
M43-10,M43-10,4,U236,1.96058e-07
M43-10,M43-10,5,U236,2.54351e-07
M43-10,M43-10,6,U236,3.12359e-07
M43-10,M43-10,7,U236,3.89324e-07
M43-10,M43-10,8,U236,4.84826e-07
M43-10,M43-10,9,U236,5.79727e-07
M43-10,M43-10,10,U236,7.67046e-07
M43-10,M43-10,11,U236,9.51387e-07
M43-10,M43-10,12,U236,1.13281e-06
M43-10,M43-10,13,U236,1.31124e-06
M43-10,M43-10,14,U236,1.48676e-06
M43-10,M43-10,15,U236,1.82872e-06
M43-10,M43-10,16,U236,2.15908e-06
M43-10,M43-10,17,U236,2.47832e-06
M43-10,M43-10,18,U236,2.78641e-06
M43-10,M43-10,19,U236,3.08319e-06
M43-10,M43-10,20,U236,3.36917e-06
M43-10,M43-10,21,U236,3.90901e-06
M43-10,M43-10,22,U236,4.40809e-06
M43-10,M43-10,23,U236,5.08467e-06
M43-10,M43-10,24,U236,5.85947e-06
M43-10,M43-10,25,U236,6.50525e-06
M43-10,M43-10,0,U237,0.0
M43-10,M43-10,1,U237,7.8542e-09
M43-10,M43-10,2,U237,2.22328e-08
M43-10,M43-10,3,U237,2.87856e-08
M43-10,M43-10,4,U237,3.18344e-08
M43-10,M43-10,5,U237,3.33766e-08
M43-10,M43-10,6,U237,3.41178e-08
M43-10,M43-10,7,U237,3.46115e-08
M43-10,M43-10,8,U237,3.511e-08
M43-10,M43-10,9,U237,3.54165e-08
M43-10,M43-10,10,U237,3.60121e-08
M43-10,M43-10,11,U237,3.66085e-08
M43-10,M43-10,12,U237,3.71464e-08
M43-10,M43-10,13,U237,3.76083e-08
M43-10,M43-10,14,U237,3.80784e-08
M43-10,M43-10,15,U237,3.91012e-08
M43-10,M43-10,16,U237,4.01492e-08
M43-10,M43-10,17,U237,4.10417e-08
M43-10,M43-10,18,U237,4.19767e-08
M43-10,M43-10,19,U237,4.29606e-08
M43-10,M43-10,20,U237,4.37441e-08
M43-10,M43-10,21,U237,4.52313e-08
M43-10,M43-10,22,U237,4.68847e-08
M43-10,M43-10,23,U237,4.89019e-08
M43-10,M43-10,24,U237,5.15441e-08
M43-10,M43-10,25,U237,5.40061e-08
M43-10,M43-10,0,U238,0.0197829
M43-10,M43-10,1,U238,0.0197816
M43-10,M43-10,2,U238,0.0197777
M43-10,M43-10,3,U238,0.0197739
M43-10,M43-10,4,U238,0.0197699
M43-10,M43-10,5,U238,0.019766
M43-10,M43-10,6,U238,0.0197621
M43-10,M43-10,7,U238,0.0197569
M43-10,M43-10,8,U238,0.0197503
M43-10,M43-10,9,U238,0.0197437
M43-10,M43-10,10,U238,0.0197305
M43-10,M43-10,11,U238,0.0197172
M43-10,M43-10,12,U238,0.0197039
M43-10,M43-10,13,U238,0.0196905
M43-10,M43-10,14,U238,0.019677
M43-10,M43-10,15,U238,0.0196499
M43-10,M43-10,16,U238,0.0196226
M43-10,M43-10,17,U238,0.0195951
M43-10,M43-10,18,U238,0.0195674
M43-10,M43-10,19,U238,0.0195394
M43-10,M43-10,20,U238,0.0195113
M43-10,M43-10,21,U238,0.0194543
M43-10,M43-10,22,U238,0.0193964
M43-10,M43-10,23,U238,0.0193081
M43-10,M43-10,24,U238,0.0191873
M43-10,M43-10,25,U238,0.0190631
M43-10,M43-10,0,Np237,0.0
M43-10,M43-10,1,Np237,1.21775e-09
M43-10,M43-10,2,Np237,1.43776e-08
M43-10,M43-10,3,Np237,3.54301e-08
M43-10,M43-10,4,Np237,6.00334e-08
M43-10,M43-10,5,Np237,8.62713e-08
M43-10,M43-10,6,Np237,1.1325e-07
M43-10,M43-10,7,Np237,1.49658e-07
M43-10,M43-10,8,Np237,1.95493e-07
M43-10,M43-10,9,Np237,2.41452e-07
M43-10,M43-10,10,Np237,3.33492e-07
M43-10,M43-10,11,Np237,4.25562e-07
M43-10,M43-10,12,Np237,5.17544e-07
M43-10,M43-10,13,Np237,6.09233e-07
M43-10,M43-10,14,Np237,7.00587e-07
M43-10,M43-10,15,Np237,8.82911e-07
M43-10,M43-10,16,Np237,1.06437e-06
M43-10,M43-10,17,Np237,1.24424e-06
M43-10,M43-10,18,Np237,1.4225e-06
M43-10,M43-10,19,Np237,1.59941e-06
