case,detector,energy_group_idx,E_min_MeV,E_max_MeV,E_mid_MeV,flux,rel_err
M43-20,17,63,1.32975,1.86607,1.5752481018874456,2.61206e+16,0.00033
M43-20,17,64,1.86607,2.61869,2.210578849147888,2.68055e+16,0.00034
M43-20,17,65,2.61869,3.67487,3.102151724255279,2.19381e+16,0.00043
M43-20,17,66,3.67487,5.15703,4.35332227569933,1.40229e+16,0.00057
M43-20,17,67,5.15703,7.23698,6.109118018945124,6970830000000000.0,0.00087
M43-20,17,68,7.23698,10.1558,8.573057884092467,1824500000000000.0,0.00171
M43-20,17,69,10.1558,14.2519,12.030770799080164,257815000000000.0,0.00469
M43-20,17,70,14.2519,20.0,16.88306844148895,14494600000000.0,0.0208
M43-20,18,1,1e-09,1.40332e-09,1.1846180819150111e-09,2259290000000.0,0.00815
M43-20,18,2,1.40332e-09,1.96931e-09,1.6623995034888576e-09,3601200000000.0,0.00675
M43-20,18,3,1.96931e-09,2.76358e-09,2.3328835654185575e-09,6254210000000.0,0.00561
M43-20,18,4,2.76358e-09,3.8782e-09,3.2737922896848543e-09,19681400000000.0,0.00298
M43-20,18,5,3.8782e-09,5.44237e-09,4.594191913057181e-09,27903600000000.0,0.00261
M43-20,18,6,5.44237e-09,7.6374e-09,6.447135537430557e-09,63332900000000.0,0.00209
M43-20,18,7,7.6374e-09,1.07177e-08,9.047395314674826e-09,108146000000000.0,0.00174
M43-20,18,8,1.07177e-08,1.50404e-08,1.2696396932988508e-08,212552000000000.0,0.00113
M43-20,18,9,1.50404e-08,2.11066e-08,1.7817174485310514e-08,376022000000000.0,0.00096
M43-20,18,10,2.11066e-08,2.96194e-08,2.5003296343482392e-08,663475000000000.0,0.00081
M43-20,18,11,2.96194e-08,4.15655e-08,3.508767833157389e-08,1088860000000000.0,0.0007
M43-20,18,12,4.15655e-08,5.83298e-08,4.923928616359096e-08,1675410000000000.0,0.0006
M43-20,18,13,5.83298e-08,8.18556e-08,6.909863078875008e-08,2335630000000000.0,0.00056
M43-20,18,14,8.18556e-08,1.1487e-07,9.696779244677069e-08,2875380000000000.0,0.00049
M43-20,18,15,1.1487e-07,1.61199e-07,1.3607692357633606e-07,3000810000000000.0,0.00048
M43-20,18,16,1.61199e-07,2.26215e-07,1.9095976483280452e-07,2599570000000000.0,0.00049
M43-20,18,17,2.26215e-07,3.17452e-07,2.6797836513420257e-07,1927000000000000.0,0.00059
M43-20,18,18,3.17452e-07,4.45488e-07,3.760599108865501e-07,2340090000000000.0,0.00047
M43-20,18,19,4.45488e-07,6.25164e-07,5.277338913050781e-07,3037230000000000.0,0.00052
M43-20,18,20,6.25164e-07,8.77307e-07,7.405813617341446e-07,2973430000000000.0,0.00049
M43-20,18,21,8.77307e-07,1.23114e-06,1.0392726976015487e-06,2053430000000000.0,0.00054
M43-20,18,22,1.23114e-06,1.72769e-06,1.4584334974896866e-06,3523820000000000.0,0.00049
M43-20,18,23,1.72769e-06,2.42451e-06,2.0466562197643256e-06,3848920000000000.0,0.00047
M43-20,18,24,2.42451e-06,3.40237e-06,2.872121182802007e-06,3632650000000000.0,0.00053
M43-20,18,25,3.40237e-06,4.77463e-06,4.0305158321361305e-06,3823930000000000.0,0.00046
M43-20,18,26,4.77463e-06,6.70034e-06,5.656115661317403e-06,3283590000000000.0,0.0005
M43-20,18,27,6.70034e-06,9.40274e-06,7.937351884073177e-06,3736890000000000.0,0.00048
M43-20,18,28,9.40274e-06,1.31951e-05,1.1138675620288077e-05,4176470000000000.0,0.00042
M43-20,18,29,1.31951e-05,1.8517e-05,1.5631176113779796e-05,4173280000000000.0,0.00044
M43-20,18,30,1.8517e-05,2.59853e-05,2.1935582966951208e-05,4116890000000000.0,0.00045
M43-20,18,31,2.59853e-05,3.64657e-05,3.078265995995148e-05,4706190000000000.0,0.00047
M43-20,18,32,3.64657e-05,5.11732e-05,4.319799253715385e-05,4595290000000000.0,0.00043
M43-20,18,33,5.11732e-05,7.18125e-05,6.062075077892058e-05,4797850000000000.0,0.00043
M43-20,18,34,7.18125e-05,0.000100776,8.50704208288639e-05,5059580000000000.0,0.00042
M43-20,18,35,0.000100776,0.000141421,0.00011938108181784918,5122660000000000.0,0.00046
M43-20,18,36,0.000141421,0.00019846,0.0001675303305673334,5352640000000000.0,0.00047
M43-20,18,37,0.00019846,0.000278503,0.00023509935214712947,5423680000000000.0,0.00042
M43-20,18,38,0.000278503,0.00039083,0.0003299201835141342,5587140000000000.0,0.0004
M43-20,18,39,0.00039083,0.00054846,0.00046298447252580727,5684690000000000.0,0.00042
M43-20,18,40,0.00054846,0.000769667,0.0006497165249706983,5771400000000000.0,0.00038
M43-20,18,41,0.000769667,0.00108009,0.0009117618274692136,5867820000000000.0,0.00041
M43-20,18,42,0.00108009,0.00151572,0.001279497563420892,6010240000000000.0,0.00043
M43-20,18,43,0.00151572,0.00212704,0.0017955492387567655,5974330000000000.0,0.00046
M43-20,18,44,0.00212704,0.00298492,0.0025197309850061374,6091450000000000.0,0.00045
M43-20,18,45,0.00298492,0.00418881,0.003535995297677869,6188510000000000.0,0.00045
M43-20,18,46,0.00418881,0.00587825,0.00496214393004677,6303130000000000.0,0.00042
M43-20,18,47,0.00587825,0.00824909,0.006963491458492644,6417770000000000.0,0.00035
M43-20,18,48,0.00824909,0.0115761,0.009772015695290303,6566870000000000.0,0.00036
M43-20,18,49,0.0115761,0.016245,0.013713268921012232,6755540000000000.0,0.00042
M43-20,18,50,0.016245,0.022797,0.01924414885101443,7028520000000000.0,0.0004
M43-20,18,51,0.022797,0.0319916,0.027005786513264154,7340130000000000.0,0.0004
M43-20,18,52,0.0319916,0.0448946,0.03789789024945848,7833370000000000.0,0.0004
M43-20,18,53,0.0448946,0.0630016,0.053183001338397595,8468000000000000.0,0.0004
M43-20,18,54,0.0630016,0.0884115,0.07463287451518935,9331750000000000.0,0.0004
M43-20,18,55,0.0884115,0.12407,0.10473401932991973,1.04904e+16,0.00038
M43-20,18,56,0.12407,0.17411,0.14697560239713256,1.21211e+16,0.00034
M43-20,18,57,0.17411,0.244333,0.20625425724091126,1.43496e+16,0.0003
M43-20,18,58,0.244333,0.342878,0.2894415491493922,1.78277e+16,0.00033
M43-20,18,59,0.342878,0.481168,0.4061796665319425,1.64426e+16,0.00032
M43-20,18,60,0.481168,0.675234,0.5700008713256498,2.37956e+16,0.0003
M43-20,18,61,0.675234,0.947571,0.7998950910050643,2.78296e+16,0.00032
M43-20,18,62,0.947571,1.32975,1.1225117091816905,2.31404e+16,0.00034
M43-20,18,63,1.32975,1.86607,1.5752481018874456,2.63363e+16,0.00037
M43-20,18,64,1.86607,2.61869,2.210578849147888,2.70198e+16,0.00037
M43-20,18,65,2.61869,3.67487,3.102151724255279,2.2114e+16,0.00042
M43-20,18,66,3.67487,5.15703,4.35332227569933,1.4132e+16,0.00062
M43-20,18,67,5.15703,7.23698,6.109118018945124,7031440000000000.0,0.00089
M43-20,18,68,7.23698,10.1558,8.573057884092467,1840650000000000.0,0.00178
M43-20,18,69,10.1558,14.2519,12.030770799080164,261116000000000.0,0.00453
M43-20,18,70,14.2519,20.0,16.88306844148895,14676000000000.0,0.01839
M43-20,19,1,1e-09,1.40332e-09,1.1846180819150111e-09,2357600000000.0,0.00911
M43-20,19,2,1.40332e-09,1.96931e-09,1.6623995034888576e-09,3674420000000.0,0.00717
M43-20,19,3,1.96931e-09,2.76358e-09,2.3328835654185575e-09,6356840000000.0,0.00517
M43-20,19,4,2.76358e-09,3.8782e-09,3.2737922896848543e-09,20022900000000.0,0.00297
M43-20,19,5,3.8782e-09,5.44237e-09,4.594191913057181e-09,28298300000000.0,0.00256
M43-20,19,6,5.44237e-09,7.6374e-09,6.447135537430557e-09,64596100000000.0,0.00212
M43-20,19,7,7.6374e-09,1.07177e-08,9.047395314674826e-09,110334000000000.0,0.00154
M43-20,19,8,1.07177e-08,1.50404e-08,1.2696396932988508e-08,216656000000000.0,0.00123
M43-20,19,9,1.50404e-08,2.11066e-08,1.7817174485310514e-08,384473000000000.0,0.001
M43-20,19,10,2.11066e-08,2.96194e-08,2.5003296343482392e-08,676746000000000.0,0.00074
M43-20,19,11,2.96194e-08,4.15655e-08,3.508767833157389e-08,1110920000000000.0,0.00071
M43-20,19,12,4.15655e-08,5.83298e-08,4.923928616359096e-08,1706980000000000.0,0.00062
M43-20,19,13,5.83298e-08,8.18556e-08,6.909863078875008e-08,2377720000000000.0,0.00054
M43-20,19,14,8.18556e-08,1.1487e-07,9.696779244677069e-08,2925140000000000.0,0.00047
M43-20,19,15,1.1487e-07,1.61199e-07,1.3607692357633606e-07,3054490000000000.0,0.00051
M43-20,19,16,1.61199e-07,2.26215e-07,1.9095976483280452e-07,2646120000000000.0,0.00047
M43-20,19,17,2.26215e-07,3.17452e-07,2.6797836513420257e-07,1956210000000000.0,0.00053
M43-20,19,18,3.17452e-07,4.45488e-07,3.760599108865501e-07,2370390000000000.0,0.00047
M43-20,19,19,4.45488e-07,6.25164e-07,5.277338913050781e-07,3060410000000000.0,0.00047
M43-20,19,20,6.25164e-07,8.77307e-07,7.405813617341446e-07,2994670000000000.0,0.00049
M43-20,19,21,8.77307e-07,1.23114e-06,1.0392726976015487e-06,2064200000000000.0,0.0005
M43-20,19,22,1.23114e-06,1.72769e-06,1.4584334974896866e-06,3534640000000000.0,0.0005
M43-20,19,23,1.72769e-06,2.42451e-06,2.0466562197643256e-06,3870860000000000.0,0.00048
M43-20,19,24,2.42451e-06,3.40237e-06,2.872121182802007e-06,3657180000000000.0,0.00051
M43-20,19,25,3.40237e-06,4.77463e-06,4.0305158321361305e-06,3849990000000000.0,0.0005
M43-20,19,26,4.77463e-06,6.70034e-06,5.656115661317403e-06,3293530000000000.0,0.00045
M43-20,19,27,6.70034e-06,9.40274e-06,7.937351884073177e-06,3764990000000000.0,0.00047
M43-20,19,28,9.40274e-06,1.31951e-05,1.1138675620288077e-05,4213270000000000.0,0.00044
M43-20,19,29,1.31951e-05,1.8517e-05,1.5631176113779796e-05,4206950000000000.0,0.00046
M43-20,19,30,1.8517e-05,2.59853e-05,2.1935582966951208e-05,4154250000000000.0,0.00047
M43-20,19,31,2.59853e-05,3.64657e-05,3.078265995995148e-05,4747990000000000.0,0.00046
M43-20,19,32,3.64657e-05,5.11732e-05,4.319799253715385e-05,4639970000000000.0,0.00041
M43-20,19,33,5.11732e-05,7.18125e-05,6.062075077892058e-05,4846320000000000.0,0.00045
M43-20,19,34,7.18125e-05,0.000100776,8.50704208288639e-05,5106410000000000.0,0.00043
M43-20,19,35,0.000100776,0.000141421,0.00011938108181784918,5166420000000000.0,0.00045
M43-20,19,36,0.000141421,0.00019846,0.0001675303305673334,5395760000000000.0,0.0004
M43-20,19,37,0.00019846,0.000278503,0.00023509935214712947,5470700000000000.0,0.00043
M43-20,19,38,0.000278503,0.00039083,0.0003299201835141342,5637360000000000.0,0.00042
M43-20,19,39,0.00039083,0.00054846,0.00046298447252580727,5738540000000000.0,0.00045
M43-20,19,40,0.00054846,0.000769667,0.0006497165249706983,5822250000000000.0,0.00039
M43-20,19,41,0.000769667,0.00108009,0.0009117618274692136,5916880000000000.0,0.00037
M43-20,19,42,0.00108009,0.00151572,0.001279497563420892,6062860000000000.0,0.00045
M43-20,19,43,0.00151572,0.00212704,0.0017955492387567655,6027610000000000.0,0.00038
M43-20,19,44,0.00212704,0.00298492,0.0025197309850061374,6147570000000000.0,0.00039
M43-20,19,45,0.00298492,0.00418881,0.003535995297677869,6240090000000000.0,0.00039
M43-20,19,46,0.00418881,0.00587825,0.00496214393004677,6359810000000000.0,0.00043
M43-20,19,47,0.00587825,0.00824909,0.006963491458492644,6470850000000000.0,0.00038
M43-20,19,48,0.00824909,0.0115761,0.009772015695290303,6622430000000000.0,0.00041
M43-20,19,49,0.0115761,0.016245,0.013713268921012232,6814590000000000.0,0.00037
M43-20,19,50,0.016245,0.022797,0.01924414885101443,7091250000000000.0,0.00039
M43-20,19,51,0.022797,0.0319916,0.027005786513264154,7405600000000000.0,0.0004
M43-20,19,52,0.0319916,0.0448946,0.03789789024945848,7894450000000000.0,0.00039
M43-20,19,53,0.0448946,0.0630016,0.053183001338397595,8531290000000000.0,0.00041
M43-20,19,54,0.0630016,0.0884115,0.07463287451518935,9413290000000000.0,0.00035
M43-20,19,55,0.0884115,0.12407,0.10473401932991973,1.05722e+16,0.00038
M43-20,19,56,0.12407,0.17411,0.14697560239713256,1.22234e+16,0.00034
M43-20,19,57,0.17411,0.244333,0.20625425724091126,1.44659e+16,0.00033
M43-20,19,58,0.244333,0.342878,0.2894415491493922,1.79827e+16,0.00032
M43-20,19,59,0.342878,0.481168,0.4061796665319425,1.65749e+16,0.00033
M43-20,19,60,0.481168,0.675234,0.5700008713256498,2.40025e+16,0.00034
M43-20,19,61,0.675234,0.947571,0.7998950910050643,2.80762e+16,0.00029
M43-20,19,62,0.947571,1.32975,1.1225117091816905,2.33262e+16,0.00035
M43-20,19,63,1.32975,1.86607,1.5752481018874456,2.65361e+16,0.00036
M43-20,19,64,1.86607,2.61869,2.210578849147888,2.72377e+16,0.00038
M43-20,19,65,2.61869,3.67487,3.102151724255279,2.22757e+16,0.00042
M43-20,19,66,3.67487,5.15703,4.35332227569933,1.42238e+16,0.00053
M43-20,19,67,5.15703,7.23698,6.109118018945124,7080900000000000.0,0.00088
M43-20,19,68,7.23698,10.1558,8.573057884092467,1853870000000000.0,0.0018
M43-20,19,69,10.1558,14.2519,12.030770799080164,260444000000000.0,0.005
M43-20,19,70,14.2519,20.0,16.88306844148895,15120700000000.0,0.02205
M43-20,20,1,1e-09,1.40332e-09,1.1846180819150111e-09,2389560000000.0,0.00919
M43-20,20,2,1.40332e-09,1.96931e-09,1.6623995034888576e-09,3765030000000.0,0.00699
M43-20,20,3,1.96931e-09,2.76358e-09,2.3328835654185575e-09,6460250000000.0,0.00555
M43-20,20,4,2.76358e-09,3.8782e-09,3.2737922896848543e-09,20469200000000.0,0.0031
M43-20,20,5,3.8782e-09,5.44237e-09,4.594191913057181e-09,28827000000000.0,0.00293
M43-20,20,6,5.44237e-09,7.6374e-09,6.447135537430557e-09,65840000000000.0,0.00193
M43-20,20,7,7.6374e-09,1.07177e-08,9.047395314674826e-09,112437000000000.0,0.00156
M43-20,20,8,1.07177e-08,1.50404e-08,1.2696396932988508e-08,220721000000000.0,0.00119
M43-20,20,9,1.50404e-08,2.11066e-08,1.7817174485310514e-08,391859000000000.0,0.00099
M43-20,20,10,2.11066e-08,2.96194e-08,2.5003296343482392e-08,689974000000000.0,0.00074
M43-20,20,11,2.96194e-08,4.15655e-08,3.508767833157389e-08,1132110000000000.0,0.00073
M43-20,20,12,4.15655e-08,5.83298e-08,4.923928616359096e-08,1737820000000000.0,0.0006
M43-20,20,13,5.83298e-08,8.18556e-08,6.909863078875008e-08,2423590000000000.0,0.00055
M43-20,20,14,8.18556e-08,1.1487e-07,9.696779244677069e-08,2980290000000000.0,0.00049
M43-20,20,15,1.1487e-07,1.61199e-07,1.3607692357633606e-07,3108410000000000.0,0.00048
M43-20,20,16,1.61199e-07,2.26215e-07,1.9095976483280452e-07,2688960000000000.0,0.00048
M43-20,20,17,2.26215e-07,3.17452e-07,2.6797836513420257e-07,1986260000000000.0,0.00055
M43-20,20,18,3.17452e-07,4.45488e-07,3.760599108865501e-07,2402740000000000.0,0.0005
M43-20,20,19,4.45488e-07,6.25164e-07,5.277338913050781e-07,3082470000000000.0,0.00051
M43-20,20,20,6.25164e-07,8.77307e-07,7.405813617341446e-07,3011680000000000.0,0.00049
M43-20,20,21,8.77307e-07,1.23114e-06,1.0392726976015487e-06,2074480000000000.0,0.0005
M43-20,20,22,1.23114e-06,1.72769e-06,1.4584334974896866e-06,3542680000000000.0,0.0005
M43-20,20,23,1.72769e-06,2.42451e-06,2.0466562197643256e-06,3893350000000000.0,0.00049
M43-20,20,24,2.42451e-06,3.40237e-06,2.872121182802007e-06,3673840000000000.0,0.00048
M43-20,20,25,3.40237e-06,4.77463e-06,4.0305158321361305e-06,3870390000000000.0,0.00047
M43-20,20,26,4.77463e-06,6.70034e-06,5.656115661317403e-06,3305910000000000.0,0.00046
M43-20,20,27,6.70034e-06,9.40274e-06,7.937351884073177e-06,3792280000000000.0,0.00045
M43-20,20,28,9.40274e-06,1.31951e-05,1.1138675620288077e-05,4252020000000000.0,0.00048
M43-20,20,29,1.31951e-05,1.8517e-05,1.5631176113779796e-05,4239990000000000.0,0.00046
M43-20,20,30,1.8517e-05,2.59853e-05,2.1935582966951208e-05,4187830000000000.0,0.00048
M43-20,20,31,2.59853e-05,3.64657e-05,3.078265995995148e-05,4785550000000000.0,0.00046
M43-20,20,32,3.64657e-05,5.11732e-05,4.319799253715385e-05,4674530000000000.0,0.00042
M43-20,20,33,5.11732e-05,7.18125e-05,6.062075077892058e-05,4889910000000000.0,0.00036
M43-20,20,34,7.18125e-05,0.000100776,8.50704208288639e-05,5154850000000000.0,0.00043
M43-20,20,35,0.000100776,0.000141421,0.00011938108181784918,5210320000000000.0,0.00044
M43-20,20,36,0.000141421,0.00019846,0.0001675303305673334,5443310000000000.0,0.00042
M43-20,20,37,0.00019846,0.000278503,0.00023509935214712947,5518500000000000.0,0.0004
M43-20,20,38,0.000278503,0.00039083,0.0003299201835141342,5683120000000000.0,0.0004
M43-20,20,39,0.00039083,0.00054846,0.00046298447252580727,5782770000000000.0,0.00042
M43-20,20,40,0.00054846,0.000769667,0.0006497165249706983,5868530000000000.0,0.0004
M43-20,20,41,0.000769667,0.00108009,0.0009117618274692136,5967960000000000.0,0.0004
M43-20,20,42,0.00108009,0.00151572,0.001279497563420892,6117530000000000.0,0.00041
M43-20,20,43,0.00151572,0.00212704,0.0017955492387567655,6076710000000000.0,0.00041
M43-20,20,44,0.00212704,0.00298492,0.0025197309850061374,6197520000000000.0,0.00038
M43-20,20,45,0.00298492,0.00418881,0.003535995297677869,6289900000000000.0,0.00042
M43-20,20,46,0.00418881,0.00587825,0.00496214393004677,6405220000000000.0,0.00044
M43-20,20,47,0.00587825,0.00824909,0.006963491458492644,6527540000000000.0,0.00038
M43-20,20,48,0.00824909,0.0115761,0.009772015695290303,6676830000000000.0,0.00039
M43-20,20,49,0.0115761,0.016245,0.013713268921012232,6866100000000000.0,0.00038
M43-20,20,50,0.016245,0.022797,0.01924414885101443,7144290000000000.0,0.00038
M43-20,20,51,0.022797,0.0319916,0.027005786513264154,7465230000000000.0,0.00037
M43-20,20,52,0.0319916,0.0448946,0.03789789024945848,7961650000000000.0,0.00036
M43-20,20,53,0.0448946,0.0630016,0.053183001338397595,8604460000000000.0,0.00039
M43-20,20,54,0.0630016,0.0884115,0.07463287451518935,9488970000000000.0,0.00038
M43-20,20,55,0.0884115,0.12407,0.10473401932991973,1.06588e+16,0.00035
M43-20,20,56,0.12407,0.17411,0.14697560239713256,1.23323e+16,0.00034
M43-20,20,57,0.17411,0.244333,0.20625425724091126,1.45879e+16,0.00034
M43-20,20,58,0.244333,0.342878,0.2894415491493922,1.81291e+16,0.00031
M43-20,20,59,0.342878,0.481168,0.4061796665319425,1.67244e+16,0.00036
M43-20,20,60,0.481168,0.675234,0.5700008713256498,2.41969e+16,0.0003
M43-20,20,61,0.675234,0.947571,0.7998950910050643,2.82964e+16,0.00032
M43-20,20,62,0.947571,1.32975,1.1225117091816905,2.3508e+16,0.00032
M43-20,20,63,1.32975,1.86607,1.5752481018874456,2.67344e+16,0.00034
M43-20,20,64,1.86607,2.61869,2.210578849147888,2.74345e+16,0.00034
M43-20,20,65,2.61869,3.67487,3.102151724255279,2.24233e+16,0.00041
M43-20,20,66,3.67487,5.15703,4.35332227569933,1.43249e+16,0.00059
M43-20,20,67,5.15703,7.23698,6.109118018945124,7131370000000000.0,0.00091
M43-20,20,68,7.23698,10.1558,8.573057884092467,1872700000000000.0,0.00171
M43-20,20,69,10.1558,14.2519,12.030770799080164,263132000000000.0,0.00455
M43-20,20,70,14.2519,20.0,16.88306844148895,15821100000000.0,0.02077
M43-20,21,1,1e-09,1.40332e-09,1.1846180819150111e-09,2440290000000.0,0.0076
M43-20,21,2,1.40332e-09,1.96931e-09,1.6623995034888576e-09,3937700000000.0,0.00678
M43-20,21,3,1.96931e-09,2.76358e-09,2.3328835654185575e-09,6722530000000.0,0.00522
M43-20,21,4,2.76358e-09,3.8782e-09,3.2737922896848543e-09,21220100000000.0,0.00351
M43-20,21,5,3.8782e-09,5.44237e-09,4.594191913057181e-09,30029400000000.0,0.00294
M43-20,21,6,5.44237e-09,7.6374e-09,6.447135537430557e-09,68311600000000.0,0.00188
M43-20,21,7,7.6374e-09,1.07177e-08,9.047395314674826e-09,116894000000000.0,0.00144
M43-20,21,8,1.07177e-08,1.50404e-08,1.2696396932988508e-08,229753000000000.0,0.0012
M43-20,21,9,1.50404e-08,2.11066e-08,1.7817174485310514e-08,407462000000000.0,0.00102
M43-20,21,10,2.11066e-08,2.96194e-08,2.5003296343482392e-08,717402000000000.0,0.0008
M43-20,21,11,2.96194e-08,4.15655e-08,3.508767833157389e-08,1178770000000000.0,0.00068
M43-20,21,12,4.15655e-08,5.83298e-08,4.923928616359096e-08,1808670000000000.0,0.00055
M43-20,21,13,5.83298e-08,8.18556e-08,6.909863078875008e-08,2518800000000000.0,0.00055
M43-20,21,14,8.18556e-08,1.1487e-07,9.696779244677069e-08,3095690000000000.0,0.00049
M43-20,21,15,1.1487e-07,1.61199e-07,1.3607692357633606e-07,3221370000000000.0,0.00045
M43-20,21,16,1.61199e-07,2.26215e-07,1.9095976483280452e-07,2782860000000000.0,0.00047
M43-20,21,17,2.26215e-07,3.17452e-07,2.6797836513420257e-07,2050680000000000.0,0.00046
M43-20,21,18,3.17452e-07,4.45488e-07,3.760599108865501e-07,2471580000000000.0,0.00049
M43-20,21,19,4.45488e-07,6.25164e-07,5.277338913050781e-07,3137070000000000.0,0.00053
M43-20,21,20,6.25164e-07,8.77307e-07,7.405813617341446e-07,3053180000000000.0,0.00052
M43-20,21,21,8.77307e-07,1.23114e-06,1.0392726976015487e-06,2098760000000000.0,0.00049
M43-20,21,22,1.23114e-06,1.72769e-06,1.4584334974896866e-06,3565850000000000.0,0.00051
M43-20,21,23,1.72769e-06,2.42451e-06,2.0466562197643256e-06,3940770000000000.0,0.00051
M43-20,21,24,2.42451e-06,3.40237e-06,2.872121182802007e-06,3718630000000000.0,0.00051
M43-20,21,25,3.40237e-06,4.77463e-06,4.0305158321361305e-06,3919610000000000.0,0.00047
M43-20,21,26,4.77463e-06,6.70034e-06,5.656115661317403e-06,3332110000000000.0,0.00045
M43-20,21,27,6.70034e-06,9.40274e-06,7.937351884073177e-06,3848390000000000.0,0.00043
M43-20,21,28,9.40274e-06,1.31951e-05,1.1138675620288077e-05,4334930000000000.0,0.00042
M43-20,21,29,1.31951e-05,1.8517e-05,1.5631176113779796e-05,4307390000000000.0,0.00043
M43-20,21,30,1.8517e-05,2.59853e-05,2.1935582966951208e-05,4254720000000000.0,0.00043
M43-20,21,31,2.59853e-05,3.64657e-05,3.078265995995148e-05,4859930000000000.0,0.00044
M43-20,21,32,3.64657e-05,5.11732e-05,4.319799253715385e-05,4750530000000000.0,0.00041
M43-20,21,33,5.11732e-05,7.18125e-05,6.062075077892058e-05,4974380000000000.0,0.00042
M43-20,21,34,7.18125e-05,0.000100776,8.50704208288639e-05,5240370000000000.0,0.00044
M43-20,21,35,0.000100776,0.000141421,0.00011938108181784918,5297260000000000.0,0.00042
M43-20,21,36,0.000141421,0.00019846,0.0001675303305673334,5534430000000000.0,0.00042
M43-20,21,37,0.00019846,0.000278503,0.00023509935214712947,5610050000000000.0,0.00042
M43-20,21,38,0.000278503,0.00039083,0.0003299201835141342,5771270000000000.0,0.00042
M43-20,21,39,0.00039083,0.00054846,0.00046298447252580727,5879080000000000.0,0.0004
M43-20,21,40,0.00054846,0.000769667,0.0006497165249706983,5965340000000000.0,0.0004
M43-20,21,41,0.000769667,0.00108009,0.0009117618274692136,6059920000000000.0,0.00045
M43-20,21,42,0.00108009,0.00151572,0.001279497563420892,6211560000000000.0,0.00042
M43-20,21,43,0.00151572,0.00212704,0.0017955492387567655,6176350000000000.0,0.00045
M43-20,21,44,0.00212704,0.00298492,0.0025197309850061374,6297120000000000.0,0.00039
M43-20,21,45,0.00298492,0.00418881,0.003535995297677869,6393440000000000.0,0.00039
M43-20,21,46,0.00418881,0.00587825,0.00496214393004677,6514200000000000.0,0.00039
M43-20,21,47,0.00587825,0.00824909,0.006963491458492644,6630980000000000.0,0.00042
M43-20,21,48,0.00824909,0.0115761,0.009772015695290303,6786590000000000.0,0.00041
M43-20,21,49,0.0115761,0.016245,0.013713268921012232,6980800000000000.0,0.00044
M43-20,21,50,0.016245,0.022797,0.01924414885101443,7263280000000000.0,0.00037
M43-20,21,51,0.022797,0.0319916,0.027005786513264154,7582940000000000.0,0.0004
M43-20,21,52,0.0319916,0.0448946,0.03789789024945848,8092480000000000.0,0.00037
M43-20,21,53,0.0448946,0.0630016,0.053183001338397595,8744220000000000.0,0.00037
M43-20,21,54,0.0630016,0.0884115,0.07463287451518935,9639360000000000.0,0.00035
M43-20,21,55,0.0884115,0.12407,0.10473401932991973,1.08287e+16,0.00036
M43-20,21,56,0.12407,0.17411,0.14697560239713256,1.25265e+16,0.00035
M43-20,21,57,0.17411,0.244333,0.20625425724091126,1.48165e+16,0.00031
M43-20,21,58,0.244333,0.342878,0.2894415491493922,1.84152e+16,0.00031
M43-20,21,59,0.342878,0.481168,0.4061796665319425,1.69847e+16,0.00033
M43-20,21,60,0.481168,0.675234,0.5700008713256498,2.45867e+16,0.00035
M43-20,21,61,0.675234,0.947571,0.7998950910050643,2.87435e+16,0.0003
M43-20,21,62,0.947571,1.32975,1.1225117091816905,2.38797e+16,0.00032
M43-20,21,63,1.32975,1.86607,1.5752481018874456,2.71527e+16,0.00035
M43-20,21,64,1.86607,2.61869,2.210578849147888,2.78524e+16,0.00036
M43-20,21,65,2.61869,3.67487,3.102151724255279,2.27839e+16,0.00044
M43-20,21,66,3.67487,5.15703,4.35332227569933,1.45484e+16,0.00051
M43-20,21,67,5.15703,7.23698,6.109118018945124,7233940000000000.0,0.00089
M43-20,21,68,7.23698,10.1558,8.573057884092467,1902170000000000.0,0.00173
M43-20,21,69,10.1558,14.2519,12.030770799080164,267699000000000.0,0.0045
M43-20,21,70,14.2519,20.0,16.88306844148895,15000300000000.0,0.02132
M43-20,22,1,1e-09,1.40332e-09,1.1846180819150111e-09,2551210000000.0,0.00794
M43-20,22,2,1.40332e-09,1.96931e-09,1.6623995034888576e-09,4049930000000.0,0.00636
M43-20,22,3,1.96931e-09,2.76358e-09,2.3328835654185575e-09,6904370000000.0,0.00475
M43-20,22,4,2.76358e-09,3.8782e-09,3.2737922896848543e-09,21924500000000.0,0.00288
M43-20,22,5,3.8782e-09,5.44237e-09,4.594191913057181e-09,31102500000000.0,0.0027
M43-20,22,6,5.44237e-09,7.6374e-09,6.447135537430557e-09,70883700000000.0,0.00193
M43-20,22,7,7.6374e-09,1.07177e-08,9.047395314674826e-09,121295000000000.0,0.00158
M43-20,22,8,1.07177e-08,1.50404e-08,1.2696396932988508e-08,238297000000000.0,0.00118
M43-20,22,9,1.50404e-08,2.11066e-08,1.7817174485310514e-08,423080000000000.0,0.00094
M43-20,22,10,2.11066e-08,2.96194e-08,2.5003296343482392e-08,745858000000000.0,0.00074
M43-20,22,11,2.96194e-08,4.15655e-08,3.508767833157389e-08,1224600000000000.0,0.00068
M43-20,22,12,4.15655e-08,5.83298e-08,4.923928616359096e-08,1878920000000000.0,0.0006
M43-20,22,13,5.83298e-08,8.18556e-08,6.909863078875008e-08,2619060000000000.0,0.00053
