case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
C001,uniform,0.95,0.05,0.0,0.0,0.0,0.0,0,0.0,0.0,9.293620000000001e-19,0.0212064,0.0,0.00111613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C001,uniform,0.95,0.05,0.0,0.0,0.1,2.631578947368421,1,2.89594e-08,2.30849e-10,9.61444e-19,0.0212055,8.54512e-07,0.00111274,1.16799e-06,7.80604e-09,2.20704e-12,9.101e-13,7.40002e-16,7.74428e-09,1.97465e-08
C001,uniform,0.95,0.05,0.0,0.0,0.400001,10.526342105263158,2,4.4147e-07,9.29483e-10,8.267410000000001e-18,0.0212026,3.14608e-06,0.0011026,4.59148e-06,1.16011e-07,1.33052e-10,5.44934e-11,2.44809e-13,6.32529e-08,1.98467e-08
C001,uniform,0.95,0.05,0.0,0.0,0.700002,18.42110526315789,3,1.27259e-06,1.66275e-09,6.26313e-17,0.0211998,5.03618e-06,0.00109246,7.9089e-06,3.2724e-07,6.78894e-10,2.75694e-10,2.34577e-12,1.12022e-07,1.979e-08
C001,uniform,0.95,0.05,0.0,0.0,1.0,26.31578947368421,4,2.44579e-06,2.46061e-09,2.33052e-16,0.0211969,6.59621e-06,0.00108233,1.11378e-05,6.2143e-07,1.88432e-09,7.59449e-10,9.63476e-12,1.47026e-07,1.97322e-08
C001,uniform,0.95,0.05,0.0,0.0,1.3,34.21052631578947,5,3.89816e-06,3.34959e-09,6.05225e-16,0.021194,7.88506e-06,0.00107222,1.42894e-05,9.84703e-07,3.95394e-09,1.58212e-09,2.68901e-11,1.71541e-07,1.96716e-08
C001,uniform,0.95,0.05,0.0,0.0,1.6,42.10526315789474,6,5.57794e-06,4.35374e-09,1.27624e-15,0.021191,8.95051e-06,0.00106213,1.73724e-05,1.40676e-06,7.0631e-09,2.80674e-09,6.01757e-11,1.8857e-07,1.96083e-08
C001,uniform,0.95,0.05,0.0,0.0,2.00001,52.63184210526316,7,8.09932e-06,5.90834e-09,2.81622e-15,0.0211871,1.00928e-05,0.0010487,2.1385e-05,2.04823e-06,1.30826e-08,5.15321e-09,1.41861e-10,2.03359e-07,1.95063e-08
C001,uniform,0.95,0.05,0.0,0.0,2.50001,65.78973684210527,8,1.15942e-05,8.25863e-09,6.15268e-15,0.0211821,1.11747e-05,0.00103198,2.62604e-05,2.95601e-06,2.40589e-08,9.3767e-09,3.3179e-10,2.13787e-07,1.93831e-08
C001,uniform,0.95,0.05,0.0,0.0,3.00001,78.94763157894737,9,1.53626e-05,1.11311e-08,1.15738e-14,0.0211771,1.1976e-05,0.00101533,3.09942e-05,3.96146e-06,3.93721e-08,1.51874e-08,6.59984e-10,2.18995e-07,1.92696e-08
