case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
C005,uniform,0.75,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0166535,0.0,0.00555118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C005,uniform,0.75,0.25,0.0,0.0,0.1,2.631578947368421,1,1.45444e-08,1.14924e-09,5.5053e-21,0.0166531,4.29032e-07,0.00554786,1.0908e-06,3.62465e-09,2.68405e-13,4.22408e-13,5.23805e-17,8.02845e-09,3.18652e-08
C005,uniform,0.75,0.25,0.0,0.0,0.400001,10.526342105263158,2,2.21017e-07,4.59128e-09,1.22948e-18,0.0166516,1.57026e-06,0.00553793,4.32495e-06,5.4116e-08,1.61932e-11,2.54091e-11,1.72055e-14,7.40126e-08,3.24597e-08
C005,uniform,0.75,0.25,0.0,0.0,0.700001,18.42107894736842,3,6.36617e-07,8.02866e-09,1.02438e-17,0.0166502,2.50646e-06,0.00552799,7.50964e-06,1.54363e-07,8.29555e-11,1.29751e-10,1.63941e-13,1.49062e-07,3.24632e-08
C005,uniform,0.75,0.25,0.0,0.0,1.0,26.31578947368421,4,1.22313e-06,1.14658e-08,3.82972e-17,0.0166487,3.27489e-06,0.00551805,1.06532e-05,2.95819e-07,2.31167e-10,3.60639e-10,6.73657e-13,2.21717e-07,3.24644e-08
C005,uniform,0.75,0.25,0.0,0.0,1.3,34.21052631578947,5,1.94924e-06,1.49065e-08,9.91198e-17,0.0166473,3.9057e-06,0.00550812,1.37613e-05,4.72481e-07,4.86666e-10,7.57508e-10,1.87988e-12,2.91171e-07,3.24653e-08
C005,uniform,0.75,0.25,0.0,0.0,1.6,42.10526315789474,6,2.78929e-06,1.83542e-08,2.07871e-16,0.0166458,4.42376e-06,0.00549818,1.68378e-05,6.79704e-07,8.71803e-10,1.3541e-09,4.2084e-12,3.57507e-07,3.24651e-08
C005,uniform,0.75,0.25,0.0,0.0,2.0,52.631578947368425,7,4.05092e-06,2.29671e-08,4.55425e-16,0.0166439,4.97416e-06,0.00548495,2.08963e-05,9.97599e-07,1.61966e-09,2.50937e-09,9.92084e-12,4.41362e-07,3.24567e-08
C005,uniform,0.75,0.25,0.0,0.0,2.5,65.78947368421053,8,5.80186e-06,2.87669e-08,9.86301e-16,0.0166414,5.48998e-06,0.00546841,2.59075e-05,1.45269e-06,2.98711e-09,4.61492e-09,2.32262e-11,5.39248e-07,3.24463e-08
C005,uniform,0.75,0.25,0.0,0.0,3.00001,78.94763157894737,9,7.69335e-06,3.46135e-08,1.84008e-15,0.016639,5.8645e-06,0.00545188,3.0858e-05,1.96293e-06,4.89959e-09,7.54986e-09,4.62207e-11,6.29992e-07,3.24432e-08
C005,uniform,0.75,0.25,0.0,0.0,4.00001,105.26342105263156,10,1.17464e-05,4.64807e-08,4.85658e-15,0.016634,6.33884e-06,0.00541887,4.05967e-05,3.12619e-06,1.05695e-08,1.62119e-08,1.35481e-10,7.92284e-07,3.24029e-08
