case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
D015,uniform,0.8,0.06,0.05,0.0,0.0,0.0,0,0.0,0.000155733,0.00295893,0.017798,0.0,0.00133485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D015,uniform,0.8,0.06,0.05,0.0,0.1,2.631578947368421,1,2.37633e-08,0.000155551,0.00295862,0.0177973,7.01124e-07,0.00133178,1.0924e-06,6.47339e-09,1.44493e-12,7.54632e-13,4.40102e-16,7.80818e-09,2.22404e-08
D015,uniform,0.8,0.06,0.05,0.0,0.400001,10.526342105263158,2,3.62172e-07,0.000155006,0.0029577,0.017795,2.57935e-06,0.00132302,4.30277e-06,9.6584e-08,8.72788e-11,4.53497e-11,1.45183e-13,6.60835e-08,2.24089e-08
D015,uniform,0.8,0.06,0.05,0.0,0.700002,18.42110526315789,3,1.04397e-06,0.00015446,0.00295676,0.0177926,4.12606e-06,0.00131441,7.42411e-06,2.7366e-07,4.45914e-10,2.30245e-10,1.39135e-12,1.21441e-07,2.23839e-08
D015,uniform,0.8,0.06,0.05,0.0,1.0,26.31578947368421,4,2.00635e-06,0.000153913,0.00295582,0.0177902,5.40027e-06,0.00130583,1.04704e-05,5.21847e-07,1.23964e-09,6.36485e-10,5.71389e-12,1.65031e-07,2.23539e-08
D015,uniform,0.8,0.06,0.05,0.0,1.3,34.21052631578947,5,3.19773e-06,0.000153366,0.00295486,0.0177879,6.45115e-06,0.00129727,1.34519e-05,8.2942e-07,2.6042e-09,1.33012e-09,1.5958e-11,1.98717e-07,2.23218e-08
D015,uniform,0.8,0.06,0.05,0.0,1.6,42.10526315789474,6,4.5757e-06,0.000152818,0.00295391,0.0177855,7.31773e-06,0.00128873,1.63754e-05,1.18794e-06,4.65552e-09,2.36614e-09,3.5731e-11,2.24656e-07,2.22837e-08
D015,uniform,0.8,0.06,0.05,0.0,2.00001,52.63184210526316,7,6.64417e-06,0.000152088,0.00295262,0.0177822,8.24364e-06,0.00127738,2.01921e-05,1.73502e-06,8.6294e-09,4.35857e-09,8.42442e-11,2.50197e-07,2.22232e-08
D015,uniform,0.8,0.06,0.05,0.0,2.50001,65.78973684210527,8,9.51175e-06,0.000151175,0.002951,0.0177782,9.11677e-06,0.00126324,2.48452e-05,2.51328e-06,1.5881e-08,7.96107e-09,1.97125e-10,2.71718e-07,2.21468e-08
D015,uniform,0.8,0.06,0.05,0.0,3.00001,78.94763157894737,9,1.26046e-05,0.000150262,0.00294937,0.0177741,9.75849e-06,0.00124916,2.93818e-05,3.37841e-06,2.60032e-08,1.294e-08,3.92363e-10,2.85436e-07,2.20781e-08
