# BURN_STEP: step (dimensionless) | case: case label | layout_base: layout | Th_level: fraction | Pu_level: fraction | U235_enrichment: fraction | U233_enrichment: fraction | burnup_MWd_kgHM: MWd/kgHM | EFPD: day | ANA_KEFF: dimensionless | reactivity_pcm: pcm | conversion_ratio: dimensionless | Mdens_U233: g/cm3 | Mdens_U235: g/cm3 | Mdens_U238: g/cm3 | Mdens_Th232: g/cm3 | Mdens_Pa233: g/cm3 | Mdens_Pu239: g/cm3 | Mdens_Pu241: g/cm3 | Mdens_Pu240: g/cm3 | Mdens_Pu242: g/cm3 | Mdens_Am241: g/cm3 | Mdens_Am243: g/cm3 | Mdens_Sm149: g/cm3 | Mdens_Xe135: g/cm3 | Adens_U233: atoms/barn/cm | Adens_U235: atoms/barn/cm | Adens_U238: atoms/barn/cm | Adens_Th232: atoms/barn/cm | Adens_Pa233: atoms/barn/cm | Adens_Pu239: atoms/barn/cm | Adens_Pu241: atoms/barn/cm | Adens_Pu240: atoms/barn/cm | Adens_Pu242: atoms/barn/cm | Adens_Am241: atoms/barn/cm | Adens_Am243: atoms/barn/cm | Adens_Sm149: atoms/barn/cm | Adens_Xe135: atoms/barn/cm | Mass_U233_kg: kg | Mass_U235_kg: kg | Mass_U238_kg: kg | Mass_Th232_kg: kg | Mass_Pa233_kg: kg | Mass_Pu239_kg: kg | Mass_Pu241_kg: kg | Mass_Pu240_kg: kg | Mass_Pu242_kg: kg | Mass_Am241_kg: kg | Mass_Am243_kg: kg | Mass_Sm149_kg: kg | Mass_Xe135_kg: kg | U235_FISS: 1/s | U238_FISS: 1/s | PU239_FISS: 1/s | PU240_FISS: 1/s | PU241_FISS: 1/s | U235_CAPT: 1/s | U238_CAPT: 1/s | PU239_CAPT: 1/s | PU240_CAPT: 1/s | PU241_CAPT: 1/s | XE135_CAPT: 1/s | XE135M_CAPT: 1/s
BURN_STEP,case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,ANA_KEFF,reactivity_pcm,conversion_ratio,Mdens_U233,Mdens_U235,Mdens_U238,Mdens_Th232,Mdens_Pa233,Mdens_Pu239,Mdens_Pu241,Mdens_Pu240,Mdens_Pu242,Mdens_Am241,Mdens_Am243,Mdens_Sm149,Mdens_Xe135,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu241,Adens_Pu240,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135,Mass_U233_kg,Mass_U235_kg,Mass_U238_kg,Mass_Th232_kg,Mass_Pa233_kg,Mass_Pu239_kg,Mass_Pu241_kg,Mass_Pu240_kg,Mass_Pu242_kg,Mass_Am241_kg,Mass_Am243_kg,Mass_Sm149_kg,Mass_Xe135_kg,U235_FISS,U238_FISS,PU239_FISS,PU240_FISS,PU241_FISS,U235_CAPT,U238_CAPT,PU239_CAPT,PU240_CAPT,PU241_CAPT,XE135_CAPT,XE135M_CAPT
14,A012,uniform,0.90,0,0.05,0,8.00003,210.52710526315792,0.794175,-25916.831932508583,1.35063,0.0723886,0.0146928,0.816266,7.59872,0.0175986,0.00665253,0.001258,0.00212836,0.000333125,1.09879e-05,3.10985e-05,5.81632e-06,7.49682e-07,0.000187061,3.76444e-05,0.00206493,0.0197208,4.5477e-05,1.67586e-05,3.14282e-06,5.33923e-06,8.28763e-07,2.74499e-08,7.70491e-08,2.35205e-08,3.34647e-09,3.6837025514205033,0.7476854759936119,41.53804807439029,386.6827684404728,0.8955554841705582,0.3385331631555444,0.06401695584231486,0.10830773301792469,0.016952025767067676,0.0005591509611285942,0.001582536805454872,0.000295980207158007,3.814972932414808e-05,656824000000000.0,17777000000000.0,197321000000000.0,100515000000.0,13178600000000.0,128641000000000.0,461584000000000.0,103858000000000.0,47342000000000.0,4663680000000.0,86351000000000.0,0.0
15,A012,uniform,0.90,0,0.05,0,10.0,263.15789473684214,0.819944,-21959.548456967794,1.27788,0.0807223,0.0127615,0.812334,7.57651,0.0160922,0.00701958,0.00153521,0.00237242,0.000484324,1.66119e-05,5.47937e-05,6.4887e-06,8.08018e-07,0.000208597,3.26962e-05,0.00205499,0.0196632,4.15843e-05,1.76833e-05,3.83535e-06,5.95149e-06,1.20492e-06,4.14995e-08,1.35756e-07,2.62396e-08,3.60687e-09,4.107786895540614,0.6494057090474571,41.33795692147139,385.55254857619786,0.8188979783829087,0.3572115603271832,0.07812358567462654,0.12072742955439159,0.024646222671997856,0.00084534441077659,0.002788335352414187,0.0003301962014101975,4.111832482177708e-05,656824000000000.0,17777000000000.0,197321000000000.0,100515000000.0,13178600000000.0,128641000000000.0,461584000000000.0,103858000000000.0,47342000000000.0,4663680000000.0,86351000000000.0,0.0
16,A012,uniform,0.90,0,0.05,0,12.0,315.7894736842105,0.836843,-19496.727582115163,1.22881,0.0870522,0.0113169,0.808547,7.55552,0.0150875,0.00730938,0.00177203,0.00256205,0.000645447,2.26115e-05,8.53439e-05,7.07762e-06,8.53847e-07,0.000224954,2.89948e-05,0.00204541,0.0196087,3.89879e-05,1.84133e-05,4.42702e-06,6.4272e-06,1.60577e-06,5.64878e-08,2.11446e-07,2.86211e-08,3.81145e-09,4.429902101253069,0.575893074381473,41.14524451147548,384.4844119282406,0.7677709231088437,0.3719588685967404,0.09017485394376565,0.13037729866121048,0.03284543092015468,0.0011506513489892704,0.004342970332043668,0.00036016509301167287,4.345046557638554e-05,546489000000000.0,16807700000000.0,196385000000000.0,117536000000.0,16476400000000.0,107780000000000.0,429613000000000.0,103635000000000.0,52857100000000.0,5879540000000.0,85798600000000.0,0.0
17,A012,uniform,0.90,0,0.05,0,14.0001,368.42368421052635,0.848511,-17853.510443588828,1.19345,0.0920272,0.0102167,0.80486,7.53538,0.0143972,0.00754358,0.00197444,0.0027127,0.00081246,2.87301e-05,0.000122405,7.58352e-06,8.90796e-07,0.00023781,2.61762e-05,0.00203608,0.0195564,3.72042e-05,1.90033e-05,4.93267e-06,6.80514e-06,2.02128e-06,7.17731e-08,3.03268e-07,3.06669e-08,3.97638e-09,4.683069315335356,0.5199062263546727,40.95762088970234,383.4595299801769,0.7326430180071347,0.3838768106144432,0.10047507018545322,0.1380435581187977,0.04134436879463206,0.001462013945187035,0.006228931224068799,0.0003859092726306134,4.5330721936812965e-05,546489000000000.0,16807700000000.0,196385000000000.0,117536000000.0,16476400000000.0,107780000000000.0,429613000000000.0,103635000000000.0,52857100000000.0,5879540000000.0,85798600000000.0,0.0
18,A012,uniform,0.90,0,0.05,0,16.0001,421.05526315789473,0.856579,-16743.464409003725,1.16703,0.0960447,0.00937395,0.801247,7.51586,0.0138959,0.00773705,0.00214762,0.00283475,0.000982328,3.47865e-05,0.000165576,8.02656e-06,9.21567e-07,0.000248192,2.40169e-05,0.00202694,0.0195058,3.59087e-05,1.94907e-05,5.36534e-06,7.11131e-06,2.44388e-06,8.69031e-08,4.10228e-07,3.24585e-08,4.11374e-09,4.88751138218472,0.4770204636073668,40.77376297121403,382.4661985190943,0.7071329226464412,0.393722089189016,0.10928783362962816,0.1442544241446757,0.04998859157286921,0.0017702113151102433,0.008425811987716315,0.00040845463997272715,4.68965929608383e-05,463089000000000.0,15882500000000.0,190466000000000.0,139016000000.0,22016600000000.0,91610600000000.0,403443000000000.0,100876000000000.0,60070600000000.0,7847490000000.0,84502600000000.0,0.0
19,A012,uniform,0.90,0,0.05,0,18.0001,473.68684210526317,0.862356,-15961.389495753492,1.14692,0.0993551,0.00872895,0.797687,7.49684,0.0135158,0.00790169,0.00229626,0.0029349,0.00115292,4.06602e-05,0.000214206,8.41656e-06,9.47581e-07,0.000256746,2.23644e-05,0.00201793,0.0194564,3.49265e-05,1.99054e-05,5.73666e-06,7.36255e-06,2.86828e-06,1.01577e-07,5.30713e-07,3.40356e-08,4.22986e-09,5.055970627510952,0.4441977795705678,40.592602110483796,381.49831099912535,0.6877904386117323,0.40210027011896726,0.11685180844393794,0.14935084554976935,0.058669657177839146,0.0020691114689504694,0.010900489700444273,0.00042830091404148936,4.822039032910696e-05,463089000000000.0,15882500000000.0,190466000000000.0,139016000000.0,22016600000000.0,91610600000000.0,403443000000000.0,100876000000000.0,60070600000000.0,7847490000000.0,84502600000000.0,0.0
20,A012,uniform,0.90,0,0.05,0,20.0001,526.3184210526316,0.866339,-15428.25614453465,1.13115,0.102121,0.00823993,0.794172,7.47821,0.0132143,0.00804313,0.00242443,0.00301784,0.00132242,4.62734e-05,0.000267811,8.76639e-06,9.70151e-07,0.000263894,2.11115e-05,0.00200904,0.019408,3.41474e-05,2.02617e-05,6.05688e-06,7.5706e-06,3.28999e-06,1.156e-07,6.63524e-07,3.54503e-08,4.33061e-09,5.196721420964257,0.41931258740362914,40.413731204453796,380.5502697532253,0.6724477421201123,0.40929785218123843,0.12337410830904882,0.15357148650172614,0.06729515321541654,0.002354755329470407,0.01362833462725452,0.000446103021881169,4.936892983098378e-05,350487000000000.0,14610400000000.0,184582000000000.0,152940000000.0,26338900000000.0,70002400000000.0,364869000000000.0,97978900000000.0,64636600000000.0,9370480000000.0,83472500000000.0,0.0
21,A012,uniform,0.90,0,0.05,0,24.0001,631.5815789473685,0.870732,-14845.899771686358,1.10697,0.106383,0.00761341,0.787239,7.44185,0.0128173,0.00826757,0.00263007,0.00314916,0.00165366,5.65144e-05,0.000387881,9.33926e-06,1.00573e-06,0.000274908,1.95063e-05,0.0019915,0.0193137,3.31214e-05,2.08271e-05,6.57061e-06,7.90005e-06,4.11404e-06,1.41183e-07,9.61007e-07,3.77669e-08,4.48944e-09,5.413605575018269,0.38743031143039613,40.06092551696988,378.6999863554299,0.652245252875757,0.4207191284683999,0.1338386924103315,0.16025408319585394,0.08415125532448521,0.0028758981313632107,0.019738442646321887,0.0004752551629728914,5.11794697927594e-05,350487000000000.0,14610400000000.0,184582000000000.0,152940000000.0,26338900000000.0,70002400000000.0,364869000000000.0,97978900000000.0,64636600000000.0,9370480000000.0,83472500000000.0,0.0
22,A012,uniform,0.90,0,0.05,0,28.0001,736.8447368421052,0.872379,-14629.077499573004,1.08962,0.109558,0.00732251,0.780414,7.40642,0.0124868,0.00844261,0.00278808,0.0032411,0.00196944,6.54245e-05,0.000521034,9.83863e-06,1.03491e-06,0.000283111,1.87609e-05,0.00197424,0.0192217,3.22674e-05,2.12681e-05,6.96536e-06,8.13068e-06,4.89966e-06,1.63442e-07,1.2909e-06,3.97863e-08,4.6197e-09,5.575174601090883,0.3726270264903887,39.71361572076655,376.8970286881062,0.6354268077995366,0.42962654337351813,0.14187948668111383,0.16493271508785903,0.10022063077431524,0.0033293142507993074,0.026514316828572877,0.0005006670447208857,5.266437819616064e-05,280126000000000.0,13748800000000.0,179805000000000.0,168409000000.0,29918000000000.0,56371700000000.0,338933000000000.0,95658100000000.0,67752100000000.0,10656600000000.0,82789700000000.0,0.0
23,A012,uniform,0.90,0,0.05,0,34.0001,894.7394736842107,0.87161,-14730.211906701394,1.07228,0.112838,0.00729225,0.77031,7.35453,0.012166,0.00863872,0.00295837,0.00334056,0.00240756,7.63485e-05,0.000736916,1.04318e-05,1.06771e-06,0.000291587,1.86834e-05,0.00194868,0.019087,3.14386e-05,2.17621e-05,7.3908e-06,8.38019e-06,5.98965e-06,1.90733e-07,1.82577e-06,4.2185e-08,4.7661e-09,5.742086854797396,0.37108715917418167,39.19944455873892,374.2564564793163,0.6191019751809241,0.43960616595717195,0.15054518414565105,0.16999402385421566,0.12251562973586928,0.003885213476253558,0.0375000946196306,0.0005308522098218285,5.433350073322576e-05,280126000000000.0,13748800000000.0,179805000000000.0,168409000000.0,29918000000000.0,56371700000000.0,338933000000000.0,95658100000000.0,67752100000000.0,10656600000000.0,82789700000000.0,0.0
24,A012,uniform,0.90,0,0.05,0,42.0002,1105.2684210526315,0.867504,-15273.243696859026,1.05705,0.115537,0.00768814,0.757018,7.28698,0.011859,0.00882297,0.00311244,0.0034229,0.00292058,8.71738e-05,0.00103794,1.1054e-05,1.09996e-06,0.000298562,1.96977e-05,0.00191505,0.0189118,3.06451e-05,2.22262e-05,7.77572e-06,8.58676e-06,7.26595e-06,2.17776e-07,2.57159e-06,4.47012e-08,4.91007e-09,5.879433248929676,0.3912331628692644,38.523042828169714,370.81898003484224,0.6034793953370523,0.44898225825760624,0.15838548016045667,0.1741841320768359,0.14862213107627023,0.004436090067731945,0.05281856847931024,0.0005625146501438381,5.59746349350657e-05,233087000000000.0,13191100000000.0,176149000000000.0,178229000000.0,33123900000000.0,47132600000000.0,321285000000000.0,93908300000000.0,70092800000000.0,11753100000000.0,82141900000000.0,0.0
25,A012,uniform,0.90,0,0.05,0,50.0002,1315.7947368421053,0.862002,-16009.01158001953,1.04767,0.117114,0.008325,0.743879,7.2208,0.0116195,0.00896223,0.00321591,0.0034717,0.00335535,9.48809e-05,0.00133629,1.15623e-05,1.12447e-06,0.000302638,2.13294e-05,0.00188181,0.01874,3.00261e-05,2.25771e-05,8.03422e-06,8.70918e-06,8.3476e-06,2.3703e-07,3.31078e-06,4.67565e-08,5.01947e-09,5.9596834392025935,0.4236416195447307,37.854426943581345,367.45121998902,0.5912917475435433,0.4560689047366212,0.16365084933454593,0.1766674607295425,0.1707466556323618,0.004828288064848245,0.0680009681419133,0.0005883809606801248,5.722189692846406e-05,233087000000000.0,13191100000000.0,176149000000000.0,178229000000.0,33123900000000.0,47132600000000.0,321285000000000.0,93908300000000.0,70092800000000.0,11753100000000.0,82141900000000.0,0.0
0,B001,uniform,0.95,0,0,0.05,0.0,0.0,1.57098,36345.465887535174,0.360502,0.432408,0.0,3.67794e-16,8.18044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011174,0.0,9.3042e-19,0.0212305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.00432737827002,0.0,1.8716257756016176e-14,416.28526728990954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186572000.0,,56012200.0,,91381800.0,375377000.0,28865600.0,115479000.0,28945200.0,60795900.0,52447700000000.0,0.0
1,B001,uniform,0.95,0,0,0.05,0.1,2.6315789473684212,1.52902,34598.63180337733,0.364692,0.431417,5.44345e-08,3.67884e-16,8.18007,0.000348257,3.45936e-20,1.72099e-25,6.13652e-23,6.15931e-29,1.41279e-29,1.11277e-32,1.23724e-06,2.73432e-06,0.00111484,1.39466e-10,9.30649e-19,0.0212296,8.9994e-07,8.71458e-23,4.29949e-28,1.53942e-25,1.53234e-31,3.5294e-32,2.75697e-35,5.00324e-09,1.22056e-08,21.95389748698247,2.770056425118035e-06,1.8720837665416662e-14,416.26643877348533,0.017722061200935647,1.76039504262854e-18,8.757753643486919e-24,3.1227450704728295e-21,3.1343424188324987e-27,7.189389113232433e-28,5.662650870640119e-31,6.296052340726998e-05,0.0001391437541325583,186572000.0,,56012200.0,,91381800.0,375377000.0,28865600.0,115479000.0,28945200.0,60795900.0,52447700000000.0,0.0
2,B001,uniform,0.95,0,0,0.05,0.400001,10.526342105263158,1.52113,34259.39926239046,0.367012,0.428578,8.85945e-07,5.63533e-16,8.17894,0.00127705,3.45755e-19,1.69832e-23,1.5359e-21,2.39898e-26,5.47526e-27,2.47381e-29,9.07904e-06,2.74761e-06,0.0011075,2.26987e-09,1.42559e-18,0.0212266,3.30005e-06,8.71004e-22,4.24286e-26,3.853e-24,5.9683e-29,1.36782e-29,6.12905e-32,3.67146e-08,1.22649e-08,21.80942678933833,4.50838648201269e-05,2.8677000935363446e-14,416.20893546656816,0.06498636999875054,1.7594739719602204e-17,8.642390814476961e-22,7.815869831336358e-20,1.2207901170635652e-24,2.786243860454633e-25,1.2588695193344749e-27,0.00046201311825962664,0.00013982005408736306,2485570000.0,,231560000.0,,389439000.0,1695200000.0,30375800.0,515203000.0,273307000.0,97265000.0,53044900000000.0,0.0
3,B001,uniform,0.95,0,0,0.05,0.700002,18.421105263157894,1.51467,33979.018532089496,0.36928,0.425911,2.71526e-06,3.28425e-15,8.1778,0.00203854,1.95731e-18,1.30341e-22,8.63511e-21,2.9249e-25,6.6199e-26,5.35368e-28,1.45116e-05,2.73671e-06,0.00110061,6.95675e-09,8.30827e-18,0.0212237,5.26785e-06,4.93072e-21,3.25627e-25,2.16622e-23,7.27671e-28,1.65377e-28,1.32642e-30,5.86833e-08,1.22163e-08,21.673708807437333,0.00013817383109730033,1.671285272059798e-13,416.15092328082864,0.10373698343624209,9.960336076289452e-17,6.632777457426996e-21,4.394224607023302e-19,1.4884196672749345e-23,3.3687269155845805e-24,2.7243743732423224e-26,0.0007384645917339716,0.00013926537617108226,2485570000.0,,231560000.0,,389439000.0,1695200000.0,30375800.0,515203000.0,273307000.0,97265000.0,53044900000000.0,0.0
4,B001,uniform,0.95,0,0,0.05,1.0,26.315789473684212,1.50942,33749.38718183143,0.371391,0.423383,5.54055e-06,1.61907e-14,8.17666,0.00266349,1.60001e-17,9.0163e-22,6.40986e-20,2.1242e-24,4.76364e-25,4.65881e-27,1.74472e-05,2.7261e-06,0.00109408,1.41954e-08,4.0958e-17,0.0212207,6.8828e-06,4.03065e-20,2.25251e-24,1.60799e-22,5.28467e-27,1.19004e-27,1.15426e-29,7.05544e-08,1.21689e-08,21.54506424116597,0.000281946855876103,8.239104347823268e-13,416.0929110950892,0.13553936543437775,8.142112044297472e-16,4.5882041252866735e-20,3.2618420077537386e-18,1.0809603942785789e-22,2.42411551294662e-23,2.370769746007431e-25,0.0008878510588013004,0.00013872545574064747,6357190000.0,,1031450000.0,,1935110000.0,3945080000.0,291889000.0,2336340000.0,1232810000.0,450569000.0,53258200000000.0,0.0
5,B001,uniform,0.95,0,0,0.05,1.3,34.21052631578947,1.50481,33546.42778822576,0.373543,0.420971,9.35612e-06,5.42657e-14,8.17551,0.00317692,8.96629e-17,6.29862e-21,4.10111e-19,1.53403e-23,3.41002e-24,3.4609e-26,1.89654e-05,2.71489e-06,0.00108784,2.39713e-08,1.37278e-16,0.0212177,8.20956e-06,2.25873e-19,1.57357e-23,1.02881e-21,3.81644e-26,8.51885e-27,8.57465e-29,7.66939e-08,1.21189e-08,21.42232266923301,0.0004761131326672487,2.7614665505980172e-12,416.03439003052745,0.161666730806492,4.562755095384652e-15,3.2052343275637616e-19,2.0869680268241328e-17,7.806353797359798e-22,1.7352869615374445e-22,1.761178716014845e-24,0.0009651090415992355,0.00013815500258087615,6357190000.0,,1031450000.0,,1935110000.0,3945080000.0,291889000.0,2336340000.0,1232810000.0,450569000.0,53258200000000.0,0.0
6,B001,uniform,0.95,0,0,0.05,1.6,42.10526315789474,1.50077,33367.53799716145,0.375468,0.418654,1.41534e-05,1.40837e-13,8.17436,0.00359932,3.55038e-16,3.46031e-20,1.91683e-18,9.55719e-23,2.10887e-23,2.36145e-25,1.97353e-05,2.70388e-06,0.00108186,3.62623e-08,3.56279e-16,0.0212147,9.3011e-06,8.94388e-19,8.64478e-23,4.8086e-21,2.37768e-25,5.26835e-26,5.85068e-28,7.98074e-08,1.20697e-08,21.304415446111673,0.000720236552320047,7.166896669287836e-12,415.97586896596573,0.18316177225942823,1.806713193032097e-14,1.760878477509702e-18,9.754341929032146e-17,4.863451591467513e-21,1.0731592819330885e-21,1.2016918948635486e-23,0.001004287622126261,0.00013759472699755032,14809800000.0,,4602510000.0,,,5899370000.0,482452000.0,8994280000.0,4736170000.0,,53370700000000.0,0.0
7,B001,uniform,0.95,0,0,0.05,2.00001,52.63184210526316,1.49562,33138.0965753333,0.378071,0.415684,2.20632e-05,3.88695e-13,8.17281,0.00404928,1.54411e-15,2.27522e-19,1.0208e-17,7.65669e-22,1.67562e-22,2.26219e-24,2.01987e-05,2.68864e-06,0.00107418,5.6528e-08,9.83293e-16,0.0212107,1.04639e-05,3.88983e-18,5.68411e-22,2.56079e-20,1.90487e-24,4.18601e-25,5.60475e-27,8.16812e-08,1.20017e-08,21.153278435895714,0.00112274952316388,1.9779865382455145e-11,415.89699274851296,0.206059283746557,7.857648782645215e-14,1.1578112740186932e-17,5.194635017792926e-16,3.896327389732065e-20,8.526875321820319e-21,1.1511805829644375e-22,0.0010278690667505288,0.00013681919567240175,14809800000.0,,4602510000.0,,,5899370000.0,482452000.0,8994280000.0,4736170000.0,,53370700000000.0,0.0
8,B001,uniform,0.95,0,0,0.05,2.50001,65.78973684210527,1.48971,32872.8410227494,0.381161,0.41212,3.43581e-05,1.06156e-12,8.17087,0.004473,6.6237e-15,1.51551e-18,5.42307e-17,6.37577e-21,1.38196e-21,2.34647e-23,2.0398e-05,2.67068e-06,0.00106497,8.80286e-08,2.68545e-15,0.0212057,1.15588e-05,1.6686e-17,3.78615e-21,1.36044e-19,1.58619e-23,3.45238e-24,5.81357e-26,8.24873e-08,1.19215e-08,20.971914023636565,0.0017484109463639411,5.4020540257526036e-11,415.79827025699143,0.22762149720403368,3.3706606551092283e-13,7.712109439474293e-17,2.759685474720051e-15,3.244494328702351e-19,7.032501772324756e-20,1.194068890105855e-21,0.0010380110216784886,0.00013590524930759415,24860300000.0,,15596000000.0,,,9100100000.0,,,,,53538700000000.0,0.0
9,B001,uniform,0.95,0,0,0.05,3.00001,78.94763157894737,1.48418,32622.727701491734,0.384042,0.40868,4.93047e-05,2.39259e-12,8.16891,0.00478405,2.1554e-14,7.10439e-18,2.11057e-16,3.6181e-20,7.76578e-21,1.61099e-22,2.04497e-05,2.65348e-06,0.00105608,1.26323e-07,6.05261e-15,0.0212006,1.23626e-05,5.42975e-17,1.77487e-20,5.29462e-19,9.00129e-23,1.94004e-23,3.99135e-25,8.26962e-08,1.18448e-08,20.79685970877364,0.002509011766866917,1.217538381389222e-10,415.69853000782535,0.2434501729709272,1.0968374135335886e-12,3.6152736161890564e-16,1.0740243759309577e-14,1.8411744668766246e-18,3.9518409804541483e-19,8.197986938983371e-21,0.001040641925189655,0.0001350299777332795,24860300000.0,,15596000000.0,,,9100100000.0,,,,,53538700000000.0,0.0
10,B001,uniform,0.95,0,0,0.05,4.00001,105.26342105263157,1.47341,32130.228517520587,0.390175,0.402053,8.69613e-05,8.4896e-12,8.16497,0.00518641,1.36274e-13,8.07942e-17,1.77917e-15,5.58327e-19,1.17805e-19,3.37226e-21,2.04855e-05,2.61756e-06,0.00103896,2.22803e-07,2.14764e-14,0.0211904,1.34023e-05,3.43293e-16,2.01845e-19,4.46326e-18,1.38903e-21,2.94298e-22,8.35504e-24,8.28409e-08,1.16844e-08,20.459625713251363,0.004425276392758581,4.320177649593928e-10,415.49803175184866,0.2639254212640224,6.934695262683319e-12,4.111445734272778e-15,9.05381934228707e-14,2.841207862048658e-17,5.994846965821862e-18,1.7160716972083044e-19,0.001042463711373403,0.00013320208500366428,38181700000.0,,,,,13731600000.0,,,,,53686500000000.0,0.0
11,B001,uniform,0.95,0,0,0.05,5.00002,131.57947368421054,1.46301,31647.767274318012,0.39589,0.395638,0.000134603,2.24592e-11,8.16097,0.00542282,5.62937e-13,5.25652e-16,9.20325e-15,4.62555e-18,9.57759e-19,3.54983e-20,2.04822e-05,2.58509e-06,0.00102238,3.44864e-07,5.68158e-14,0.02118,1.40132e-05,1.41811e-15,1.31322e-18,2.30874e-17,1.15077e-20,2.39266e-21,8.79498e-23,8.28276e-08,1.15395e-08,20.133179948761338,0.006849661611481007,1.142901124526008e-09,415.2944802229383,0.2759558255014482,2.8646671757555803e-11,2.6749317068699914e-14,4.683339021111163e-13,2.3538444363785334e-16,4.873832719441943e-17,1.8064333096798453e-18,0.0010422957813620518,0.00013154975546773428,38181700000.0,,,,,13731600000.0,,,,,53686500000000.0,0.0
12,B001,uniform,0.95,0,0,0.05,6.00002,157.89526315789473,1.45277,31165.979473695075,0.401834,0.389355,0.000191908,4.94806e-11,8.15693,0.00557562,1.78341e-12,2.41606e-15,3.50568e-14,2.59307e-17,5.27006e-18,2.41653e-19,2.04684e-05,2.55284e-06,0.00100614,4.91687e-07,1.25173e-13,0.0211695,1.44081e-05,4.49265e-15,6.03595e-18,8.79442e-17,6.45115e-20,1.31656e-20,5.98714e-22,8.2772e-08,1.13955e-08,19.813451384725358,0.009765791702533354,2.5179629453507507e-09,415.0888931787387,0.28373149390582475,9.075395804351569e-11,1.2294817673480386e-13,1.7839663096763622e-12,1.319558407679105e-15,2.6818219261236076e-16,1.2297209403945082e-17,0.001041593528587311,0.00012990862126589434,57195400000.0,,,,,22483600000.0,,,,,53905700000000.0,0.0
13,B001,uniform,0.95,0,0,0.05,7.00002,184.21105263157895,1.44268,30684.55929242798,0.407687,0.383163,0.000258559,9.62967e-11,8.15284,0.00568644,4.7121e-12,8.74527e-15,1.08307e-13,1.11216e-16,2.21855e-17,1.22193e-18,2.04413e-05,2.52088e-06,0.000990142,6.62451e-07,2.43605e-13,0.0211589,1.46945e-05,1.18704e-14,2.1848e-17,2.717e-16,2.76689e-19,5.54235e-20,3.02743e-21,8.26624e-08,1.12528e-08,19.498353617972086,0.013157519940884807,4.900335128506074e-09,414.8807617404279,0.28937088901428687,2.397887898446517e-10,4.4502826980852217e-13,5.511513860424162e-12,5.6595467098242355e-15,1.128973111160315e-15,6.218142993036549e-17,0.0010402144669789432,0.0001282822445499004,57195400000.0,,,,,22483600000.0,,,,,53905700000000.0,0.0
14,B001,uniform,0.95,0,0,0.05,8.00002,210.52684210526314,1.43273,30203.17854724896,0.413572,0.377042,0.000334245,1.71308e-10,8.1487,0.00577706,1.09124e-11,2.65922e-14,2.87188e-13,3.92368e-16,7.6823e-17,4.96833e-18,2.03982e-05,2.48884e-06,0.000974324,8.56365e-07,4.33363e-13,0.0211482,1.49286e-05,2.74898e-14,6.64344e-17,7.20445e-16,9.76153e-19,1.91918e-19,1.23094e-20,8.24879e-08,1.11098e-08,19.186868890856978,0.017009020195162584,8.717501328644893e-09,414.67008590800566,0.29398234890175157,5.553089260204107e-10,1.353220741772659e-12,1.4614389121178634e-11,1.9966776573877103e-14,3.909359776370551e-15,2.528277919078284e-16,0.001038021199254934,0.0001266517968033282,90115100000.0,,,,,33343900000.0,,,,,54106200000000.0,0.0
15,B001,uniform,0.95,0,0,0.05,10.0,263.15789473684214,1.41293,29225.085460709306,0.425998,0.364989,0.000511243,4.47671e-10,8.14027,0.00592432,4.42655e-11,1.70487e-13,1.46159e-12,3.23127e-15,6.11237e-16,5.18284e-17,2.03095e-05,2.42175e-06,0.000943178,1.30985e-06,1.13249e-12,0.0211263,1.53092e-05,1.11511e-13,4.25923e-16,3.66658e-15,8.03891e-18,1.52698e-18,1.28409e-19,8.21291e-08,1.08103e-08,18.573517246367775,0.02601607357368249,2.2781029124709806e-08,414.24110106082696,0.30147609843858725,2.2525775507456187e-09,8.675722377336035e-12,7.437721978503099e-11,1.6443248720556178e-13,3.110455646914866e-14,2.637437515244699e-15,0.0010335074441013463,0.00012323772878467887,90115100000.0,,,,,33343900000.0,,,,,54106200000000.0,0.0
16,B001,uniform,0.95,0,0,0.05,12.0,315.7894736842105,1.393,28212.49102656138,0.438471,0.353153,0.000720513,9.84008e-10,8.13164,0.00606988,1.38914e-10,7.76023e-13,5.51593e-12,1.81548e-14,3.30541e-15,3.53856e-16,2.01255e-05,2.35858e-06,0.000912591,1.84602e-06,2.48927e-12,0.0211039,1.56853e-05,3.49942e-13,1.93871e-15,1.38374e-14,4.51665e-17,8.25752e-18,8.76707e-19,8.13851e-08,1.05283e-08,17.971208272321952,0.03666538068745135,5.007408321501157e-08,413.8019386372029,0.308883338575636,7.06903927176417e-09,3.949016702990517e-11,2.8069399621565963e-10,9.238593242655467e-13,1.682053147939157e-13,1.8006982453527953e-14,0.0010241440737714686,0.00012002314126436167,132075000000.0,,,,,57624300000.0,,,,,54289200000000.0,0.0
