# BURN_STEP: step (dimensionless) | case: case label | layout_base: layout | Th_level: fraction | Pu_level: fraction | U235_enrichment: fraction | U233_enrichment: fraction | burnup_MWd_kgHM: MWd/kgHM | EFPD: day | ANA_KEFF: dimensionless | reactivity_pcm: pcm | conversion_ratio: dimensionless | Mdens_U233: g/cm3 | Mdens_U235: g/cm3 | Mdens_U238: g/cm3 | Mdens_Th232: g/cm3 | Mdens_Pa233: g/cm3 | Mdens_Pu239: g/cm3 | Mdens_Pu241: g/cm3 | Mdens_Pu240: g/cm3 | Mdens_Pu242: g/cm3 | Mdens_Am241: g/cm3 | Mdens_Am243: g/cm3 | Mdens_Sm149: g/cm3 | Mdens_Xe135: g/cm3 | Adens_U233: atoms/barn/cm | Adens_U235: atoms/barn/cm | Adens_U238: atoms/barn/cm | Adens_Th232: atoms/barn/cm | Adens_Pa233: atoms/barn/cm | Adens_Pu239: atoms/barn/cm | Adens_Pu241: atoms/barn/cm | Adens_Pu240: atoms/barn/cm | Adens_Pu242: atoms/barn/cm | Adens_Am241: atoms/barn/cm | Adens_Am243: atoms/barn/cm | Adens_Sm149: atoms/barn/cm | Adens_Xe135: atoms/barn/cm | Mass_U233_kg: kg | Mass_U235_kg: kg | Mass_U238_kg: kg | Mass_Th232_kg: kg | Mass_Pa233_kg: kg | Mass_Pu239_kg: kg | Mass_Pu241_kg: kg | Mass_Pu240_kg: kg | Mass_Pu242_kg: kg | Mass_Am241_kg: kg | Mass_Am243_kg: kg | Mass_Sm149_kg: kg | Mass_Xe135_kg: kg | U235_FISS: 1/s | U238_FISS: 1/s | PU239_FISS: 1/s | PU240_FISS: 1/s | PU241_FISS: 1/s | U235_CAPT: 1/s | U238_CAPT: 1/s | PU239_CAPT: 1/s | PU240_CAPT: 1/s | PU241_CAPT: 1/s | XE135_CAPT: 1/s | XE135M_CAPT: 1/s
BURN_STEP,case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,ANA_KEFF,reactivity_pcm,conversion_ratio,Mdens_U233,Mdens_U235,Mdens_U238,Mdens_Th232,Mdens_Pa233,Mdens_Pu239,Mdens_Pu241,Mdens_Pu240,Mdens_Pu242,Mdens_Am241,Mdens_Am243,Mdens_Sm149,Mdens_Xe135,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu241,Adens_Pu240,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135,Mass_U233_kg,Mass_U235_kg,Mass_U238_kg,Mass_Th232_kg,Mass_Pa233_kg,Mass_Pu239_kg,Mass_Pu241_kg,Mass_Pu240_kg,Mass_Pu242_kg,Mass_Am241_kg,Mass_Am243_kg,Mass_Sm149_kg,Mass_Xe135_kg,U235_FISS,U238_FISS,PU239_FISS,PU240_FISS,PU241_FISS,U235_CAPT,U238_CAPT,PU239_CAPT,PU240_CAPT,PU241_CAPT,XE135_CAPT,XE135M_CAPT
10,A001,uniform,0.00,0,0.02,0,4.00002,105.26368421052632,1.14624,12758.235622557226,0.570071,1.05196e-09,0.134722,8.44282,2.6273e-11,2.94746e-12,0.0164826,0.000343669,0.00170046,1.58721e-05,1.21199e-06,3.14009e-07,9.40064e-06,1.1448e-06,2.71841e-12,0.000345169,0.0213581,6.81859e-14,7.61661e-15,4.1522e-05,8.58577e-07,4.2658e-06,3.94875e-08,3.02778e-09,7.77982e-10,3.80151e-08,5.1102e-09,5.353201658814113e-08,6.8557172694660915,429.6372298287859,1.3369773297656107e-09,1.4998999735054796e-10,0.8387646076045618,0.01748858759727544,0.08653280821273666,0.000807697555504615,6.16756043810232e-05,1.597925301040497e-05,0.0004783786611840213,5.8256447574151074e-05,1220810000000000.0,82139900000000.0,127005000000000.0,19740100000.0,516844000000.0,247292000000000.0,889619000000000.0,68007400000000.0,8638410000000.0,349801000000.0,78786700000000.0,0.0
11,A001,uniform,0.00,0,0.02,0,5.00002,131.57947368421054,1.13204,11663.898802162463,0.581891,1.27073e-09,0.127022,8.4363,4.01528e-11,4.52675e-12,0.0194233,0.000589953,0.00243414,3.49643e-05,2.63073e-06,8.92658e-07,9.70715e-06,1.14866e-06,3.28373e-12,0.000325443,0.0213416,1.04208e-13,1.16977e-14,4.89298e-05,1.47386e-06,6.10634e-06,8.6986e-08,6.57206e-09,2.21163e-09,3.92546e-08,5.12745e-09,6.466475858307215e-08,6.463880576313607,429.305440836662,2.0432909575081875e-09,2.3035672087376692e-10,0.9884106028712514,0.03002145878381652,0.12386822964547876,0.0017792591805703096,0.00013387227841260172,4.542547517352075e-05,0.0004939763059656015,5.8452874799549594e-05,1220810000000000.0,82139900000000.0,127005000000000.0,19740100000.0,516844000000.0,247292000000000.0,889619000000000.0,68007400000000.0,8638410000000.0,349801000000.0,78786700000000.0,0.0
12,A001,uniform,0.00,0,0.02,0,6.00002,157.89526315789473,1.11807,10560.161707227626,0.594021,1.47223e-09,0.119735,8.4297,5.65868e-11,6.36014e-12,0.0219853,0.000894646,0.00322084,6.52673e-05,4.82878e-06,2.05924e-06,9.97857e-06,1.1499e-06,3.80444e-12,0.000306772,0.0213249,1.46859e-13,1.64354e-14,5.53838e-05,2.23507e-06,8.07987e-06,1.62375e-07,1.20632e-08,5.10192e-09,4.03522e-08,5.13298e-09,7.491866685193259e-08,6.09306057852112,428.96958081395996,2.8795824140364882e-09,3.2365405527101785e-10,1.1187853571383506,0.04552664028338921,0.163901726593928,0.0033213146757131297,0.0002457263879429675,0.0001047903625983533,0.0005077882949598154,5.851597577351181e-05,1196500000000000.0,82664500000000.0,155934000000000.0,27521000000.0,980250000000.0,242642000000000.0,891798000000000.0,83533500000000.0,13050600000000.0,654204000000.0,78966900000000.0,0.0
13,A001,uniform,0.00,0,0.02,0,7.00003,184.21131578947367,1.10435,9448.997147643406,0.606666,1.65507e-09,0.112828,8.42301,7.54157e-11,8.42127e-12,0.024222,0.00124773,0.00404326,0.000108862,7.9058e-06,4.11215e-06,1.02152e-05,1.149e-06,4.27692e-12,0.000289076,0.0213079,1.95725e-13,2.17616e-14,6.10186e-05,3.11716e-06,1.0143e-05,2.70832e-07,1.97501e-08,1.01882e-08,4.13092e-08,5.12896e-09,8.422300723842611e-08,5.74157797597512,428.62914088185727,3.837745259711657e-09,4.2854059596678126e-10,1.2326062833168128,0.06349433729183745,0.20575293869554687,0.005539756635060477,0.00040230941931492274,0.00020925860490220594,0.0005198298945313314,5.847017667950697e-05,1196500000000000.0,82664500000000.0,155934000000000.0,27521000000.0,980250000000.0,242642000000000.0,891798000000000.0,83533500000000.0,13050600000000.0,654204000000.0,78966900000000.0,0.0
14,A001,uniform,0.00,0,0.02,0,8.00003,210.52710526315792,1.09104,8344.332013491714,0.620007,1.81778e-09,0.106276,8.41623,9.649e-11,1.06855e-11,0.0261783,0.00163962,0.00488827,0.000167427,1.1917e-05,7.39301e-06,1.04242e-05,1.14648e-06,4.69739e-12,0.000272288,0.0212908,2.50419e-13,2.76128e-14,6.59466e-05,4.0962e-06,1.22628e-05,4.16533e-07,2.97709e-08,1.83168e-08,4.21543e-08,5.11772e-09,9.250297455567814e-08,5.4081605716199155,428.28412104035425,4.910171756140668e-09,5.437624655429693e-10,1.3321582473186575,0.08343678945800977,0.24875370805668717,0.008520005457719595,0.000606430892506253,0.00037621462218743416,0.0005304654619168986,5.834193921629344e-05,1165580000000000.0,83190400000000.0,189709000000000.0,45743500000.0,1833210000000.0,236839000000000.0,894907000000000.0,101494000000000.0,19353800000000.0,1084670000000.0,79263700000000.0,0.0
15,A001,uniform,0.00,0,0.02,0,10.0,263.15789473684214,1.0658,6173.76618502534,0.645687,2.11094e-09,0.0941471,8.4024,1.4483e-10,1.57519e-11,0.0293895,0.00250899,0.00660665,0.000334033,2.27576e-05,1.91758e-05,1.07637e-05,1.13675e-06,5.45494e-12,0.000241214,0.0212558,3.75874e-13,4.0705e-14,7.40362e-05,6.26812e-06,1.65736e-05,8.31023e-07,5.68527e-08,4.75095e-08,4.35271e-08,5.07429e-09,1.0742126610951999e-07,4.790946536869636,427.5803416291465,7.3700919830226245e-09,8.01580832060858e-10,1.4955694147279115,0.12767718763021427,0.3361984271189423,0.016998231964130334,0.0011580860685827224,0.0009758158520199215,0.0005477418979331673,5.784680012221893e-05,1165580000000000.0,83190400000000.0,189709000000000.0,45743500000.0,1833210000000.0,236839000000000.0,894907000000000.0,101494000000000.0,19353800000000.0,1084670000000.0,79263700000000.0,0.0
16,A001,uniform,0.00,0,0.02,0,12.0,315.7894736842105,1.04195,4026.104899467339,0.671577,2.32908e-09,0.0832097,8.38822,2.00551e-10,2.14079e-11,0.0318441,0.00343299,0.0083214,0.000572008,3.71591e-05,4.06921e-05,1.1021e-05,1.12375e-06,6.01864e-12,0.000213191,0.0212199,5.20486e-13,5.53206e-14,8.02195e-05,8.57654e-06,2.08752e-05,1.42307e-06,9.28303e-08,1.00818e-07,4.45675e-08,5.01624e-09,1.1852194873864761e-07,4.234365413793535,426.8587514591593,1.0205615668626461e-08,1.0894026939401369e-09,1.6204788104437668,0.1746975908085123,0.4234584231687113,0.029108275737242322,0.0018909479044834357,0.0020707347923935296,0.0005608353500303276,5.718525765326019e-05,1128930000000000.0,84264600000000.0,220725000000000.0,59450200000.0,2992680000000.0,229556000000000.0,898953000000000.0,117974000000000.0,26319700000000.0,2244450000000.0,79420400000000.0,0.0
17,A001,uniform,0.00,0,0.02,0,14.0001,368.42368421052635,1.01929,1892.4937947002354,0.69736,2.49517e-09,0.073351,8.37367,2.62703e-10,2.75269e-11,0.0337241,0.00436532,0.00999667,0.000883193,5.45334e-05,7.52381e-05,1.12094e-05,1.10843e-06,6.44784e-12,0.000187932,0.0211831,6.81788e-13,7.11329e-14,8.49555e-05,1.09057e-05,2.50778e-05,2.19725e-06,1.36234e-07,1.86408e-07,4.53294e-08,4.94789e-09,1.2697391709782892e-07,3.732677049276341,426.1183327727478,1.3368399324835963e-08,1.4007856452907925e-09,1.7161480290316458,0.2221418900457662,0.5087093656281348,0.044943821368236554,0.0027750892366703445,0.003828707571828036,0.0005704226270420065,5.640565529753343e-05,1128930000000000.0,84264600000000.0,220725000000000.0,59450200000.0,2992680000000.0,229556000000000.0,898953000000000.0,117974000000000.0,26319700000000.0,2244450000000.0,79420400000000.0,0.0
18,A001,uniform,0.00,0,0.02,0,16.0001,421.05526315789473,0.998071,-193.27282327609544,0.722385,2.61217e-09,0.0644803,8.35876,3.30414e-10,3.39997e-11,0.0351579,0.00527492,0.0116076,0.00126621,7.41172e-05,0.000125939,1.13469e-05,1.09198e-06,6.75018e-12,0.000165205,0.0211454,8.57516e-13,8.78594e-14,8.85675e-05,1.31782e-05,2.9119e-05,3.15014e-06,1.85158e-07,3.12024e-07,4.58856e-08,4.87444e-09,1.3292779931845754e-07,3.281265912400012,425.3595944487343,1.6814068718348664e-08,1.7301727293735712e-09,1.789111074569572,0.26842950771998686,0.590686181745035,0.06443474535540342,0.0037716673446391243,0.006408768999861121,0.0005774197108483008,5.556854963488949e-05,1094920000000000.0,84935700000000.0,276261000000000.0,98814800000.0,6296490000000.0,223043000000000.0,903650000000000.0,147437000000000.0,41416000000000.0,3843890000000.0,79810000000000.0,0.0
19,A001,uniform,0.00,0,0.02,0,18.0001,473.68684210526317,0.977996,-2249.9069525846753,0.746813,2.69028e-09,0.0565168,8.34348,4.02879e-10,4.07272e-11,0.036245,0.00613998,0.013138,0.00171753,9.51085e-05,0.000195355,1.14379e-05,1.07476e-06,6.95202e-12,0.000144801,0.0211068,1.04558e-12,1.05244e-13,9.13061e-05,1.53393e-05,3.29581e-05,4.27296e-06,2.37598e-07,4.84009e-07,4.62534e-08,4.79756e-09,1.3690265179925502e-07,2.876020262280557,424.5820276082966,2.0501659103971356e-08,2.072520957059718e-09,1.8444312913391907,0.31245057911979046,0.6685649967061468,0.08740146436236172,0.0048398701468432455,0.009941202232571875,0.000582050508131012,5.46922603029303e-05,1094920000000000.0,84935700000000.0,276261000000000.0,98814800000.0,6296490000000.0,223043000000000.0,903650000000000.0,147437000000000.0,41416000000000.0,3843890000000.0,79810000000000.0,0.0
