case,detector,G1,G2,G3,G4,G5,G6,G7
B009,det22,1431980360000.0,6278871600000.0,254577499000000.0,580248750000000.0,7810060000000000.0,2537977360000000.0,4.3886033e+16
B009,det23,1454216080000.0,6390922300000.0,259466167000000.0,590671700000000.0,7895682800000000.0,2559537130000000.0,4.4166434e+16
B009,det24,1483152190000.0,6558914400000.0,265615202000000.0,605417860000000.0,8011815600000000.0,2589364730000000.0,4.4547483e+16
B009,det25,1517084920000.0,6718156500000.0,272779274000000.0,621011870000000.0,8129458200000000.0,2618370900000000.0,4.4914614e+16
B010,det0,1166093420000.0,5156589500000.0,207182390000000.0,469029480000000.0,6903728600000000.0,2331655240000000.0,4.1461688e+16
B010,det1,1165924770000.0,5136341500000.0,206781756000000.0,468960010000000.0,6915710900000000.0,2335921840000000.0,4.1531808e+16
B010,det2,1164919990000.0,5128309500000.0,206762952000000.0,469485780000000.0,6919846600000000.0,2338287580000000.0,4.1555159e+16
B010,det3,1167113540000.0,5133100700000.0,206804929000000.0,469878600000000.0,6924596900000000.0,2339383130000000.0,4.1568719e+16
B010,det4,1169896830000.0,5164021300000.0,207054708000000.0,470197790000000.0,6928155500000000.0,2340140240000000.0,4.1594399e+16
B010,det5,1172822690000.0,5150175090000.0,207146122000000.0,470347730000000.0,6932927300000000.0,2340929700000000.0,4.1606556e+16
B010,det6,1173222220000.0,5141016700000.0,207160761000000.0,470562200000000.0,6936440000000000.0,2342576860000000.0,4.1618495e+16
B010,det7,1170490330000.0,5167884600000.0,207535008000000.0,471311450000000.0,6941704500000000.0,2343669620000000.0,4.1644592e+16
B010,det8,1169855110000.0,5175237370000.0,207633563000000.0,471906090000000.0,6948679600000000.0,2346079150000000.0,4.1672146e+16
B010,det9,1170405810000.0,5177010000000.0,208059733000000.0,472692960000000.0,6956332400000000.0,2347706340000000.0,4.1700087e+16
B010,det10,1167910650000.0,5183165100000.0,208199497000000.0,473618030000000.0,6970296400000000.0,2351416130000000.0,4.1755436e+16
B010,det11,1177982330000.0,5191892910000.0,208428890000000.0,474498550000000.0,6982767900000000.0,2355461240000000.0,4.1813779e+16
B010,det12,1182422240000.0,5213735600000.0,209231444000000.0,476211990000000.0,6995330400000000.0,2360416840000000.0,4.1866453e+16
B010,det13,1179474080000.0,5201948700000.0,209421676000000.0,477115930000000.0,7009163200000000.0,2363236250000000.0,4.1916744e+16
B010,det14,1181747870000.0,5241907000000.0,209999624000000.0,478237290000000.0,7023105800000000.0,2367281890000000.0,4.1971003e+16
B010,det15,1192671900000.0,5258961830000.0,210996453000000.0,480650120000000.0,7048920600000000.0,2375882770000000.0,4.2081176e+16
B010,det16,1193871620000.0,5277540900000.0,211795156000000.0,483268600000000.0,7075208900000000.0,2383822560000000.0,4.2178949e+16
B010,det17,1208739260000.0,5317345300000.0,212768766000000.0,485528260000000.0,7099915500000000.0,2389543170000000.0,4.2273374e+16
B010,det18,1211580460000.0,5338508500000.0,213826313000000.0,488094420000000.0,7126555700000000.0,2398290550000000.0,4.2372336e+16
B010,det19,1215717900000.0,5342643500000.0,214657720000000.0,490461650000000.0,7151127800000000.0,2404786360000000.0,4.2472805e+16
B010,det20,1225553190000.0,5375407200000.0,215925536000000.0,493029890000000.0,7176832100000000.0,2411771870000000.0,4.2562107e+16
B010,det21,1236548480000.0,5429235600000.0,217976848000000.0,498252130000000.0,7229161900000000.0,2425618000000000.0,4.2749958e+16
B010,det22,1243280440000.0,5497367300000.0,220270510000000.0,503766040000000.0,7277983200000000.0,2439449930000000.0,4.2921689e+16
B010,det23,1262153600000.0,5562006100000.0,223735964000000.0,511975390000000.0,7354378900000000.0,2460107360000000.0,4.3187444e+16
