case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
M70-30,0,0.000000,2,1,0.004257,1.123095,12.309483
M70-30,0,0.000000,2,2,0.004015,1.059098,5.909805
M70-30,0,0.000000,3,1,0.004275,1.127872,12.787237
M70-30,0,0.000000,3,2,0.004023,1.061414,6.141427
M70-30,0,0.000000,3,3,0.004034,1.064116,6.411565
M70-30,0,0.000000,4,2,0.004287,1.131064,13.106442
M70-30,0,0.000000,4,3,0.004320,1.139678,13.967770
M70-30,0,0.000000,5,1,0.004360,1.150251,15.025106
M70-30,0,0.000000,5,2,0.004109,1.084078,8.407788
M70-30,0,0.000000,5,3,0.004154,1.095804,9.580407
M70-30,0,0.000000,5,4,0.004493,1.185319,18.531884
M70-30,0,0.000000,5,5,0.003878,1.022957,2.295658
M70-30,0,0.000000,6,1,0.003873,1.021601,2.160062
M70-30,0,0.000000,6,2,0.003666,0.967101,-3.289913
M70-30,0,0.000000,6,3,0.003695,0.974696,-2.530415
M70-30,0,0.000000,6,4,0.003982,1.050593,5.059294
M70-30,0,0.000000,6,5,0.004163,1.098247,9.824691
M70-30,0,0.000000,7,2,0.003981,1.050110,5.011017
M70-30,0,0.000000,7,3,0.003977,1.049102,4.910243
M70-30,0,0.000000,7,5,0.004173,1.100822,10.082166
M70-30,0,0.000000,7,6,0.004018,1.059860,5.986045
M70-30,0,0.000000,7,7,0.003777,0.996397,-0.360344
M70-30,0,0.000000,8,1,0.004099,1.081245,8.124460
M70-30,0,0.000000,8,2,0.003888,1.025589,2.558937
M70-30,0,0.000000,8,3,0.003900,1.028787,2.878670
M70-30,0,0.000000,8,4,0.004109,1.083946,8.394597
M70-30,0,0.000000,8,5,0.003897,1.028077,2.807706
M70-30,0,0.000000,8,6,0.003768,0.994025,-0.597506
M70-30,0,0.000000,8,7,0.003795,1.001032,0.103164
M70-30,0,0.000000,8,8,0.002986,0.787732,-21.226793
M70-30,0,0.000000,9,1,0.003068,0.809335,-19.066535
M70-30,0,0.000000,9,2,0.003086,0.814154,-18.584614
M70-30,0,0.000000,9,3,0.003067,0.809005,-19.099537
M70-30,0,0.000000,9,4,0.003088,0.814549,-18.545148
M70-30,0,0.000000,9,5,0.003065,0.808561,-19.143857
M70-30,0,0.000000,9,6,0.003037,0.801268,-19.873176
M70-30,0,0.000000,9,7,0.003066,0.808810,-19.119006
M70-30,0,0.000000,9,8,0.003148,0.830561,-16.943897
M70-30,0,0.000000,9,9,0.003260,0.860051,-13.994885
M70-30,1,0.100000,2,1,0.004266,1.122771,12.277068
M70-30,1,0.100000,2,2,0.004049,1.065784,6.578436
M70-30,1,0.100000,3,1,0.004275,1.125161,12.516057
M70-30,1,0.100000,3,2,0.004049,1.065626,6.562644
M70-30,1,0.100000,3,3,0.004041,1.063652,6.365241
M70-30,1,0.100000,4,2,0.004294,1.130085,13.008512
M70-30,1,0.100000,4,3,0.004322,1.137629,13.762855
M70-30,1,0.100000,5,1,0.004360,1.147565,14.756450
M70-30,1,0.100000,5,2,0.004142,1.090276,9.027550
M70-30,1,0.100000,5,3,0.004162,1.095458,9.545799
M70-30,1,0.100000,5,4,0.004494,1.182889,18.288912
M70-30,1,0.100000,5,5,0.003892,1.024364,2.436394
M70-30,1,0.100000,6,1,0.003894,1.024796,2.479559
M70-30,1,0.100000,6,2,0.003677,0.967722,-3.227758
M70-30,1,0.100000,6,3,0.003699,0.973655,-2.634496
M70-30,1,0.100000,6,4,0.003971,1.045262,4.526234
M70-30,1,0.100000,6,5,0.004165,1.096127,9.612653
M70-30,1,0.100000,7,2,0.004004,1.053743,5.374278
M70-30,1,0.100000,7,3,0.004010,1.055411,5.541149
M70-30,1,0.100000,7,5,0.004144,1.090841,9.084139
M70-30,1,0.100000,7,6,0.004047,1.065158,6.515794
M70-30,1,0.100000,7,7,0.003773,0.992943,-0.705737
M70-30,1,0.100000,8,1,0.004101,1.079405,7.940517
M70-30,1,0.100000,8,2,0.003895,1.025111,2.511144
M70-30,1,0.100000,8,3,0.003907,1.028249,2.824883
M70-30,1,0.100000,8,4,0.004116,1.083464,8.346378
M70-30,1,0.100000,8,5,0.003905,1.027854,2.785402
M70-30,1,0.100000,8,6,0.003760,0.989705,-1.029478
M70-30,1,0.100000,8,7,0.003787,0.996814,-0.318563
M70-30,1,0.100000,8,8,0.002994,0.787908,-21.209229
M70-30,1,0.100000,9,1,0.003082,0.811127,-18.887348
M70-30,1,0.100000,9,2,0.003077,0.809771,-19.022898
M70-30,1,0.100000,9,3,0.003087,0.812553,-18.744691
M70-30,1,0.100000,9,4,0.003114,0.819631,-18.036935
M70-30,1,0.100000,9,5,0.003061,0.805541,-19.445893
M70-30,1,0.100000,9,6,0.003042,0.800773,-19.922661
M70-30,1,0.100000,9,7,0.003088,0.812750,-18.724951
M70-30,1,0.100000,9,8,0.003169,0.834207,-16.579311
M70-30,1,0.100000,9,9,0.003261,0.858219,-14.178100
M70-30,2,0.400000,2,1,0.004265,1.123343,12.334304
M70-30,2,0.400000,2,2,0.004031,1.061492,6.149210
M70-30,2,0.400000,3,1,0.004276,1.126208,12.620843
M70-30,2,0.400000,3,2,0.004049,1.066393,6.639330
M70-30,2,0.400000,3,3,0.004039,1.063625,6.362535
M70-30,2,0.400000,4,2,0.004312,1.135624,13.562368
M70-30,2,0.400000,4,3,0.004329,1.140103,14.010349
M70-30,2,0.400000,5,1,0.004382,1.154136,15.413550
M70-30,2,0.400000,5,2,0.004122,1.085498,8.549769
M70-30,2,0.400000,5,3,0.004138,1.089835,8.983529
M70-30,2,0.400000,5,4,0.004495,1.183911,18.391139
M70-30,2,0.400000,5,5,0.003886,1.023397,2.339656
M70-30,2,0.400000,6,1,0.003909,1.029533,2.953293
M70-30,2,0.400000,6,2,0.003669,0.966205,-3.379547
M70-30,2,0.400000,6,3,0.003673,0.967300,-3.269987
M70-30,2,0.400000,6,4,0.003997,1.052775,5.277477
M70-30,2,0.400000,6,5,0.004147,1.092119,9.211865
M70-30,2,0.400000,7,2,0.003983,1.048972,4.897180
M70-30,2,0.400000,7,3,0.003993,1.051542,5.154223
M70-30,2,0.400000,7,5,0.004169,1.098013,9.801273
M70-30,2,0.400000,7,6,0.004034,1.062385,6.238491
M70-30,2,0.400000,7,7,0.003788,0.997489,-0.251051
M70-30,2,0.400000,8,1,0.004089,1.076807,7.680669
M70-30,2,0.400000,8,2,0.003883,1.022549,2.254853
M70-30,2,0.400000,8,3,0.003907,1.029069,2.906941
M70-30,2,0.400000,8,4,0.004114,1.083546,8.354617
M70-30,2,0.400000,8,5,0.003885,1.023239,2.323855
M70-30,2,0.400000,8,6,0.003765,0.991453,-0.854680
M70-30,2,0.400000,8,7,0.003784,0.996678,-0.332167
M70-30,2,0.400000,8,8,0.003000,0.790046,-20.995409
M70-30,2,0.400000,9,1,0.003100,0.816306,-18.369411
M70-30,2,0.400000,9,2,0.003084,0.812205,-18.779468
M70-30,2,0.400000,9,3,0.003082,0.811665,-18.833457
M70-30,2,0.400000,9,4,0.003106,0.818102,-18.189797
M70-30,2,0.400000,9,5,0.003071,0.808861,-19.113939
M70-30,2,0.400000,9,6,0.003038,0.799998,-20.000237
M70-30,2,0.400000,9,7,0.003090,0.813812,-18.618816
M70-30,2,0.400000,9,8,0.003153,0.830314,-16.968580
M70-30,2,0.400000,9,9,0.003248,0.855452,-14.454775
M70-30,3,0.700000,2,1,0.004276,1.127492,12.749234
M70-30,3,0.700000,2,2,0.004044,1.066271,6.627130
M70-30,3,0.700000,3,1,0.004274,1.127036,12.703617
M70-30,3,0.700000,3,2,0.004050,1.067988,6.798785
M70-30,3,0.700000,3,3,0.004042,1.065836,6.583622
M70-30,3,0.700000,4,2,0.004330,1.141615,14.161500
M70-30,3,0.700000,4,3,0.004310,1.136421,13.642051
M70-30,3,0.700000,5,1,0.004381,1.155110,15.511010
M70-30,3,0.700000,5,2,0.004111,1.084004,8.400372
M70-30,3,0.700000,5,3,0.004135,1.090414,9.041376
M70-30,3,0.700000,5,4,0.004477,1.180460,18.046022
M70-30,3,0.700000,5,5,0.003883,1.023924,2.392441
M70-30,3,0.700000,6,1,0.003878,1.022619,2.261920
M70-30,3,0.700000,6,2,0.003654,0.963410,-3.658997
M70-30,3,0.700000,6,3,0.003693,0.973804,-2.619573
M70-30,3,0.700000,6,4,0.003985,1.050743,5.074323
M70-30,3,0.700000,6,5,0.004167,1.098722,9.872230
M70-30,3,0.700000,7,2,0.003961,1.044309,4.430945
M70-30,3,0.700000,7,3,0.003989,1.051885,5.188496
M70-30,3,0.700000,7,5,0.004131,1.089264,8.926412
M70-30,3,0.700000,7,6,0.004031,1.062988,6.298849
M70-30,3,0.700000,7,7,0.003779,0.996391,-0.360897
M70-30,3,0.700000,8,1,0.004087,1.077704,7.770443
M70-30,3,0.700000,8,2,0.003887,1.024937,2.493694
M70-30,3,0.700000,8,3,0.003886,1.024586,2.458625
M70-30,3,0.700000,8,4,0.004114,1.084700,8.469984
M70-30,3,0.700000,8,5,0.003902,1.028937,2.893696
M70-30,3,0.700000,8,6,0.003776,0.995645,-0.435518
M70-30,3,0.700000,8,7,0.003763,0.992220,-0.778038
M70-30,3,0.700000,8,8,0.002985,0.786962,-21.303804
M70-30,3,0.700000,9,1,0.003084,0.813259,-18.674052
M70-30,3,0.700000,9,2,0.003090,0.814653,-18.534723
M70-30,3,0.700000,9,3,0.003078,0.811673,-18.832681
M70-30,3,0.700000,9,4,0.003096,0.816298,-18.370188
M70-30,3,0.700000,9,5,0.003065,0.808143,-19.185747
M70-30,3,0.700000,9,6,0.003043,0.802340,-19.766026
M70-30,3,0.700000,9,7,0.003067,0.808673,-19.132748
M70-30,3,0.700000,9,8,0.003147,0.829706,-17.029379
M70-30,3,0.700000,9,9,0.003257,0.858856,-14.114405
M70-30,4,1.000000,2,1,0.004272,1.125409,12.540913
M70-30,4,1.000000,2,2,0.004045,1.065423,6.542341
M70-30,4,1.000000,3,1,0.004294,1.131178,13.117800
M70-30,4,1.000000,3,2,0.004055,1.068192,6.819194
M70-30,4,1.000000,3,3,0.004049,1.066698,6.669836
M70-30,4,1.000000,4,2,0.004322,1.138604,13.860377
M70-30,4,1.000000,4,3,0.004332,1.141220,14.121952
M70-30,4,1.000000,5,1,0.004361,1.148801,14.880071
M70-30,4,1.000000,5,2,0.004131,1.088091,8.809060
M70-30,4,1.000000,5,3,0.004158,1.095319,9.531881
M70-30,4,1.000000,5,4,0.004505,1.186775,18.677516
M70-30,4,1.000000,5,5,0.003886,1.023579,2.357935
M70-30,4,1.000000,6,1,0.003881,1.022439,2.243874
M70-30,4,1.000000,6,2,0.003677,0.968554,-3.144619
M70-30,4,1.000000,6,3,0.003697,0.973901,-2.609879
M70-30,4,1.000000,6,4,0.003984,1.049529,4.952873
M70-30,4,1.000000,6,5,0.004159,1.095559,9.555852
M70-30,4,1.000000,7,2,0.003961,1.043386,4.338580
M70-30,4,1.000000,7,3,0.003978,1.047814,4.781387
M70-30,4,1.000000,7,5,0.004156,1.094650,9.464972
M70-30,4,1.000000,7,6,0.004023,1.059657,5.965718
M70-30,4,1.000000,7,7,0.003772,0.993552,-0.644775
M70-30,4,1.000000,8,1,0.004077,1.073874,7.387389
M70-30,4,1.000000,8,2,0.003876,1.021108,2.110848
M70-30,4,1.000000,8,3,0.003894,1.025782,2.578153
M70-30,4,1.000000,8,4,0.004096,1.079003,7.900265
M70-30,4,1.000000,8,5,0.003899,1.026991,2.699062
M70-30,4,1.000000,8,6,0.003773,0.993966,-0.603419
