case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
M43-5,2,0.400000,5,3,0.004110,1.084919,8.491856
M43-5,2,0.400000,5,4,0.004449,1.174568,17.456840
M43-5,2,0.400000,5,5,0.003947,1.041816,4.181610
M43-5,2,0.400000,6,1,0.003940,1.040026,4.002632
M43-5,2,0.400000,6,2,0.003727,0.983799,-1.620116
M43-5,2,0.400000,6,3,0.003752,0.990369,-0.963073
M43-5,2,0.400000,6,4,0.004061,1.071891,7.189120
M43-5,2,0.400000,6,5,0.004212,1.111929,11.192887
M43-5,2,0.400000,7,2,0.004048,1.068679,6.867858
M43-5,2,0.400000,7,3,0.004077,1.076139,7.613862
M43-5,2,0.400000,7,5,0.004216,1.112903,11.290295
M43-5,2,0.400000,7,6,0.004092,1.080236,8.023557
M43-5,2,0.400000,7,7,0.003824,1.009429,0.942854
M43-5,2,0.400000,8,1,0.004150,1.095573,9.557274
M43-5,2,0.400000,8,2,0.003935,1.038794,3.879354
M43-5,2,0.400000,8,3,0.003956,1.044232,4.423150
M43-5,2,0.400000,8,4,0.004182,1.103885,10.388543
M43-5,2,0.400000,8,5,0.003939,1.039794,3.979402
M43-5,2,0.400000,8,6,0.003827,1.010215,1.021519
M43-5,2,0.400000,8,7,0.003815,1.007142,0.714248
M43-5,2,0.400000,8,8,0.002949,0.778557,-22.144310
M43-5,2,0.400000,9,1,0.003026,0.798679,-20.132131
M43-5,2,0.400000,9,2,0.003014,0.795623,-20.437740
M43-5,2,0.400000,9,3,0.003024,0.798168,-20.183211
M43-5,2,0.400000,9,4,0.003034,0.800845,-19.915458
M43-5,2,0.400000,9,5,0.003009,0.794408,-20.559170
M43-5,2,0.400000,9,6,0.002985,0.787853,-21.214656
M43-5,2,0.400000,9,7,0.003001,0.792241,-20.775949
M43-5,2,0.400000,9,8,0.003067,0.809554,-19.044644
M43-5,2,0.400000,9,9,0.003173,0.837693,-16.230710
M43-5,3,0.700000,2,1,0.004187,1.104767,10.476708
M43-5,3,0.700000,2,2,0.003967,1.046756,4.675588
M43-5,3,0.700000,3,1,0.004219,1.113184,11.318407
M43-5,3,0.700000,3,2,0.003968,1.047104,4.710416
M43-5,3,0.700000,3,3,0.003982,1.050590,5.058969
M43-5,3,0.700000,4,2,0.004230,1.116023,11.602315
M43-5,3,0.700000,4,3,0.004243,1.119511,11.951131
M43-5,3,0.700000,5,1,0.004323,1.140530,14.053002
M43-5,3,0.700000,5,2,0.004078,1.075957,7.595673
M43-5,3,0.700000,5,3,0.004074,1.074959,7.495936
M43-5,3,0.700000,5,4,0.004443,1.172317,17.231666
M43-5,3,0.700000,5,5,0.003958,1.044381,4.438118
M43-5,3,0.700000,6,1,0.003951,1.042532,4.253155
M43-5,3,0.700000,6,2,0.003728,0.983658,-1.634246
M43-5,3,0.700000,6,3,0.003755,0.990811,-0.918935
M43-5,3,0.700000,6,4,0.004069,1.073527,7.352663
M43-5,3,0.700000,6,5,0.004217,1.112606,11.260622
M43-5,3,0.700000,7,2,0.004054,1.069703,6.970336
M43-5,3,0.700000,7,3,0.004073,1.074790,7.479049
M43-5,3,0.700000,7,5,0.004225,1.114738,11.473817
M43-5,3,0.700000,7,6,0.004083,1.077408,7.740794
M43-5,3,0.700000,7,7,0.003820,1.007953,0.795333
M43-5,3,0.700000,8,1,0.004156,1.096635,9.663507
M43-5,3,0.700000,8,2,0.003959,1.044553,4.455268
M43-5,3,0.700000,8,3,0.003934,1.037890,3.789034
M43-5,3,0.700000,8,4,0.004179,1.102672,10.267207
M43-5,3,0.700000,8,5,0.003963,1.045772,4.577170
M43-5,3,0.700000,8,6,0.003829,1.010254,1.025414
M43-5,3,0.700000,8,7,0.003837,1.012418,1.241776
M43-5,3,0.700000,8,8,0.002950,0.778407,-22.159333
M43-5,3,0.700000,9,1,0.003028,0.799023,-20.097674
M43-5,3,0.700000,9,2,0.003036,0.801092,-19.890785
M43-5,3,0.700000,9,3,0.003021,0.797073,-20.292663
M43-5,3,0.700000,9,4,0.003021,0.797194,-20.280578
M43-5,3,0.700000,9,5,0.003018,0.796373,-20.362690
M43-5,3,0.700000,9,6,0.002991,0.789303,-21.069690
M43-5,3,0.700000,9,7,0.003010,0.794097,-20.590344
M43-5,3,0.700000,9,8,0.003065,0.808717,-19.128269
M43-5,3,0.700000,9,9,0.003164,0.834721,-16.527871
M43-5,4,1.000000,2,1,0.004184,1.104420,10.442020
M43-5,4,1.000000,2,2,0.003968,1.047225,4.722480
M43-5,4,1.000000,3,1,0.004221,1.114175,11.417535
M43-5,4,1.000000,3,2,0.003961,1.045557,4.555671
M43-5,4,1.000000,3,3,0.003982,1.051036,5.103606
M43-5,4,1.000000,4,2,0.004247,1.120858,12.085826
M43-5,4,1.000000,4,3,0.004270,1.127026,12.702650
M43-5,4,1.000000,5,1,0.004311,1.137903,13.790339
M43-5,4,1.000000,5,2,0.004080,1.076815,7.681490
M43-5,4,1.000000,5,3,0.004110,1.084680,8.468026
M43-5,4,1.000000,5,4,0.004427,1.168515,16.851494
M43-5,4,1.000000,5,5,0.003947,1.041764,4.176392
M43-5,4,1.000000,6,1,0.003917,1.033943,3.394343
M43-5,4,1.000000,6,2,0.003731,0.984859,-1.514115
M43-5,4,1.000000,6,3,0.003767,0.994340,-0.566049
M43-5,4,1.000000,6,4,0.004073,1.075091,7.509139
M43-5,4,1.000000,6,5,0.004218,1.113357,11.335714
M43-5,4,1.000000,7,2,0.004035,1.065033,6.503270
M43-5,4,1.000000,7,3,0.004068,1.073764,7.376378
M43-5,4,1.000000,7,5,0.004192,1.106384,10.638390
M43-5,4,1.000000,7,6,0.004097,1.081392,8.139159
M43-5,4,1.000000,7,7,0.003845,1.014752,1.475249
M43-5,4,1.000000,8,1,0.004157,1.097254,9.725428
M43-5,4,1.000000,8,2,0.003945,1.041350,4.134953
M43-5,4,1.000000,8,3,0.003960,1.045282,4.528221
M43-5,4,1.000000,8,4,0.004166,1.099463,9.946344
M43-5,4,1.000000,8,5,0.003938,1.039338,3.933832
M43-5,4,1.000000,8,6,0.003801,1.003300,0.330021
M43-5,4,1.000000,8,7,0.003813,1.006499,0.649914
M43-5,4,1.000000,8,8,0.002933,0.774019,-22.598102
M43-5,4,1.000000,9,1,0.003041,0.802681,-19.731945
M43-5,4,1.000000,9,2,0.003024,0.798119,-20.188109
M43-5,4,1.000000,9,3,0.003017,0.796207,-20.379280
M43-5,4,1.000000,9,4,0.003033,0.800632,-19.936814
M43-5,4,1.000000,9,5,0.003028,0.799274,-20.072584
M43-5,4,1.000000,9,6,0.003006,0.793392,-20.660796
M43-5,4,1.000000,9,7,0.002998,0.791237,-20.876328
M43-5,4,1.000000,9,8,0.003082,0.813347,-18.665345
M43-5,4,1.000000,9,9,0.003166,0.835716,-16.428416
M43-5,5,1.300000,2,1,0.004167,1.099587,9.958728
M43-5,5,1.300000,2,2,0.003961,1.045320,4.532013
M43-5,5,1.300000,3,1,0.004192,1.106211,10.621070
M43-5,5,1.300000,3,2,0.003951,1.042708,4.270771
M43-5,5,1.300000,3,3,0.003978,1.049672,4.967153
M43-5,5,1.300000,4,2,0.004230,1.116141,11.614054
M43-5,5,1.300000,4,3,0.004261,1.124376,12.437627
M43-5,5,1.300000,5,1,0.004314,1.138512,13.851238
M43-5,5,1.300000,5,2,0.004085,1.077846,7.784612
M43-5,5,1.300000,5,3,0.004115,1.085971,8.597102
M43-5,5,1.300000,5,4,0.004453,1.175131,17.513116
M43-5,5,1.300000,5,5,0.003948,1.041676,4.167593
M43-5,5,1.300000,6,1,0.003942,1.040145,4.014542
M43-5,5,1.300000,6,2,0.003750,0.989617,-1.038253
M43-5,5,1.300000,6,3,0.003762,0.992744,-0.725554
M43-5,5,1.300000,6,4,0.004076,1.075680,7.567965
M43-5,5,1.300000,6,5,0.004229,1.115887,11.588722
M43-5,5,1.300000,7,2,0.004037,1.065354,6.535398
