base_design,denat_percent,u_segment_enrichment,data_status
Th3_U1,11%,10%,pending
Th3_U1,11%,12.5%,pending
Th3_U1,11%,15%,pending
Th3_U1,20%,10%,pending
Th3_U1,20%,12.5%,pending
Th3_U1,20%,15%,pending
Th3_U1,40%,10%,pending
Th3_U1,40%,12.5%,pending
Th3_U1,40%,15%,pending
