case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
C003,uniform,0.85,0.15,0.0,0.0,0.0,0.0,0,0.0,0.0,6.179350000000001e-19,0.0189239,0.0,0.00333952,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C003,uniform,0.85,0.15,0.0,0.0,0.1,2.631578947368421,1,1.87066e-08,6.91204e-10,6.27821e-19,0.0189233,5.51846e-07,0.00333617,1.13422e-06,5.01603e-09,5.55869e-13,5.84633e-13,1.34703e-16,7.98071e-09,2.93491e-08
C003,uniform,0.85,0.15,0.0,0.0,0.400001,10.526342105263158,2,2.84497e-07,2.76162e-09,2.8781200000000004e-18,0.0189215,2.02275e-06,0.00332611,4.48457e-06,7.46093e-08,3.34823e-11,3.50476e-11,4.41936e-14,7.22012e-08,2.97777e-08
C003,uniform,0.85,0.15,0.0,0.0,0.700001,18.42107894736842,3,8.19721e-07,4.83498e-09,1.95071e-17,0.0189196,3.23188e-06,0.00331605,7.76793e-06,2.1159e-07,1.70905e-10,1.78212e-10,4.21595e-13,1.42458e-07,2.97787e-08
C003,uniform,0.85,0.15,0.0,0.0,1.0,26.31578947368421,4,1.57519e-06,6.92031e-09,7.13137e-17,0.0189178,4.22522e-06,0.003306,1.09955e-05,4.03827e-07,4.74852e-10,4.93444e-10,1.72994e-12,2.07545e-07,2.97772e-08
C003,uniform,0.85,0.15,0.0,0.0,1.3,34.21052631578947,5,2.51055e-06,9.02543e-09,1.8375e-16,0.0189159,5.04256e-06,0.00329595,1.4175e-05,6.42531e-07,9.97128e-10,1.03292e-09,4.82007e-12,2.67035e-07,2.97728e-08
C003,uniform,0.85,0.15,0.0,0.0,1.6,42.10526315789474,6,3.59278e-06,1.11572e-08,3.85089e-16,0.018914,5.71541e-06,0.00328591,1.73122e-05,9.21295e-07,1.78204e-09,1.84062e-09,1.07752e-11,3.21353e-07,2.97681e-08
C003,uniform,0.85,0.15,0.0,0.0,2.0,52.631578947368425,7,5.21815e-06,1.40513e-08,8.4395e-16,0.0189115,6.43145e-06,0.00327252,2.14359e-05,1.3474e-06,3.30123e-09,3.39825e-09,2.53858e-11,3.86533e-07,2.97493e-08
C003,uniform,0.85,0.15,0.0,0.0,2.50001,65.78973684210527,8,7.47346e-06,1.77696e-08,1.82906e-15,0.0189083,7.1041e-06,0.00325581,2.65076e-05,1.95489e-06,6.07201e-09,6.2244e-09,5.92517e-11,4.57694e-07,2.97268e-08
C003,uniform,0.85,0.15,0.0,0.0,3.00001,78.94763157894737,9,9.90901e-06,2.16198e-08,3.41543e-15,0.0189052,7.59539e-06,0.00323913,3.14971e-05,2.63284e-06,9.93412e-09,1.01464e-08,1.17828e-10,5.18924e-07,2.97132e-08
C003,uniform,0.85,0.15,0.0,0.0,4.00001,105.26342105263156,10,1.51247e-05,2.97796e-08,9.03774e-15,0.0188987,8.22187e-06,0.00320582,4.12535e-05,4.17201e-06,2.13485e-08,2.16537e-08,3.44161e-10,6.17012e-07,2.96354e-08
C003,uniform,0.85,0.15,0.0,0.0,5.00001,131.5792105263158,11,2.05931e-05,3.86522e-08,1.90642e-14,0.0188923,8.57493e-06,0.00317263,5.076e-05,5.9007e-06,3.83379e-08,3.86424e-08,7.82389e-10,6.89701e-07,2.96001e-08
C003,uniform,0.85,0.15,0.0,0.0,6.00001,157.89499999999998,12,2.61758e-05,4.83254e-08,3.4909e-14,0.0188858,8.78441e-06,0.00313955,6.00456e-05,7.78339e-06,6.14902e-08,6.16093e-08,1.51991e-09,7.43531e-07,2.95608e-08
C003,uniform,0.85,0.15,0.0,0.0,7.00001,184.2107894736842,13,3.18006e-05,5.88932e-08,5.80576e-14,0.0188792,8.91986e-06,0.00310658,6.91322e-05,9.79453e-06,9.12684e-08,9.09388e-08,2.65289e-09,7.83339e-07,2.95193e-08
C003,uniform,0.85,0.15,0.0,0.0,8.00002,210.52684210526317,14,3.74297e-05,7.04309e-08,9.00406e-14,0.0188726,9.01484e-06,0.00307374,7.80311e-05,1.19178e-05,1.28078e-07,1.26936e-07,4.28234e-09,8.12658e-07,2.94762e-08
C003,uniform,0.85,0.15,0.0,0.0,10.0,263.15789473684214,15,4.86348e-05,9.66638e-08,1.86907e-13,0.0188593,9.14379e-06,0.00300844,9.52913e-05,1.64622e-05,2.23958e-07,2.19716e-07,9.46553e-09,8.49511e-07,2.93051e-08
C003,uniform,0.85,0.15,0.0,0.0,12.0,315.7894736842105,16,5.97038e-05,1.27554e-07,3.38653e-13,0.0188458,9.24662e-06,0.00294365,0.000111924,2.12953e-05,3.51644e-07,3.41626e-07,1.7931e-08,8.68031e-07,2.92098e-08
C003,uniform,0.85,0.15,0.0,0.0,14.0,368.42105263157896,17,7.06154e-05,1.63593e-07,5.58988e-13,0.0188323,9.33838e-06,0.00287939,0.000127971,2.63601e-05,5.12771e-07,4.93434e-07,3.06158e-08,8.76124e-07,2.91104e-08
C003,uniform,0.85,0.15,0.0,0.0,16.0,421.0526315789474,18,8.13635e-05,2.05191e-07,8.62163e-13,0.0188186,9.42667e-06,0.00281566,0.000143463,3.16077e-05,7.086e-07,6.75511e-07,4.84286e-08,8.78032e-07,2.90087e-08
C003,uniform,0.85,0.15,0.0,0.0,18.0,473.6842105263158,19,9.19428e-05,2.52774e-07,1.2628e-12,0.0188048,9.50841e-06,0.00275248,0.000158427,3.70008e-05,9.39998e-07,8.87926e-07,7.2346e-08,8.76204e-07,2.89037e-08
C003,uniform,0.85,0.15,0.0,0.0,20.0,526.3157894736843,20,0.000102349,3.06751e-07,1.77653e-12,0.0187908,9.58747e-06,0.00268985,0.000172885,4.25068e-05,1.20785e-06,1.13047e-06,1.03253e-07,8.71938e-07,2.87944e-08
C003,uniform,0.85,0.15,0.0,0.0,24.0001,631.5815789473685,21,0.000122661,4.35304e-07,3.20622e-12,0.0187627,9.7158e-06,0.00256626,0.00020031,5.3796e-05,1.85372e-06,1.70361e-06,1.8989e-07,8.59725e-07,2.84271e-08
C003,uniform,0.85,0.15,0.0,0.0,28.0001,736.8447368421052,22,0.000142261,5.93491e-07,5.28208e-12,0.0187341,9.86345e-06,0.00244494,0.000225895,6.52412e-05,2.65093e-06,2.39102e-06,3.15033e-07,8.44032e-07,2.81946e-08
C003,uniform,0.85,0.15,0.0,0.0,34.0001,894.7394736842107,23,0.000170411,8.90751e-07,9.91789e-12,0.0186904,1.00513e-05,0.00226728,0.000260934,8.24856e-05,4.13071e-06,3.61878e-06,5.88969e-07,8.17827e-07,2.76875e-08
C003,uniform,0.85,0.15,0.0,0.0,42.0001,1105.2657894736844,24,0.00020559,1.4101e-06,1.97453e-11,0.0186307,1.03027e-05,0.00203862,0.000301761,0.000105032,6.63809e-06,5.57631e-06,1.14326e-06,7.78865e-07,2.70228e-08
C003,uniform,0.85,0.15,0.0,0.0,50.0001,1315.792105263158,25,0.000238099,2.07782e-06,3.50448e-11,0.0185694,1.05903e-05,0.00181965,0.00033621,0.000126401,9.75797e-06,7.82354e-06,1.94527e-06,7.36401e-07,2.64484e-08
