case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
A009,uniform,0.6,0.0,0.05,0.0,0.0,0.0,0,0.0,0.000443108,0.00841906,0.0132932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A009,uniform,0.6,0.0,0.05,0.0,0.1,2.631578947368421,1,4.66482e-08,0.000440438,0.00841818,0.0132918,1.37833e-06,2.41701e-07,9.94371e-10,5.65467e-12,5.86978e-15,4.56027e-16,1.7264500000000002e-18,5.82378e-09,4.87865e-09
A009,uniform,0.6,0.0,0.05,0.0,0.400002,10.526368421052632,2,7.06042e-07,0.00043249,0.0084155,0.0132873,5.0562e-06,2.20329e-06,2.63134e-08,6.0415e-10,2.50983e-12,1.92956e-13,4.26024e-15,2.67298e-08,4.88595e-09
A009,uniform,0.6,0.0,0.05,0.0,0.700003,18.42113157894737,3,2.02109e-06,0.000424656,0.00841281,0.0132829,8.06194e-06,4.46715e-06,9.16803e-08,3.76699e-09,2.79632e-11,2.13373e-12,8.99759e-14,3.16627e-08,4.88949e-09
A009,uniform,0.6,0.0,0.05,0.0,1.0,26.31578947368421,4,3.85593e-06,0.000416955,0.0084101,0.0132784,1.05118e-05,6.6623e-06,1.94866e-07,1.16048e-08,1.25485e-10,9.52498e-12,6.01049e-13,3.25572e-08,4.89553e-09
A009,uniform,0.6,0.0,0.05,0.0,1.30001,34.210789473684216,5,6.09919e-06,0.000409393,0.00840739,0.0132739,1.25068e-05,8.75452e-06,3.31695e-07,2.5893e-08,3.69984e-10,2.7957e-11,2.37391e-12,3.29154e-08,4.90381e-09
A009,uniform,0.6,0.0,0.05,0.0,1.60001,42.10552631578948,6,8.66015e-06,0.000401971,0.00840466,0.0132694,1.41299e-05,1.07443e-05,4.98181e-07,4.80293e-08,8.5672e-10,6.44695e-11,6.91549e-12,3.32738e-08,4.91512e-09
A009,uniform,0.6,0.0,0.05,0.0,2.00001,52.63184210526316,7,1.24437e-05,0.000392298,0.00840102,0.0132634,1.58319e-05,1.32478e-05,7.59967e-07,9.15919e-08,2.07479e-09,1.5535e-10,2.14176e-11,3.37994e-08,4.93237e-09
A009,uniform,0.6,0.0,0.05,0.0,2.50001,65.78973684210527,8,1.75791e-05,0.000380562,0.00839646,0.0132559,1.739e-05,1.61516e-05,1.14037e-06,1.70887e-07,4.922e-09,3.66434e-10,6.49121e-11,3.44939e-08,4.95547e-09
A009,uniform,0.6,0.0,0.05,0.0,3.00001,78.94763157894737,9,2.29858e-05,0.000369215,0.00839188,0.0132484,1.84876e-05,1.88235e-05,1.56807e-06,2.79181e-07,9.79889e-09,7.25638e-10,1.58154e-10,3.52175e-08,4.98077e-09
A009,uniform,0.6,0.0,0.05,0.0,4.00002,105.26368421052632,10,3.41052e-05,0.000347647,0.00838271,0.0132334,1.97958e-05,2.35564e-05,2.52429e-06,5.83687e-07,2.80113e-08,2.05246e-09,6.21696e-10,3.66071e-08,5.03066e-09
A009,uniform,0.6,0.0,0.05,0.0,5.00002,131.57947368421054,11,4.51397e-05,0.000327492,0.0083735,0.0132185,2.04273e-05,2.75936e-05,3.56451e-06,9.96276e-07,6.11587e-08,4.43583e-09,1.74311e-09,3.79267e-08,5.07727e-09
A009,uniform,0.6,0.0,0.05,0.0,6.00003,157.89552631578948,12,5.5784e-05,0.000308645,0.00836425,0.0132035,2.07206e-05,3.10548e-05,4.64604e-06,1.50145e-06,1.12922e-07,8.10359e-09,3.95001e-09,3.91668e-08,5.12019e-09
