case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
mox1,0,0.000000,2,1,0.004132,1.089966,8.996599
mox1,0,0.000000,2,2,0.003913,1.032090,3.208989
mox1,0,0.000000,3,1,0.004156,1.096164,9.616427
mox1,0,0.000000,3,2,0.003938,1.038618,3.861787
mox1,0,0.000000,3,3,0.003955,1.043199,4.319932
mox1,0,0.000000,4,2,0.004207,1.109508,10.950771
mox1,0,0.000000,4,3,0.004237,1.117515,11.751536
mox1,0,0.000000,5,1,0.004297,1.133254,13.325371
mox1,0,0.000000,5,2,0.004089,1.078553,7.855324
mox1,0,0.000000,5,3,0.004087,1.078039,7.803892
mox1,0,0.000000,5,4,0.004457,1.175631,17.563148
mox1,0,0.000000,5,5,0.003952,1.042316,4.231573
mox1,0,0.000000,6,1,0.003932,1.037191,3.719094
mox1,0,0.000000,6,2,0.003712,0.979019,-2.098056
mox1,0,0.000000,6,3,0.003728,0.983390,-1.661012
mox1,0,0.000000,6,4,0.004034,1.064073,6.407301
mox1,0,0.000000,6,5,0.004224,1.114210,11.421049
mox1,0,0.000000,7,2,0.004035,1.064131,6.413104
mox1,0,0.000000,7,3,0.004052,1.068778,6.877843
mox1,0,0.000000,7,5,0.004231,1.115912,11.591172
mox1,0,0.000000,7,6,0.004097,1.080513,8.051296
mox1,0,0.000000,7,7,0.003851,1.015750,1.575017
mox1,0,0.000000,8,1,0.004172,1.100432,10.043185
mox1,0,0.000000,8,2,0.003940,1.039093,3.909263
mox1,0,0.000000,8,3,0.003959,1.044236,4.423588
mox1,0,0.000000,8,4,0.004180,1.102576,10.257619
mox1,0,0.000000,8,5,0.003997,1.054148,5.414785
mox1,0,0.000000,8,6,0.003839,1.012691,1.269060
mox1,0,0.000000,8,7,0.003847,1.014737,1.473735
mox1,0,0.000000,8,8,0.002975,0.784714,-21.528578
mox1,0,0.000000,9,1,0.003050,0.804569,-19.543125
mox1,0,0.000000,9,2,0.003034,0.800160,-19.983967
mox1,0,0.000000,9,3,0.003048,0.804036,-19.596377
mox1,0,0.000000,9,4,0.003055,0.805779,-19.422087
mox1,0,0.000000,9,5,0.003045,0.803088,-19.691224
mox1,0,0.000000,9,6,0.003042,0.802398,-19.760223
mox1,0,0.000000,9,7,0.003046,0.803344,-19.665613
mox1,0,0.000000,9,8,0.003108,0.819698,-18.030191
mox1,0,0.000000,9,9,0.003209,0.846480,-15.352007
mox1,1,0.100000,2,1,0.004158,1.096417,9.641672
mox1,1,0.100000,2,2,0.003911,1.031283,3.128258
mox1,1,0.100000,3,1,0.004171,1.099718,9.971799
mox1,1,0.100000,3,2,0.003941,1.039061,3.906113
mox1,1,0.100000,3,3,0.003944,1.040055,4.005520
mox1,1,0.100000,4,2,0.004224,1.113743,11.374311
mox1,1,0.100000,4,3,0.004235,1.116791,11.679124
mox1,1,0.100000,5,1,0.004312,1.137034,13.703393
mox1,1,0.100000,5,2,0.004059,1.070397,7.039682
mox1,1,0.100000,5,3,0.004097,1.080198,8.019779
mox1,1,0.100000,5,4,0.004428,1.167560,16.756011
mox1,1,0.100000,5,5,0.003950,1.041469,4.146853
mox1,1,0.100000,6,1,0.003944,1.039944,3.994446
mox1,1,0.100000,6,2,0.003720,0.980944,-1.905649
mox1,1,0.100000,6,3,0.003752,0.989305,-1.069521
mox1,1,0.100000,6,4,0.004056,1.069558,6.955832
mox1,1,0.100000,6,5,0.004210,1.110220,11.022035
mox1,1,0.100000,7,2,0.004046,1.066945,6.694525
mox1,1,0.100000,7,3,0.004057,1.069796,6.979563
mox1,1,0.100000,7,5,0.004221,1.112926,11.292570
mox1,1,0.100000,7,6,0.004109,1.083483,8.348324
mox1,1,0.100000,7,7,0.003854,1.016105,1.610519
mox1,1,0.100000,8,1,0.004149,1.094057,9.405679
mox1,1,0.100000,8,2,0.003944,1.039900,3.989963
mox1,1,0.100000,8,3,0.003945,1.040271,4.027142
mox1,1,0.100000,8,4,0.004181,1.102421,10.242070
mox1,1,0.100000,8,5,0.003959,1.043902,4.390229
mox1,1,0.100000,8,6,0.003829,1.009629,0.962921
mox1,1,0.100000,8,7,0.003870,1.020348,2.034779
mox1,1,0.100000,8,8,0.002962,0.781013,-21.898707
mox1,1,0.100000,9,1,0.003056,0.805762,-19.423784
mox1,1,0.100000,9,2,0.003053,0.804916,-19.508399
mox1,1,0.100000,9,3,0.003047,0.803302,-19.669850
mox1,1,0.100000,9,4,0.003065,0.808257,-19.174290
mox1,1,0.100000,9,5,0.003043,0.802395,-19.760476
mox1,1,0.100000,9,6,0.003021,0.796578,-20.342206
mox1,1,0.100000,9,7,0.003041,0.801743,-19.825737
mox1,1,0.100000,9,8,0.003123,0.823389,-17.661086
mox1,1,0.100000,9,9,0.003220,0.849166,-15.083407
mox1,2,0.400000,2,1,0.004174,1.101664,10.166387
mox1,2,0.400000,2,2,0.003934,1.038324,3.832379
mox1,2,0.400000,3,1,0.004190,1.105964,10.596361
mox1,2,0.400000,3,2,0.003944,1.041037,4.103720
mox1,2,0.400000,3,3,0.003945,1.041309,4.130907
mox1,2,0.400000,4,2,0.004192,1.106360,10.635954
mox1,2,0.400000,4,3,0.004234,1.117440,11.744016
mox1,2,0.400000,5,1,0.004268,1.126433,12.643293
mox1,2,0.400000,5,2,0.004064,1.072640,7.263993
mox1,2,0.400000,5,3,0.004088,1.078977,7.897737
mox1,2,0.400000,5,4,0.004437,1.171149,17.114870
mox1,2,0.400000,5,5,0.003937,1.039184,3.918427
mox1,2,0.400000,6,1,0.003914,1.033203,3.320316
mox1,2,0.400000,6,2,0.003726,0.983346,-1.665435
mox1,2,0.400000,6,3,0.003754,0.990823,-0.917665
mox1,2,0.400000,6,4,0.004061,1.072009,7.200909
mox1,2,0.400000,6,5,0.004219,1.113647,11.364720
mox1,2,0.400000,7,2,0.004045,1.067622,6.762224
mox1,2,0.400000,7,3,0.004072,1.074815,7.481488
mox1,2,0.400000,7,5,0.004223,1.114737,11.473731
mox1,2,0.400000,7,6,0.004059,1.071273,7.127267
mox1,2,0.400000,7,7,0.003837,1.012805,1.280511
mox1,2,0.400000,8,1,0.004153,1.096292,9.629249
mox1,2,0.400000,8,2,0.003935,1.038551,3.855079
mox1,2,0.400000,8,3,0.003948,1.042141,4.214051
mox1,2,0.400000,8,4,0.004188,1.105547,10.554657
mox1,2,0.400000,8,5,0.003965,1.046675,4.667517
mox1,2,0.400000,8,6,0.003832,1.011356,1.135602
mox1,2,0.400000,8,7,0.003836,1.012620,1.262034
mox1,2,0.400000,8,8,0.002970,0.783872,-21.612821
mox1,2,0.400000,9,1,0.003053,0.805728,-19.427157
mox1,2,0.400000,9,2,0.003051,0.805270,-19.473032
mox1,2,0.400000,9,3,0.003057,0.806798,-19.320231
mox1,2,0.400000,9,4,0.003046,0.804105,-19.589486
mox1,2,0.400000,9,5,0.003033,0.800613,-19.938666
mox1,2,0.400000,9,6,0.003024,0.798113,-20.188732
mox1,2,0.400000,9,7,0.003035,0.801059,-19.894137
mox1,2,0.400000,9,8,0.003099,0.817955,-18.204488
mox1,2,0.400000,9,9,0.003215,0.848545,-15.145545
mox1,3,0.700000,2,1,0.004159,1.098949,9.894897
mox1,3,0.700000,2,2,0.003933,1.039128,3.912774
mox1,3,0.700000,3,1,0.004172,1.102278,10.227795
mox1,3,0.700000,3,2,0.003941,1.041167,4.116740
mox1,3,0.700000,3,3,0.003966,1.047965,4.796538
mox1,3,0.700000,4,2,0.004193,1.107821,10.782096
mox1,3,0.700000,4,3,0.004247,1.122196,12.219634
mox1,3,0.700000,5,1,0.004280,1.130897,13.089660
mox1,3,0.700000,5,2,0.004057,1.071992,7.199216
mox1,3,0.700000,5,3,0.004091,1.080745,8.074526
mox1,3,0.700000,5,4,0.004418,1.167175,16.717456
mox1,3,0.700000,5,5,0.003919,1.035392,3.539188
mox1,3,0.700000,6,1,0.003932,1.038871,3.887146
mox1,3,0.700000,6,2,0.003719,0.982472,-1.752832
mox1,3,0.700000,6,3,0.003747,0.990099,-0.990073
mox1,3,0.700000,6,4,0.004045,1.068803,6.880321
mox1,3,0.700000,6,5,0.004205,1.110902,11.090159
mox1,3,0.700000,7,2,0.004034,1.065728,6.572787
mox1,3,0.700000,7,3,0.004053,1.070843,7.084287
mox1,3,0.700000,7,5,0.004218,1.114463,11.446307
mox1,3,0.700000,7,6,0.004094,1.081773,8.177302
mox1,3,0.700000,7,7,0.003841,1.014913,1.491337
mox1,3,0.700000,8,1,0.004145,1.095234,9.523425
mox1,3,0.700000,8,2,0.003953,1.044325,4.432464
mox1,3,0.700000,8,3,0.003952,1.044166,4.416612
mox1,3,0.700000,8,4,0.004176,1.103240,10.323965
mox1,3,0.700000,8,5,0.003951,1.043936,4.393626
mox1,3,0.700000,8,6,0.003811,1.006834,0.683399
mox1,3,0.700000,8,7,0.003835,1.013291,1.329116
mox1,3,0.700000,8,8,0.002956,0.780924,-21.907637
mox1,3,0.700000,9,1,0.003055,0.807273,-19.272697
mox1,3,0.700000,9,2,0.003037,0.802331,-19.766918
mox1,3,0.700000,9,3,0.003037,0.802493,-19.750749
mox1,3,0.700000,9,4,0.003042,0.803750,-19.625014
mox1,3,0.700000,9,5,0.003027,0.799658,-20.034214
mox1,3,0.700000,9,6,0.003021,0.798049,-20.195141
mox1,3,0.700000,9,7,0.003036,0.802181,-19.781872
mox1,3,0.700000,9,8,0.003104,0.820011,-17.998886
