case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
M70-5,0,0.000000,2,1,0.004192,1.104978,10.497765
M70-5,0,0.000000,2,2,0.003952,1.041694,4.169403
M70-5,0,0.000000,3,1,0.004179,1.101501,10.150085
M70-5,0,0.000000,3,2,0.003972,1.047053,4.705289
M70-5,0,0.000000,3,3,0.003981,1.049259,4.925917
M70-5,0,0.000000,4,2,0.004230,1.114928,11.492832
M70-5,0,0.000000,4,3,0.004260,1.122936,12.293630
M70-5,0,0.000000,5,1,0.004310,1.136053,13.605273
M70-5,0,0.000000,5,2,0.004063,1.071090,7.109002
M70-5,0,0.000000,5,3,0.004097,1.080013,8.001267
M70-5,0,0.000000,5,4,0.004464,1.176649,17.664883
M70-5,0,0.000000,5,5,0.003914,1.031838,3.183825
M70-5,0,0.000000,6,1,0.003916,1.032302,3.230218
M70-5,0,0.000000,6,2,0.003719,0.980182,-1.981824
M70-5,0,0.000000,6,3,0.003729,0.982868,-1.713222
M70-5,0,0.000000,6,4,0.004034,1.063272,6.327183
M70-5,0,0.000000,6,5,0.004208,1.109301,10.930059
M70-5,0,0.000000,7,2,0.004031,1.062629,6.262866
M70-5,0,0.000000,7,3,0.004073,1.073497,7.349663
M70-5,0,0.000000,7,5,0.004227,1.114317,11.431678
M70-5,0,0.000000,7,6,0.004069,1.072477,7.247652
M70-5,0,0.000000,7,7,0.003836,1.011030,1.103015
M70-5,0,0.000000,8,1,0.004152,1.094516,9.451561
M70-5,0,0.000000,8,2,0.003940,1.038526,3.852563
M70-5,0,0.000000,8,3,0.003954,1.042174,4.217377
M70-5,0,0.000000,8,4,0.004157,1.095828,9.582831
M70-5,0,0.000000,8,5,0.003945,1.039844,3.984360
M70-5,0,0.000000,8,6,0.003810,1.004274,0.427424
M70-5,0,0.000000,8,7,0.003849,1.014454,1.445424
M70-5,0,0.000000,8,8,0.002989,0.787966,-21.203353
M70-5,0,0.000000,9,1,0.003062,0.807244,-19.275586
