case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
C010,uniform,0.5,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0110296,0.0,0.0110296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C010,uniform,0.5,0.5,0.0,0.0,0.1,2.631578947368421,1,8.33852e-09,2.28392e-09,2.03015e-21,0.0110293,2.45954e-07,0.0110264,9.96714e-07,1.8961e-09,8.04835e-14,2.2093e-13,1.04285e-17,8.06933e-09,3.3609e-08
C010,uniform,0.5,0.5,0.0,0.0,0.400001,10.526342105263158,2,1.26604e-07,9.12775e-09,4.52905e-19,0.0110285,8.98778e-07,0.0110167,3.96642e-06,2.8646e-08,4.90095e-12,1.34311e-11,3.43013e-15,7.53259e-08,3.43503e-08
C010,uniform,0.5,0.5,0.0,0.0,0.700001,18.42107894736842,3,3.64554e-07,1.59606e-08,3.76403e-18,0.0110277,1.43309e-06,0.011007,6.90959e-06,8.26754e-08,2.52884e-11,6.9162e-11,3.28826e-14,1.53799e-07,3.4351e-08
C010,uniform,0.5,0.5,0.0,0.0,1.0,26.31578947368421,4,7.00252e-07,2.27837e-08,1.40509e-17,0.0110268,1.8708e-06,0.0109973,9.82992e-06,1.59978e-07,7.09608e-11,1.93753e-10,1.35707e-13,2.31974e-07,3.43521e-08
C010,uniform,0.5,0.5,0.0,0.0,1.3,34.21052631578947,5,1.11577e-06,2.95979e-08,3.63186e-17,0.011026,2.22937e-06,0.0109876,1.27298e-05,2.5761e-07,1.5032e-10,4.09858e-10,3.80544e-13,3.08913e-07,3.43527e-08
C010,uniform,0.5,0.5,0.0,0.0,1.6,42.10526315789474,6,1.59645e-06,3.64041e-08,7.61274e-17,0.0110252,2.52322e-06,0.0109779,1.56118e-05,3.73207e-07,2.70758e-10,7.37312e-10,8.55066e-13,3.84563e-07,3.43532e-08
C010,uniform,0.5,0.5,0.0,0.0,2.0,52.631578947368425,7,2.31833e-06,4.54679e-08,1.66563e-16,0.0110241,2.83459e-06,0.010965,1.94288e-05,5.5199e-07,5.06225e-10,1.37657e-09,2.02686e-12,4.83458e-07,3.43487e-08
C010,uniform,0.5,0.5,0.0,0.0,2.5,65.78947368421053,8,3.32017e-06,5.67816e-08,3.602e-16,0.0110227,3.12451e-06,0.0109489,2.41641e-05,8.10635e-07,9.40362e-10,2.55222e-09,4.7679e-12,6.03995e-07,3.43447e-08
C010,uniform,0.5,0.5,0.0,0.0,3.0,78.94736842105263,9,4.40259e-06,6.80797e-08,6.71438e-16,0.0110213,3.33421e-06,0.0109328,2.88644e-05,1.10252e-06,1.5515e-09,4.2046e-09,9.53696e-12,7.21208e-07,3.4344e-08
C010,uniform,0.5,0.5,0.0,0.0,4.00001,105.26342105263156,10,6.72283e-06,9.0638e-08,1.76894e-15,0.0110185,3.59625e-06,0.0109005,3.81694e-05,1.77528e-06,3.37956e-09,9.13432e-09,2.81616e-11,9.4609e-07,3.43231e-08
C010,uniform,0.5,0.5,0.0,0.0,5.00001,131.5792105263158,11,9.16081e-06,1.13157e-07,3.71629e-15,0.0110157,3.73806e-06,0.0108683,4.73702e-05,2.54297e-06,6.1384e-09,1.65447e-08,6.46796e-11,1.1589e-06,3.43218e-08
C010,uniform,0.5,0.5,0.0,0.0,6.00001,157.89499999999998,12,1.16567e-05,1.35647e-07,6.78452e-15,0.0110128,3.81803e-06,0.0108361,5.64808e-05,3.39029e-06,9.93759e-09,2.6721e-08,1.26835e-10,1.36035e-06,3.4319e-08
C010,uniform,0.5,0.5,0.0,0.0,7.00001,184.2107894736842,13,1.41795e-05,1.58119e-07,1.12561e-14,0.01101,3.86599e-06,0.0108039,6.55081e-05,4.30683e-06,1.48733e-08,3.99025e-08,2.23217e-10,1.55108e-06,3.43158e-08
C010,uniform,0.5,0.5,0.0,0.0,8.00001,210.5265789473684,14,1.67134e-05,1.8058e-07,1.7418e-14,0.0110072,3.89718e-06,0.0107717,7.44615e-05,5.28456e-06,2.10269e-08,5.62951e-08,3.63221e-10,1.73172e-06,3.43126e-08
C010,uniform,0.5,0.5,0.0,0.0,10.0,263.15789473684214,15,2.17863e-05,2.25512e-07,3.59961e-14,0.0110014,3.93603e-06,0.0107075,9.21542e-05,7.40764e-06,3.72385e-08,9.93365e-08,8.1289e-10,2.06495e-06,3.427e-08
C010,uniform,0.5,0.5,0.0,0.0,12.0,315.7894736842105,16,2.68434e-05,2.70507e-07,6.49645e-14,0.0109957,3.96571e-06,0.0106433,0.000109606,9.70815e-06,5.91316e-08,1.57177e-07,1.55957e-09,2.36405e-06,3.42628e-08
C010,uniform,0.5,0.5,0.0,0.0,14.0,368.42105263157896,17,3.18762e-05,3.15629e-07,1.0687e-13,0.0109899,3.99097e-06,0.0105792,0.000126839,1.21602e-05,8.70788e-08,2.30752e-07,2.69602e-09,2.6326e-06,3.42545e-08
C010,uniform,0.5,0.5,0.0,0.0,16.0,421.0526315789474,18,3.688e-05,3.6094e-07,1.64265e-13,0.0109841,4.01301e-06,0.0105153,0.000143864,1.47449e-05,1.2143e-07,3.20834e-07,4.31481e-09,2.87378e-06,3.42461e-08
C010,uniform,0.5,0.5,0.0,0.0,18.0,473.6842105263158,19,4.18523e-05,4.06499e-07,2.39866e-13,0.0109782,4.03396e-06,0.0104514,0.000160698,1.74448e-05,1.62471e-07,4.28059e-07,6.51533e-09,3.09023e-06,3.42368e-08
C010,uniform,0.5,0.5,0.0,0.0,20.0,526.3157894736843,20,4.67929e-05,4.52363e-07,3.36353e-13,0.0109723,4.05513e-06,0.0103876,0.000177348,2.02502e-05,2.10435e-07,5.52966e-07,9.40663e-09,3.28467e-06,3.42279e-08
C010,uniform,0.5,0.5,0.0,0.0,24.0,631.578947368421,21,5.65849e-05,5.45237e-07,6.02791e-13,0.0109605,4.08977e-06,0.0102604,0.000210116,2.61477e-05,3.27808e-07,8.57164e-07,1.76787e-08,3.61535e-06,3.41395e-08
C010,uniform,0.5,0.5,0.0,0.0,28.0,736.8421052631579,22,6.62359e-05,6.39976e-07,9.85958e-13,0.0109485,4.12599e-06,0.0101336,0.000242235,3.23421e-05,4.75216e-07,1.23681e-06,2.99659e-08,3.88107e-06,3.41194e-08
