case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
mox43,2,0.400000,6,1,0.003961,1.044342,4.434241
mox43,2,0.400000,6,2,0.003794,1.000394,0.039399
mox43,2,0.400000,6,3,0.003834,1.010771,1.077140
mox43,2,0.400000,6,4,0.004078,1.075158,7.515824
mox43,2,0.400000,6,5,0.004159,1.096414,9.641399
mox43,2,0.400000,7,2,0.003984,1.050267,5.026671
mox43,2,0.400000,7,3,0.003945,1.040198,4.019778
mox43,2,0.400000,7,5,0.004061,1.070734,7.073413
mox43,2,0.400000,7,6,0.003944,1.039860,3.986030
mox43,2,0.400000,7,7,0.003638,0.959240,-4.075970
mox43,2,0.400000,8,1,0.003874,1.021336,2.133600
mox43,2,0.400000,8,2,0.003721,0.981160,-1.883954
mox43,2,0.400000,8,3,0.003712,0.978632,-2.136797
mox43,2,0.400000,8,4,0.003903,1.028945,2.894504
mox43,2,0.400000,8,5,0.003708,0.977567,-2.243313
mox43,2,0.400000,8,6,0.003559,0.938296,-6.170434
mox43,2,0.400000,8,7,0.003470,0.914881,-8.511941
mox43,2,0.400000,8,8,0.003435,0.905782,-9.421810
mox43,2,0.400000,9,1,0.003610,0.951776,-4.822373
mox43,2,0.400000,9,2,0.003595,0.947837,-5.216271
mox43,2,0.400000,9,3,0.003598,0.948707,-5.129266
mox43,2,0.400000,9,4,0.003619,0.954265,-4.573484
mox43,2,0.400000,9,5,0.003583,0.944795,-5.520528
mox43,2,0.400000,9,6,0.003527,0.929867,-7.013334
mox43,2,0.400000,9,7,0.003500,0.922780,-7.722035
mox43,2,0.400000,9,8,0.003475,0.916296,-8.370359
mox43,2,0.400000,9,9,0.003545,0.934721,-6.527948
mox43,3,0.700000,2,1,0.003982,1.050682,5.068224
mox43,3,0.700000,2,2,0.003806,1.004083,0.408270
mox43,3,0.700000,3,1,0.004002,1.055761,5.576117
mox43,3,0.700000,3,2,0.003813,1.006088,0.608789
mox43,3,0.700000,3,3,0.003816,1.006774,0.677387
mox43,3,0.700000,4,2,0.003998,1.054891,5.489050
mox43,3,0.700000,4,3,0.004004,1.056371,5.637065
mox43,3,0.700000,5,1,0.004002,1.055925,5.592476
mox43,3,0.700000,5,2,0.003797,1.001816,0.181631
mox43,3,0.700000,5,3,0.003830,1.010618,1.061803
mox43,3,0.700000,5,4,0.004074,1.074829,7.482894
mox43,3,0.700000,5,5,0.003990,1.052848,5.284837
mox43,3,0.700000,6,1,0.003950,1.042171,4.217074
mox43,3,0.700000,6,2,0.003797,1.001922,0.192184
mox43,3,0.700000,6,3,0.003804,1.003750,0.375026
mox43,3,0.700000,6,4,0.004058,1.070536,7.053625
mox43,3,0.700000,6,5,0.004157,1.096828,9.682798
mox43,3,0.700000,7,2,0.003945,1.040978,4.097818
mox43,3,0.700000,7,3,0.003961,1.045202,4.520227
mox43,3,0.700000,7,5,0.004083,1.077364,7.736445
mox43,3,0.700000,7,6,0.003932,1.037522,3.752187
mox43,3,0.700000,7,7,0.003631,0.957971,-4.202874
mox43,3,0.700000,8,1,0.003879,1.023338,2.333779
mox43,3,0.700000,8,2,0.003724,0.982501,-1.749947
mox43,3,0.700000,8,3,0.003720,0.981395,-1.860496
mox43,3,0.700000,8,4,0.003895,1.027770,2.777032
mox43,3,0.700000,8,5,0.003701,0.976422,-2.357836
mox43,3,0.700000,8,6,0.003559,0.938985,-6.101472
mox43,3,0.700000,8,7,0.003490,0.920751,-7.924875
mox43,3,0.700000,8,8,0.003433,0.905855,-9.414519
mox43,3,0.700000,9,1,0.003611,0.952692,-4.730819
