case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
C011,uniform,0.45,0.55,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00991363,0.0,0.0121167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C011,uniform,0.45,0.55,0.0,0.0,0.1,2.631578947368421,1,7.41018e-09,2.50909e-09,1.7322299999999998e-21,0.00991339,2.1857e-07,0.0121134,9.80553e-07,1.6953e-09,6.6431e-14,1.9753e-13,8.033380000000001e-18,8.07398e-09,3.37443e-08
C011,uniform,0.45,0.55,0.0,0.0,0.400001,10.526342105263158,2,1.12484e-07,1.00282e-08,3.8597e-19,0.00991266,7.98422e-07,0.0121038,3.90373e-06,2.56739e-08,4.04949e-12,1.20343e-11,2.64419e-15,7.54447e-08,3.44981e-08
C011,uniform,0.45,0.55,0.0,0.0,0.700001,18.42107894736842,3,3.23868e-07,1.75358e-08,3.2105900000000003e-18,0.00991193,1.27288e-06,0.0120942,6.80293e-06,7.42465e-08,2.0928e-11,6.20577e-11,2.53884e-14,1.54211e-07,3.44991e-08
C011,uniform,0.45,0.55,0.0,0.0,1.0,26.31578947368421,4,6.22068e-07,2.50328e-08,1.19785e-17,0.0099112,1.66143e-06,0.0120845,9.68108e-06,1.43914e-07,5.87938e-11,1.74085e-10,1.04694e-13,2.32855e-07,3.44994e-08
C011,uniform,0.45,0.55,0.0,0.0,1.3,34.21052631578947,5,9.91174e-07,3.25199e-08,3.09542e-17,0.00991046,1.97978e-06,0.0120749,1.25408e-05,2.32044e-07,1.24677e-10,3.68683e-10,2.93775e-13,3.10434e-07,3.45001e-08
C011,uniform,0.45,0.55,0.0,0.0,1.6,42.10526315789474,6,1.41817e-06,3.99979e-08,6.48755e-17,0.00990972,2.24061e-06,0.0120652,1.53842e-05,3.3644e-07,2.24727e-10,6.63861e-10,6.59961e-13,3.86885e-07,3.45001e-08
C011,uniform,0.45,0.55,0.0,0.0,2.0,52.631578947368425,7,2.05941e-06,4.99551e-08,1.41992e-16,0.00990874,2.51662e-06,0.0120524,1.91524e-05,4.98531e-07,4.20758e-10,1.24096e-09,1.56587e-12,4.87097e-07,3.44966e-08
C011,uniform,0.45,0.55,0.0,0.0,2.5,65.78947368421053,8,2.94928e-06,6.23818e-08,3.07195e-16,0.00990751,2.77349e-06,0.0120363,2.38302e-05,7.33003e-07,7.82342e-10,2.30398e-09,3.69025e-12,6.09651e-07,3.44927e-08
C011,uniform,0.45,0.55,0.0,0.0,3.0,78.94736842105263,9,3.91065e-06,7.47882e-08,5.72246e-16,0.00990627,2.95882e-06,0.0120203,2.84752e-05,9.984e-07,1.29238e-09,3.8002e-09,7.38808e-12,7.29277e-07,3.44923e-08
C011,uniform,0.45,0.55,0.0,0.0,4.00001,105.26342105263156,10,5.97148e-06,9.95464e-08,1.50618e-15,0.00990379,3.19083e-06,0.0119882,3.76795e-05,1.61049e-06,2.82082e-09,8.27236e-09,2.18679e-11,9.6008e-07,3.44734e-08
C011,uniform,0.45,0.55,0.0,0.0,5.00001,131.5792105263158,11,8.13696e-06,1.2424e-07,3.16426e-15,0.00990129,3.31525e-06,0.0119561,4.67877e-05,2.31059e-06,5.12897e-09,1.50074e-08,5.029e-11,1.18011e-06,3.44719e-08
C011,uniform,0.45,0.55,0.0,0.0,6.00001,157.89499999999998,12,1.0354e-05,1.48878e-07,5.77595e-15,0.00989879,3.38554e-06,0.011924,5.58131e-05,3.08408e-06,8.31363e-09,2.42709e-08,9.86277e-11,1.38991e-06,3.44696e-08
C011,uniform,0.45,0.55,0.0,0.0,7.00001,184.2107894736842,13,1.25954e-05,1.73468e-07,9.58336e-15,0.00989628,3.42721e-06,0.0118919,6.4763e-05,3.92259e-06,1.24561e-08,3.6287e-08,1.73857e-10,1.59003e-06,3.44673e-08
C011,uniform,0.45,0.55,0.0,0.0,8.00001,210.5265789473684,14,1.48471e-05,1.98018e-07,1.48251e-14,0.00989376,3.45459e-06,0.0118599,7.36447e-05,4.81725e-06,1.76246e-08,5.12489e-08,2.8295e-10,1.78094e-06,3.44646e-08
