case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
A004,uniform,0.3,0.0,0.02,0.0,0.0,0.0,0,0.0,0.000308069,0.0150954,0.00660147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A004,uniform,0.3,0.0,0.02,0.0,0.1,2.631578947368421,1,3.29207e-08,0.00030547,0.0150938,0.00660044,9.73401e-07,4.19856e-07,2.20946e-09,1.40644e-11,2.00153e-14,1.12937e-15,6.3674900000000005e-18,5.31738e-09,3.5004e-09
A004,uniform,0.3,0.0,0.02,0.0,0.400002,10.526368421052632,2,4.96362e-07,0.0002978,0.0150892,0.00659732,3.56314e-06,3.79047e-06,5.90225e-08,1.51474e-09,8.61555e-12,4.82557e-13,1.5872e-14,2.01147e-08,3.53406e-09
A004,uniform,0.3,0.0,0.02,0.0,0.700003,18.42113157894737,3,1.4152e-06,0.000290358,0.0150845,0.00659421,5.66244e-06,7.60899e-06,2.0355e-07,9.32891e-09,9.45464e-11,5.28993e-12,3.30648e-13,2.26434e-08,3.57526e-09
A004,uniform,0.3,0.0,0.02,0.0,1.0,26.31578947368421,4,2.68848e-06,0.00028316,0.0150798,0.0065911,7.35592e-06,1.12377e-05,4.27028e-07,2.82348e-08,4.15703e-10,2.3285e-11,2.17604e-12,2.33042e-08,3.61687e-09
A004,uniform,0.3,0.0,0.02,0.0,1.30001,34.210789473684216,5,4.23407e-06,0.000276196,0.0150751,0.006588,8.71894e-06,1.46301e-05,7.17312e-07,6.18677e-08,1.20003e-09,6.72952e-11,8.42329e-12,2.38232e-08,3.65755e-09
A004,uniform,0.3,0.0,0.02,0.0,1.60001,42.10552631578948,6,5.98584e-06,0.000269459,0.0150704,0.00658491,9.81407e-06,1.77999e-05,1.06369e-06,1.1265e-07,2.72109e-09,1.52737e-10,2.40791e-11,2.43567e-08,3.697e-09
A004,uniform,0.3,0.0,0.02,0.0,2.00001,52.63184210526316,7,8.55204e-06,0.00026081,0.0150642,0.00658081,1.09447e-05,2.17092e-05,1.59704e-06,2.09559e-07,6.41266e-09,3.60197e-10,7.28338e-11,2.5066e-08,3.74764e-09
A004,uniform,0.3,0.0,0.02,0.0,2.50001,65.78973684210527,8,1.19985e-05,0.000250505,0.0150564,0.00657572,1.19564e-05,2.61415e-05,2.35367e-06,3.79577e-07,1.47268e-08,8.27446e-10,2.14712e-10,2.59562e-08,3.80699e-09
A004,uniform,0.3,0.0,0.02,0.0,3.00001,78.94763157894737,9,1.55858e-05,0.000240725,0.0150486,0.00657065,1.26463e-05,3.01312e-05,3.18429e-06,6.03236e-07,2.84421e-08,1.59791e-09,5.08895e-10,2.68495e-08,3.86328e-09
A004,uniform,0.3,0.0,0.02,0.0,4.00002,105.26368421052632,10,2.28398e-05,0.000222589,0.015033,0.00656058,1.34231e-05,3.69904e-05,4.98932e-06,1.19896e-06,7.69582e-08,4.31072e-09,1.9046e-09,2.84852e-08,3.96383e-09
