case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
C012,uniform,0.4,0.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0088006,0.0,0.0132009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C012,uniform,0.4,0.6,0.0,0.0,0.1,2.631578947368421,1,6.54051e-09,2.73366e-09,1.48908e-21,0.00880038,1.92917e-07,0.0131977,9.65158e-07,1.52138e-09,5.52782e-14,1.77262e-13,6.260230000000001e-18,8.07813e-09,3.38523e-08
C012,uniform,0.4,0.6,0.0,0.0,0.4,10.526315789473683,2,9.92574e-08,1.09263e-08,3.32159e-19,0.00879974,7.04443e-07,0.0131881,3.8436e-06,2.30707e-08,3.37583e-12,1.08124e-11,2.05493e-15,7.55447e-08,3.46159e-08
C012,uniform,0.4,0.6,0.0,0.0,0.700001,18.42107894736842,3,2.85786e-07,1.9107e-08,2.7602200000000004e-18,0.0087991,1.12311e-06,0.0131785,6.70049e-06,6.68949e-08,1.7467e-11,5.58508e-11,1.97442e-14,1.54551e-07,3.46165e-08
C012,uniform,0.4,0.6,0.0,0.0,1.0,26.31578947368421,4,5.48928e-07,2.72765e-08,1.02915e-17,0.00879845,1.4658e-06,0.0131689,9.5382e-06,1.29895e-07,4.91504e-11,1.56913e-10,8.14768e-14,2.33581e-07,3.46172e-08
C012,uniform,0.4,0.6,0.0,0.0,1.3,34.21052631578947,5,8.74593e-07,3.54353e-08,2.66028e-17,0.0087978,1.74614e-06,0.0131593,1.23592e-05,2.0972e-07,1.04351e-10,3.32728e-10,2.29371e-13,3.11681e-07,3.46174e-08
C012,uniform,0.4,0.6,0.0,0.0,1.6,42.10526315789474,6,1.25128e-06,4.3584e-08,5.57111e-17,0.00879715,1.97587e-06,0.0131497,1.51651e-05,3.04491e-07,1.88292e-10,5.99786e-10,5.16385e-13,3.8879e-07,3.46178e-08
C012,uniform,0.4,0.6,0.0,0.0,2.0,52.631578947368425,7,1.81693e-06,5.44338e-08,1.21881e-16,0.00879629,2.21898e-06,0.0131369,1.88853e-05,4.51578e-07,3.52864e-10,1.12251e-09,1.22562e-12,4.90078e-07,3.46143e-08
C012,uniform,0.4,0.6,0.0,0.0,2.5,65.78947368421053,8,2.60193e-06,6.79731e-08,2.63648e-16,0.0087952,2.44537e-06,0.0131209,2.35058e-05,6.64924e-07,6.56843e-10,2.08659e-09,2.88688e-12,6.14292e-07,3.46107e-08
C012,uniform,0.4,0.6,0.0,0.0,3.0,78.94736842105263,9,3.45006e-06,8.14884e-08,4.91249e-16,0.00879411,2.60846e-06,0.0131049,2.80964e-05,9.06791e-07,1.08629e-09,3.44546e-09,5.78981e-12,7.35897e-07,3.46102e-08
