case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,BURN_STEP,Adens_U233,Adens_U235,Adens_U238,Adens_Th232,Adens_Pa233,Adens_Pu239,Adens_Pu240,Adens_Pu241,Adens_Pu242,Adens_Am241,Adens_Am243,Adens_Sm149,Adens_Xe135
C004,uniform,0.8,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0177872,0.0,0.00444681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C004,uniform,0.8,0.2,0.0,0.0,0.1,2.631578947368421,1,1.63792e-08,9.20521e-10,7.24814e-21,0.0177867,4.83167e-07,0.00444348,1.11229e-06,4.23074e-09,3.73196e-13,4.93069e-13,8.07601e-17,8.01029e-09,3.09206e-08
C004,uniform,0.8,0.2,0.0,0.0,0.400001,10.526342105263158,2,2.49037e-07,3.67739e-09,1.62097e-18,0.0177851,1.77001e-06,0.00443348,4.40473e-06,6.30471e-08,2.24901e-11,2.96095e-11,2.64344e-14,7.33397e-08,3.14475e-08
C004,uniform,0.8,0.2,0.0,0.0,0.700001,18.42107894736842,3,7.17441e-07,6.43257e-09,1.3516e-17,0.0177835,2.82631e-06,0.00442348,7.64041e-06,1.79364e-07,1.15034e-10,1.50909e-10,2.52234e-13,1.466e-07,3.14496e-08
C004,uniform,0.8,0.2,0.0,0.0,1.0,26.31578947368421,4,1.37852e-06,9.19225e-09,5.05171e-17,0.0177818,3.69379e-06,0.00441349,1.08283e-05,3.4305e-07,3.201e-10,4.18707e-10,1.03618e-12,2.16398e-07,3.14506e-08
C004,uniform,0.8,0.2,0.0,0.0,1.3,34.21052631578947,5,2.19701e-06,1.19618e-08,1.30797e-16,0.0177802,4.40686e-06,0.0044035,1.39755e-05,5.46733e-07,6.73027e-10,8.77976e-10,2.8929e-12,2.82049e-07,3.14507e-08
C004,uniform,0.8,0.2,0.0,0.0,1.6,42.10526315789474,6,3.14401e-06,1.47457e-08,2.74444e-16,0.0177786,4.99299e-06,0.00439351,1.70865e-05,7.85287e-07,1.20414e-09,1.56698e-09,6.46036e-12,3.43742e-07,3.14492e-08
C004,uniform,0.8,0.2,0.0,0.0,2.0,52.631578947368425,7,4.5663e-06,1.84873e-08,6.0156e-16,0.0177764,5.61601e-06,0.0043802,2.11844e-05,1.15057e-06,2.23393e-09,2.89861e-09,1.52405e-11,4.20267e-07,3.14367e-08
C004,uniform,0.8,0.2,0.0,0.0,2.5,65.78947368421053,8,6.54012e-06,2.32236e-08,1.30334e-15,0.0177736,6.20081e-06,0.00436357,2.62353e-05,1.67269e-06,4.11407e-09,5.32067e-09,3.56034e-11,5.07466e-07,3.14231e-08
C004,uniform,0.8,0.2,0.0,0.0,3.00001,78.94763157894737,9,8.67216e-06,2.80391e-08,2.43254e-15,0.0177708,6.62625e-06,0.00434696,3.12166e-05,2.25649e-06,6.73996e-09,8.68989e-09,7.08535e-11,5.86149e-07,3.14166e-08
C004,uniform,0.8,0.2,0.0,0.0,4.00001,105.26342105263156,10,1.32397e-05,3.79534e-08,6.42688e-15,0.0177652,7.16738e-06,0.00431379,4.0992e-05,3.58481e-06,1.45079e-08,1.8606e-08,2.07187e-10,7.21388e-07,3.13631e-08
C004,uniform,0.8,0.2,0.0,0.0,5.00001,131.5792105263158,11,1.80322e-05,4.83086e-08,1.35316e-14,0.0177596,7.46831e-06,0.0042807,5.0558e-05,5.08096e-06,2.60938e-08,3.32973e-08,4.71609e-10,8.3172e-07,3.1345e-08
