case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
M70-20,0,0.000000,2,1,0.004216,1.111977,11.197670
M70-20,0,0.000000,2,2,0.004021,1.060523,6.052250
M70-20,0,0.000000,3,1,0.004243,1.118987,11.898707
M70-20,0,0.000000,3,2,0.003998,1.054533,5.453283
M70-20,0,0.000000,3,3,0.004004,1.056115,5.611531
M70-20,0,0.000000,4,2,0.004281,1.128980,12.898040
M70-20,0,0.000000,4,3,0.004282,1.129363,12.936283
M70-20,0,0.000000,5,1,0.004304,1.135073,13.507293
M70-20,0,0.000000,5,2,0.004086,1.077621,7.762115
M70-20,0,0.000000,5,3,0.004114,1.085125,8.512473
M70-20,0,0.000000,5,4,0.004489,1.183964,18.396352
M70-20,0,0.000000,5,5,0.003907,1.030400,3.040008
M70-20,0,0.000000,6,1,0.003890,1.026040,2.604036
M70-20,0,0.000000,6,2,0.003672,0.968565,-3.143516
M70-20,0,0.000000,6,3,0.003721,0.981283,-1.871733
M70-20,0,0.000000,6,4,0.004000,1.055037,5.503659
M70-20,0,0.000000,6,5,0.004195,1.106306,10.630616
M70-20,0,0.000000,7,2,0.003987,1.051542,5.154195
M70-20,0,0.000000,7,3,0.004015,1.058882,5.888200
M70-20,0,0.000000,7,5,0.004170,1.099728,9.972834
M70-20,0,0.000000,7,6,0.004058,1.070213,7.021253
M70-20,0,0.000000,7,7,0.003800,1.002182,0.218190
M70-20,0,0.000000,8,1,0.004108,1.083395,8.339455
M70-20,0,0.000000,8,2,0.003910,1.031284,3.128363
M70-20,0,0.000000,8,3,0.003899,1.028240,2.824000
M70-20,0,0.000000,8,4,0.004127,1.088456,8.845584
M70-20,0,0.000000,8,5,0.003923,1.034799,3.479936
M70-20,0,0.000000,8,6,0.003799,1.001960,0.196035
M70-20,0,0.000000,8,7,0.003823,1.008332,0.833245
M70-20,0,0.000000,8,8,0.002977,0.785264,-21.473650
M70-20,0,0.000000,9,1,0.003073,0.810391,-18.960915
M70-20,0,0.000000,9,2,0.003064,0.808079,-19.192089
M70-20,0,0.000000,9,3,0.003069,0.809407,-19.059293
M70-20,0,0.000000,9,4,0.003089,0.814618,-18.538183
